IDComuna,Comuna,IDZonaManzana,Descripción
-1,Sin Información,,Sin Información
14000,Extranjero,,Comuna Externa
15101,Arica,,Comuna Externa
15102,Camarones,,Comuna Externa
15201,Putre,,Comuna Externa
15202,General Lagos,,Comuna Externa
1101,Iquique,,Comuna Externa
1107,Alto Hospicio,,Comuna Externa
1401,Pozo Almonte,,Comuna Externa
1402,Camiña,,Comuna Externa
1403,Colchane,,Comuna Externa
1404,Huara,,Comuna Externa
1405,Pica,,Comuna Externa
2101,Antofagasta,,Comuna Externa
2102,Mejillones,,Comuna Externa
2103,Sierra Gorda,,Comuna Externa
2104,Taltal,,Comuna Externa
2201,Calama,,Comuna Externa
2202,Ollagüe,,Comuna Externa
2203,San Pedro de Atacama,,Comuna Externa
2301,Tocopilla,,Comuna Externa
2302,María Elena,,Comuna Externa
3101,Copiapó,,Comuna Externa
3102,Caldera,,Comuna Externa
3103,Tierra Amarilla,,Comuna Externa
3201,Chañaral,,Comuna Externa
3202,Diego de Almagro,,Comuna Externa
3301,Vallenar,,Comuna Externa
3302,Alto del Carmen,,Comuna Externa
3303,Freirina,,Comuna Externa
3304,Huasco,,Comuna Externa
4101,La Serena,,Comuna Interna
4102,Coquimbo,,Comuna Interna
4103,Andacollo,,Comuna Envolvente
4104,La Higuera,,Comuna Envolvente
4105,Paiguano,,Comuna Envolvente
4106,Vicuña,,Comuna Envolvente
4201,Illapel,,Comuna Externa
4202,Canela,,Comuna Externa
4203,Los Vilos,,Comuna Externa
4204,Salamanca,,Comuna Externa
4301,Ovalle,,Comuna Externa
4302,Combarbalá,,Comuna Externa
4303,Monte Patria,,Comuna Externa
4304,Punitaqui,,Comuna Externa
4305,Río Hurtado,,Comuna Externa
5101,Valparaíso,,Comuna Externa
5102,Casablanca,,Comuna Externa
5103,Concón,,Comuna Externa
5104,Juan Fernández,,Comuna Externa
5105,Puchuncaví,,Comuna Externa
5106,Quilpué,,Comuna Externa
5107,Quintero,,Comuna Externa
5108,Villa Alemana,,Comuna Externa
5109,Viña del Mar,,Comuna Externa
5201,Isla de Pascua,,Comuna Externa
5301,Los Andes,,Comuna Externa
5302,Calle Larga,,Comuna Externa
5303,Rinconada,,Comuna Externa
5304,San Esteban,,Comuna Externa
5401,La Ligua,,Comuna Externa
5402,Cabildo,,Comuna Externa
5403,Papudo,,Comuna Externa
5404,Petorca,,Comuna Externa
5405,Zapallar,,Comuna Externa
5501,Quillota,,Comuna Externa
5502,Calera,,Comuna Externa
5503,Hijuelas,,Comuna Externa
5504,La Cruz,,Comuna Externa
5505,Limache,,Comuna Externa
5506,Nogales,,Comuna Externa
5507,Olmué,,Comuna Externa
5601,San Antonio,,Comuna Externa
5602,Algarrobo,,Comuna Externa
5603,Cartagena,,Comuna Externa
5604,El Quisco,,Comuna Externa
5605,El Tabo,,Comuna Externa
5606,Santo Domingo,,Comuna Externa
5701,San Felipe,,Comuna Externa
5702,Catemu,,Comuna Externa
5703,Llaillay,,Comuna Externa
5704,Panquehue,,Comuna Externa
5705,Putaendo,,Comuna Externa
5706,Santa María,,Comuna Externa
6101,Rancagua,,Comuna Externa
6102,Codegua,,Comuna Externa
6103,Coinco,,Comuna Externa
6104,Coltauco,,Comuna Externa
6105,Doñihue,,Comuna Externa
6106,Graneros,,Comuna Externa
6107,Las Cabras,,Comuna Externa
6108,Machalí,,Comuna Externa
6109,Malloa,,Comuna Externa
6110,Mostazal,,Comuna Externa
6111,Olivar,,Comuna Externa
6112,Peumo,,Comuna Externa
6113,Pichidegua,,Comuna Externa
6114,Quinta de Tilcoco,,Comuna Externa
6115,Rengo,,Comuna Externa
6116,Requínoa,,Comuna Externa
6117,San Vicente,,Comuna Externa
6201,Pichilemu,,Comuna Externa
6202,La Estrella,,Comuna Externa
6203,Litueche,,Comuna Externa
6204,Marchihue,,Comuna Externa
6205,Navidad,,Comuna Externa
6206,Paredones,,Comuna Externa
6301,San Fernando,,Comuna Externa
6302,Chépica,,Comuna Externa
6303,Chimbarongo,,Comuna Externa
6304,Lolol,,Comuna Externa
6305,Nancagua,,Comuna Externa
6306,Palmilla,,Comuna Externa
6307,Peralillo,,Comuna Externa
6308,Placilla,,Comuna Externa
6309,Pumanque,,Comuna Externa
6310,Santa Cruz,,Comuna Externa
7101,Talca,,Comuna Externa
7102,Constitución,,Comuna Externa
7103,Curepto,,Comuna Externa
7104,Empedrado,,Comuna Externa
7105,Maule,,Comuna Externa
7106,Pelarco,,Comuna Externa
7107,Pencahue,,Comuna Externa
7108,Río Claro,,Comuna Externa
7109,San Clemente,,Comuna Externa
7110,San Rafael,,Comuna Externa
7201,Cauquenes,,Comuna Externa
7202,Chanco,,Comuna Externa
7203,Pelluhue,,Comuna Externa
7301,Curicó,,Comuna Externa
7302,Hualañé,,Comuna Externa
7303,Licantén,,Comuna Externa
7304,Molina,,Comuna Externa
7305,Rauco,,Comuna Externa
7306,Romeral,,Comuna Externa
7307,Sagrada Familia,,Comuna Externa
7308,Teno,,Comuna Externa
7309,Vichuquén,,Comuna Externa
7401,Linares,,Comuna Externa
7402,Colbún,,Comuna Externa
7403,Longaví,,Comuna Externa
7404,Parral,,Comuna Externa
7405,Retiro,,Comuna Externa
7406,San Javier,,Comuna Externa
7407,Villa Alegre,,Comuna Externa
7408,Yerbas Buenas,,Comuna Externa
8101,Concepción,,Comuna Externa
8102,Coronel,,Comuna Externa
8103,Chiguayante,,Comuna Externa
8104,Florida,,Comuna Externa
8105,Hualqui,,Comuna Externa
8106,Lota,,Comuna Externa
8107,Penco,,Comuna Externa
8108,San Pedro de la Paz,,Comuna Externa
8109,Santa Juana,,Comuna Externa
8110,Talcahuano,,Comuna Externa
8111,Tomé,,Comuna Externa
8112,H ualpén,,Comuna Externa
8201,Lebu,,Comuna Externa
8202,Arauco,,Comuna Externa
8203,Cañete,,Comuna Externa
8204,Contulmo,,Comuna Externa
8205,Curanilahue,,Comuna Externa
8206,Los Alamos,,Comuna Externa
