IDZonaManzana,IDZona,IDManzana,IDComuna
200001-6,45,529,4101
200002-4,45,529,4101
200003-2,45,529,4101
200004-0,45,529,4101
200005-9,45,529,4101
200006-7,45,529,4101
200007-5,45,529,4101
200008-3,45,529,4101
200009-1,45,529,4101
200010-5,45,529,4101
200011-3,45,529,4101
200012-1,45,529,4101
200013-K,45,529,4101
200014-8,45,529,4101
200015-6,45,529,4101
200016-4,45,529,4101
200017-2,45,529,4101
200018-0,45,529,4101
200019-9,45,529,4101
200020-2,45,529,4101
200021-0,45,529,4101
200022-9,45,529,4101
200023-7,45,529,4101
200024-5,45,529,4101
200025-3,45,529,4101
200026-1,45,529,4101
200027-K,45,529,4101
200028-8,45,529,4101
200029-6,45,529,4101
200030-K,45,529,4101
200031-8,45,529,4101
200032-6,45,529,4101
200033-4,45,529,4101
200034-2,45,529,4101
200035-0,45,529,4101
200036-9,45,529,4101
200037-7,45,1188,4101
200038-5,45,1188,4101
200039-3,45,1188,4101
200040-7,45,1188,4101
200041-5,45,1188,4101
200042-3,45,1188,4101
200043-1,45,1188,4101
200044-K,45,1188,4101
200045-8,45,1188,4101
200046-6,45,1188,4101
200047-4,45,1188,4101
200048-2,45,1188,4101
200049-0,45,1188,4101
200050-4,45,1188,4101
200051-2,45,1188,4101
200052-0,45,1188,4101
200053-9,45,1188,4101
200054-7,45,1188,4101
200055-5,45,1188,4101
200056-3,45,1188,4101
200057-1,45,1188,4101
200058-K,45,1188,4101
200059-8,45,1188,4101
200060-1,45,1188,4101
200061-K,45,1188,4101
200062-8,45,1188,4101
200063-6,45,1188,4101
200064-4,45,1188,4101
200065-2,45,1188,4101
200066-0,45,1188,4101
200067-9,45,1188,4101
200068-7,45,1188,4101
200069-5,45,1188,4101
200070-9,45,1188,4101
200071-7,45,1196,4101
200072-5,45,1196,4101
200073-3,45,1196,4101
200074-1,45,1196,4101
200075-K,45,1196,4101
200076-8,45,1196,4101
200077-6,45,1196,4101
200078-4,45,1196,4101
200079-2,45,1196,4101
200080-6,45,1196,4101
200081-4,45,1196,4101
200082-2,45,1196,4101
200083-0,45,1196,4101
200084-9,45,1196,4101
200085-7,45,1196,4101
200086-5,45,1196,4101
200087-3,45,1196,4101
200088-1,45,1196,4101
200089-K,45,1196,4101
200090-3,45,1196,4101
200091-1,45,1196,4101
200092-K,45,1196,4101
200093-8,45,1196,4101
200094-6,45,1196,4101
200095-4,45,1196,4101
200096-2,45,1196,4101
200097-0,45,1196,4101
200098-9,45,1196,4101
200099-7,45,1196,4101
200100-4,45,1196,4101
200101-2,45,1196,4101
200102-0,45,1196,4101
200103-9,46,550,4101
200104-7,46,550,4101
200105-5,46,550,4101
200106-3,46,550,4101
200107-1,46,550,4101
200108-K,46,550,4101
200109-8,46,550,4101
200110-1,46,550,4101
200111-K,46,1223,4101
200112-8,46,1223,4101
200113-6,46,1223,4101
200114-4,46,1223,4101
200115-2,46,1223,4101
200116-0,46,1223,4101
200117-9,46,1223,4101
200118-7,46,1223,4101
200119-5,46,1223,4101
200120-9,46,1232,4101
200121-7,46,1232,4101
200122-5,46,1232,4101
200123-3,46,1232,4101
200124-1,46,1232,4101
200125-K,46,1232,4101
200126-8,46,1232,4101
200127-6,46,1232,4101
200128-4,46,1232,4101
200129-2,47,561,4101
200130-6,47,561,4101
200131-4,47,561,4101
200132-2,47,561,4101
200133-0,47,561,4101
200134-9,47,561,4101
200135-7,47,561,4101
200136-5,47,561,4101
200137-3,47,561,4101
200138-1,47,561,4101
200139-K,47,561,4101
200140-3,47,561,4101
200141-1,47,561,4101
200142-K,47,561,4101
200143-8,47,561,4101
200144-6,47,561,4101
200145-4,47,561,4101
200146-2,47,561,4101
200147-0,47,561,4101
200148-9,47,561,4101
200149-7,47,561,4101
200150-0,47,561,4101
200151-9,47,561,4101
200152-7,47,561,4101
200153-5,47,561,4101
200154-3,47,561,4101
200155-1,47,561,4101
200156-K,47,561,4101
200157-8,47,561,4101
200158-6,47,561,4101
200159-4,47,561,4101
200160-8,47,2414,4101
200161-6,47,2414,4101
200162-4,47,2414,4101
200163-2,47,2414,4101
200164-0,47,2414,4101
200165-9,47,2414,4101
200166-7,47,2414,4101
200167-5,47,2414,4101
200168-3,47,2414,4101
200169-1,47,2414,4101
200170-5,47,2414,4101
200171-3,47,2414,4101
200172-1,47,2414,4101
200173-K,47,2414,4101
200174-8,47,2414,4101
200175-6,47,2414,4101
200176-4,47,2414,4101
200177-2,47,2414,4101
200178-0,47,2414,4101
200179-9,47,2414,4101
200180-2,47,2414,4101
200181-0,47,2414,4101
200182-9,47,2414,4101
200183-7,47,2414,4101
200184-5,47,2414,4101
200185-3,47,2414,4101
200186-1,47,2414,4101
200187-K,47,2414,4101
200188-8,47,2414,4101
200189-6,47,2414,4101
200190-K,47,2414,4101
200191-8,47,2414,4101
200192-6,47,2414,4101
200193-4,47,2414,4101
200194-2,47,2414,4101
200195-0,47,2414,4101
200196-9,47,2414,4101
200197-7,47,2414,4101
200198-5,47,2414,4101
200199-3,47,2414,4101
200200-0,48,601,4101
200201-9,48,601,4101
200202-7,48,601,4101
200203-5,48,601,4101
200204-3,48,601,4101
200205-1,48,601,4101
200206-K,48,601,4101
200207-8,48,601,4101
200208-6,48,601,4101
200209-4,48,601,4101
200210-8,48,601,4101
200211-6,48,601,4101
200212-4,48,601,4101
200213-2,48,601,4101
200214-0,48,601,4101
200215-9,48,601,4101
200216-7,48,601,4101
200217-5,48,601,4101
200218-3,48,601,4101
200219-1,48,601,4101
200220-5,48,601,4101
200221-3,48,601,4101
200222-1,48,601,4101
200223-K,48,601,4101
200224-8,48,601,4101
200225-6,48,601,4101
200226-4,48,601,4101
200227-2,48,601,4101
200228-0,48,601,4101
200229-9,48,601,4101
200230-2,48,601,4101
200231-0,48,601,4101
200232-9,48,601,4101
200233-7,48,601,4101
200234-5,48,601,4101
200235-3,48,601,4101
200236-1,48,601,4101
200237-K,48,601,4101
200238-8,48,601,4101
200239-6,48,601,4101
200240-K,48,601,4101
200241-8,48,601,4101
200242-6,48,601,4101
200243-4,48,601,4101
200244-2,48,601,4101
200245-0,48,601,4101
200246-9,48,601,4101
200247-7,48,601,4101
200248-5,48,606,4101
200249-3,48,606,4101
200250-7,48,606,4101
200251-5,48,606,4101
200252-3,48,606,4101
200253-1,48,606,4101
200254-K,48,606,4101
200255-8,48,606,4101
200256-6,48,606,4101
200257-4,48,606,4101
200258-2,48,606,4101
200259-0,48,606,4101
200260-4,48,606,4101
200261-2,48,606,4101
200262-0,48,606,4101
200263-9,48,606,4101
200264-7,48,606,4101
200265-5,48,606,4101
200266-3,48,606,4101
200267-1,48,606,4101
200268-K,48,606,4101
200269-8,48,606,4101
200270-1,48,606,4101
200271-K,48,606,4101
200272-8,48,1302,4101
200273-6,48,1302,4101
200274-4,48,1302,4101
200275-2,48,1302,4101
200276-0,48,1302,4101
200277-9,48,1302,4101
200278-7,48,1302,4101
200279-5,48,1302,4101
200280-9,48,1302,4101
200281-7,48,1302,4101
200282-5,48,1302,4101
200283-3,48,1302,4101
200284-1,48,1302,4101
200285-K,48,1302,4101
200286-8,48,1302,4101
200287-6,48,1302,4101
200288-4,48,1302,4101
200289-2,48,1302,4101
200290-6,48,1302,4101
200291-4,48,1302,4101
200292-2,48,1302,4101
200293-0,48,1302,4101
200294-9,48,1302,4101
200295-7,48,1302,4101
200296-5,48,1302,4101
200297-3,48,1302,4101
200298-1,48,1302,4101
200299-K,48,1302,4101
200300-7,48,1306,4101
200301-5,48,1306,4101
200302-3,48,1306,4101
200303-1,48,1306,4101
200304-K,48,1306,4101
200305-8,48,1306,4101
200306-6,48,1306,4101
200307-4,48,1306,4101
200308-2,48,1306,4101
200309-0,48,1306,4101
200310-4,48,1306,4101
200311-2,48,1306,4101
200312-0,48,1306,4101
200313-9,48,1306,4101
200314-7,48,1306,4101
200315-5,48,1306,4101
200316-3,48,1306,4101
200317-1,48,1306,4101
200318-K,48,1306,4101
200319-8,48,1306,4101
200320-1,48,1306,4101
200321-K,48,1306,4101
200322-8,48,1306,4101
200323-6,48,1306,4101
200324-4,48,1306,4101
200325-2,48,1306,4101
200326-0,48,1306,4101
200327-9,48,1306,4101
200328-7,48,1306,4101
200329-5,48,1306,4101
200330-9,48,1306,4101
200331-7,48,1306,4101
200332-5,48,1306,4101
200333-3,48,1306,4101
200334-1,48,1306,4101
200335-K,48,1306,4101
200336-8,48,1313,4101
200337-6,48,1313,4101
200338-4,48,1313,4101
200339-2,48,1313,4101
200340-6,48,1313,4101
200341-4,48,1313,4101
200342-2,48,1313,4101
200343-0,48,1313,4101
200344-9,48,1313,4101
200345-7,48,1313,4101
200346-5,48,1313,4101
200347-3,48,1313,4101
200348-1,48,1313,4101
200349-K,48,1313,4101
200350-3,48,1313,4101
200351-1,48,1313,4101
200352-K,48,1313,4101
200353-8,48,1313,4101
200354-6,48,1313,4101
200355-4,48,1313,4101
200356-2,48,1313,4101
200357-0,48,1313,4101
200358-9,48,1313,4101
200359-7,48,1313,4101
200360-0,48,1313,4101
200361-9,48,1313,4101
200362-7,48,1313,4101
200363-5,48,1313,4101
200364-3,48,1313,4101
200365-1,48,1324,4101
200366-K,48,1324,4101
200367-8,48,1324,4101
200368-6,48,1324,4101
200369-4,48,1324,4101
200370-8,48,1324,4101
200371-6,48,1324,4101
200372-4,48,1324,4101
200373-2,48,1324,4101
200374-0,48,1324,4101
200375-9,48,1324,4101
200376-7,48,1324,4101
200377-5,48,1324,4101
200378-3,48,1324,4101
200379-1,48,1324,4101
200380-5,48,1324,4101
200381-3,48,1324,4101
200382-1,48,1324,4101
200383-K,48,1324,4101
200384-8,48,1324,4101
200385-6,48,1324,4101
200386-4,48,1324,4101
200387-2,48,1324,4101
200388-0,48,1324,4101
200389-9,48,1324,4101
200390-2,48,1324,4101
200391-0,48,1324,4101
200392-9,48,1324,4101
200393-7,48,1324,4101
200394-5,48,1324,4101
200395-3,48,1324,4101
200396-1,48,1324,4101
200397-K,48,1324,4101
200398-8,48,1324,4101
200399-6,48,1324,4101
200400-3,48,1324,4101
200401-1,48,1324,4101
200402-K,48,1324,4101
200403-8,48,1324,4101
200404-6,48,1324,4101
200405-4,48,1324,4101
200406-2,48,1324,4101
200407-0,48,1324,4101
200408-9,48,1328,4101
200409-7,48,1328,4101
200410-0,48,1328,4101
200411-9,48,1328,4101
200412-7,48,1328,4101
200413-5,48,1328,4101
200414-3,48,1328,4101
200415-1,48,1328,4101
200416-K,48,1328,4101
200417-8,48,1328,4101
200418-6,48,1328,4101
200419-4,48,1328,4101
200420-8,48,1328,4101
200421-6,48,1328,4101
200422-4,48,1328,4101
200423-2,48,1328,4101
200424-0,48,1328,4101
200425-9,48,1328,4101
200426-7,48,1328,4101
200427-5,48,1328,4101
200428-3,48,1328,4101
200429-1,48,1328,4101
200430-5,48,1328,4101
200431-3,48,1328,4101
200432-1,48,1328,4101
200433-K,48,1328,4101
200434-8,48,1328,4101
200435-6,48,1328,4101
200436-4,48,1328,4101
200437-2,48,1328,4101
200438-0,48,1328,4101
200439-9,48,1328,4101
200440-2,48,2125,4101
200441-0,48,2125,4101
200442-9,48,2125,4101
200443-7,48,2125,4101
200444-5,48,2125,4101
200445-3,48,2125,4101
200446-1,48,2125,4101
200447-K,48,2125,4101
200448-8,48,2125,4101
200449-6,48,2125,4101
200450-K,48,2125,4101
200451-8,48,2125,4101
200452-6,48,2125,4101
200453-4,48,2125,4101
200454-2,48,2125,4101
200455-0,48,2125,4101
200456-9,48,2125,4101
200457-7,48,2125,4101
200458-5,50,613,4101
200459-3,50,613,4101
200460-7,50,613,4101
200461-5,50,613,4101
200462-3,50,613,4101
200463-1,50,613,4101
200464-K,50,613,4101
200465-8,50,613,4101
200466-6,50,613,4101
200467-4,50,613,4101
200468-2,50,613,4101
200469-0,50,613,4101
200470-4,50,613,4101
200471-2,50,613,4101
200472-0,50,613,4101
200473-9,50,613,4101
200474-7,50,613,4101
200475-5,50,613,4101
200476-3,50,613,4101
200477-1,50,613,4101
200478-K,50,613,4101
200479-8,50,613,4101
200480-1,50,613,4101
200481-K,50,613,4101
200482-8,50,613,4101
