IDFolio,IDPersona,IDViaje,ZonaOrigen,ZonaDestino,HoraInicioAmPm,HoraTerminoAmPm,HoraDejoDestino,HoraDejoDestinoAmPm,ComienzoViajeEnHogar,ComienzoViajeOtroLugar,OtroProposito
102006,1,2,32,8,PM,PM,12/30/99 00:00:00,00,1,0,
102193,1,1,8,8,AM,AM,12/30/99 13:00:00,PM,1,0,
102193,1,2,8,8,PM,PM,12/30/99 15:50:00,PM,1,0,
102193,1,3,8,8,PM,PM,12/30/99 20:00:00,PM,1,0,
102193,1,4,8,8,PM,PM,12/30/99 00:00:00,00,1,0,
102362,1,1,8,8,AM,AM,12/30/99 13:00:00,PM,1,0,A LA IGLESIA
102362,1,2,8,8,PM,PM,12/30/99 15:00:00,PM,1,0,
102362,1,3,8,8,PM,PM,12/30/99 21:25:00,PM,1,0,A LA IGLESIA
102362,1,4,8,8,PM,PM,12/30/99 00:00:00,00,1,0,
102362,2,1,8,8,AM,AM,12/30/99 13:00:00,PM,1,0,A LA IGLESIA
102362,2,2,8,8,PM,PM,12/30/99 15:00:00,PM,1,0,
102362,2,3,8,8,PM,PM,12/30/99 21:25:00,PM,1,0,A LA IGLESIA
102362,2,4,8,8,PM,PM,12/30/99 00:00:00,00,1,0,
102368,1,1,8,9,AM,AM,12/30/99 08:40:00,AM,1,0,
102368,1,2,9,8,AM,AM,12/30/99 12:15:00,PM,1,0,
102368,1,3,8,9,PM,PM,12/30/99 12:30:00,PM,1,0,
102368,1,4,9,8,PM,PM,12/30/99 00:00:00,00,1,0,
102368,3,1,8,1,AM,AM,12/30/99 18:30:00,PM,1,0,
102368,3,2,1,8,PM,PM,12/30/99 00:00:00,00,1,0,
102368,4,1,8,1,AM,AM,12/30/99 18:30:00,PM,1,0,
102368,4,2,1,8,PM,PM,12/30/99 00:00:00,00,1,0,
102368,5,1,8,9,AM,AM,12/30/99 12:30:00,PM,1,0,
102368,5,2,9,8,PM,PM,12/30/99 00:00:00,00,1,0,
102370,1,1,8,4,AM,AM,12/30/99 17:40:00,PM,1,0,
102370,1,2,4,8,PM,PM,12/30/99 00:00:00,00,1,0,
102370,2,1,8,44,AM,AM,12/30/99 19:00:00,PM,1,0,
102370,2,2,44,8,PM,PM,12/30/99 00:00:00,00,1,0,
102370,4,1,8,11,PM,PM,12/30/99 19:30:00,PM,1,0,
102370,4,2,11,9,PM,PM,12/30/99 00:00:00,00,1,0,
102370,5,1,8,11,PM,PM,12/30/99 19:30:00,PM,1,0,
102370,5,2,11,9,PM,PM,12/30/99 00:00:00,00,1,0,
102370,6,1,8,11,PM,PM,12/30/99 19:30:00,PM,1,0,
102370,6,2,11,9,PM,PM,12/30/99 00:00:00,00,1,0,
102399,1,1,8,12,AM,AM,12/30/99 08:00:00,AM,1,0,
102399,1,2,12,8,AM,AM,12/30/99 11:00:00,AM,1,0,
102399,1,3,8,10,AM,AM,12/30/99 12:00:00,PM,1,0,
102399,1,4,10,8,PM,PM,12/30/99 15:50:00,PM,1,0,
102399,1,5,8,12,PM,PM,12/30/99 16:00:00,PM,1,0,
102399,1,6,12,8,PM,PM,12/30/99 00:00:00,00,1,0,
102399,2,1,8,46,AM,AM,12/30/99 19:00:00,PM,1,0,
102399,2,2,46,8,PM,PM,12/30/99 00:00:00,00,1,0,
102399,3,1,8,11,AM,AM,12/30/99 19:00:00,PM,1,0,
102399,3,2,11,8,PM,PM,12/30/99 00:00:00,00,1,0,
102399,4,1,8,14,AM,AM,12/30/99 13:30:00,PM,1,0,
102399,4,2,14,8,PM,PM,12/30/99 00:00:00,00,1,0,
102399,5,1,8,14,AM,AM,12/30/99 13:30:00,PM,1,0,
102399,5,2,14,8,PM,PM,12/30/99 00:00:00,00,1,0,
102399,6,1,8,12,AM,AM,12/30/99 16:00:00,PM,1,0,
102399,6,2,12,8,PM,PM,12/30/99 00:00:00,00,1,0,
102453,1,1,8,1,AM,AM,12/30/99 17:30:00,PM,1,0,
102453,1,2,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102453,10,1,8,12,PM,PM,12/30/99 18:45:00,PM,1,0,
102453,10,2,12,8,PM,PM,12/30/99 00:00:00,00,1,0,
102453,2,1,8,12,PM,PM,12/30/99 14:05:00,PM,1,0,
102453,2,2,12,8,PM,PM,12/30/99 18:10:00,PM,1,0,
102453,2,3,8,12,PM,PM,12/30/99 18:45:00,PM,1,0,
102453,2,4,12,8,PM,PM,12/30/99 00:00:00,00,1,0,
102453,3,1,8,1,AM,AM,12/30/99 17:30:00,PM,1,0,
102453,3,2,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102453,4,1,8,9,AM,AM,12/30/99 11:10:00,AM,1,0,
102453,4,2,9,9,AM,AM,12/30/99 17:15:00,PM,1,0,
102453,4,3,9,9,PM,PM,12/30/99 17:30:00,PM,1,0,
102453,4,4,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102453,5,1,8,43,AM,AM,12/30/99 18:30:00,PM,1,0,
102453,5,2,43,8,PM,PM,12/30/99 00:00:00,00,1,0,
102453,6,1,8,10,AM,AM,12/30/99 15:50:00,PM,1,0,
102453,6,2,10,9,PM,PM,12/30/99 00:00:00,00,1,0,
102453,7,1,8,10,AM,AM,12/30/99 15:50:00,PM,1,0,
102453,7,2,10,9,PM,PM,12/30/99 00:00:00,00,1,0,
102453,8,1,8,1,AM,AM,12/30/99 20:30:00,PM,1,0,
102453,8,2,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102453,9,1,8,12,PM,PM,12/30/99 18:45:00,PM,1,0,
102453,9,2,12,8,PM,PM,12/30/99 00:00:00,00,1,0,
102471,1,1,9,10,AM,AM,12/30/99 12:30:00,PM,1,0,
102471,1,2,10,9,PM,PM,12/30/99 00:00:00,00,1,0,
102471,2,1,9,9,PM,PM,12/30/99 17:00:00,PM,1,0,
102471,2,2,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102471,3,1,9,10,AM,AM,12/30/99 08:35:00,AM,1,0,
102471,3,2,10,9,AM,AM,12/30/99 12:00:00,PM,1,0,
102471,3,3,9,10,PM,PM,12/30/99 12:30:00,PM,1,0,
102471,3,4,10,9,PM,PM,12/30/99 14:30:00,PM,1,0,
102471,3,5,9,9,PM,PM,12/30/99 14:35:00,PM,1,0,
102471,3,6,9,9,PM,PM,12/30/99 16:55:00,PM,1,0,
102471,3,7,9,9,PM,PM,12/30/99 17:00:00,PM,1,0,
102471,3,8,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102471,5,1,9,1,AM,AM,12/30/99 17:00:00,PM,1,0,
102471,5,2,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102471,6,1,9,9,PM,PM,12/30/99 17:00:00,PM,1,0,
102471,6,2,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102561,1,1,9,18,AM,AM,12/30/99 11:20:00,AM,1,0,
102561,1,2,18,9,AM,PM,12/30/99 00:00:00,00,1,0,
102561,2,1,9,11,AM,AM,12/30/99 14:00:00,PM,1,0,
102561,2,2,11,9,PM,PM,12/30/99 00:00:00,00,1,0,
102561,3,1,9,9,AM,AM,12/30/99 17:10:00,PM,1,0,
102561,3,2,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102561,4,1,9,9,AM,AM,12/30/99 17:00:00,PM,1,0,
102561,4,2,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102561,5,1,9,9,AM,AM,12/30/99 17:10:00,PM,1,0,
102561,5,2,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102639,2,1,9,18,AM,PM,12/30/99 12:45:00,PM,1,0,
102639,2,2,18,1,PM,PM,12/30/99 15:00:00,PM,1,0,
102639,2,3,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102639,3,1,9,18,AM,PM,12/30/99 12:45:00,PM,1,0,
102639,3,2,18,1,PM,PM,12/30/99 15:00:00,PM,1,0,
102639,3,3,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102639,4,1,9,18,AM,PM,12/30/99 12:45:00,PM,1,0,
102639,4,2,18,1,PM,PM,12/30/99 15:00:00,PM,1,0,
102639,4,3,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102735,1,1,9,98,AM,AM,12/30/99 17:30:00,PM,1,0,
102735,1,2,98,9,PM,PM,12/30/99 00:00:00,00,1,0,
102735,2,1,9,38,AM,AM,12/30/99 19:00:00,PM,1,0,
102735,2,2,38,9,PM,PM,12/30/99 00:00:00,00,1,0,
102737,1,1,9,9,AM,AM,12/30/99 16:00:00,PM,1,0,
102737,1,2,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102737,2,1,9,9,AM,AM,12/30/99 13:00:00,PM,1,0,
102737,2,2,9,9,PM,PM,12/30/99 15:50:00,PM,1,0,
102737,2,3,9,9,PM,PM,12/30/99 16:00:00,PM,1,0,
102737,2,4,9,9,PM,PM,12/30/99 00:00:00,00,1,0,
102737,3,1,9,1,AM,AM,12/30/99 19:00:00,PM,1,0,
102737,3,2,1,9,PM,PM,12/30/99 00:00:00,00,1,0,
102871,1,1,9,11,AM,AM,12/30/99 18:00:00,PM,1,0,
102871,1,2,11,9,PM,PM,12/30/99 00:00:00,00,1,0,
102871,2,1,9,12,PM,PM,12/30/99 14:05:00,PM,1,0,
102871,2,2,12,9,PM,PM,12/30/99 18:15:00,PM,1,0,
102871,2,3,9,39,PM,PM,12/30/99 22:00:00,PM,1,0,
102871,2,4,39,9,PM,PM,12/30/99 00:00:00,00,1,0,
102871,3,1,9,12,PM,PM,12/30/99 19:00:00,PM,1,0,
102871,3,2,12,9,PM,PM,12/30/99 00:00:00,00,1,0,
