IDFolio,IngresoImputado
207480,611000
207569,494545
207570,998333
207571,998333
207575,998333
207602,494545
207740,998333
207742,998333
207792,494545
207824,998333
207885,494545
207886,494545
207976,494545
207987,494545
208325,217804
208698,483518
209161,469500
209603,162727
209958,199642
210005,424117
210978,184459
211052,184459
211078,184459
211197,184459
211210,184459
211281,181296
211339,893125
211349,893125
212402,221575
212445,469098
212752,221575
213412,221575
216630,510000
216731,510000
217127,510000
217607,457500
217637,252857
217855,296111
217876,400000
217885,400000
217952,296111
217982,296111
218013,400000
218250,462500
218268,462500
218502,462500
218918,1122500
230072,184459
500046,560000
507674,600000
507812,600000
509801,1125000
512216,180000
512535,180000
515025,150000
518395,560000
524482,1035000
531086,420000
600287,210000
600835,300000
600838,240000
601217,800000
603264,800000
604647,440000
605041,544000
607154,520000
610820,210000
8400307,600000
9473201,300000
21511940,240000
23414408,1125000
26420501,600000
27404401,1710000
30459201,180000
30640506,520000
33483616,520000
37586616,150000
38600008,480000
38605701,760000
54128701,600000
71168801,990000
92529514,520000
92529603,560000
100086,378333
100442,378333
100724,326071
100810,210666
101289,182250
101889,326833
101913,182250
102639,190277
103184,238750
103195,226428
103203,435000
103376,435000
103902,1200000
103944,521000
103955,1200000
104010,445000
104390,473750
104774,185000
104838,464830
104850,212173
104855,212173
107845,1113571
107846,508620
107849,508620
107943,1113571
107945,508620
107947,1113571
107948,508620
107953,1113571
107954,1113571
107960,1113571
107963,1113571
107964,508620
107966,508620
107970,508620
107971,508620
107972,1113571
108308,1177500
109319,1280000
109328,1280000
109518,1280000
109883,548666
109926,548666
109939,548666
109971,548666
109984,1042368
110066,1042368
110541,450833
110690,450833
111043,409117
111069,409117
111092,409117
111413,190714
111714,409117
113837,243392
115116,243392
115132,459863
115135,459863
115146,459863
115150,459863
115181,459863
115912,267272
116275,525000
116296,525000
116318,525000
116468,578000
116478,525000
116492,525000
116503,525000
118521,1057500
118708,1057500
119003,544772
119279,518095
121277,486504
126200,485609
126393,180303
126394,485609
126625,180303
126795,485609
127655,471111
127658,230500
128215,194500
128352,485344
128863,194500
129025,485344
129062,485344
129227,485344
131431,471875
132409,236388
132413,236388
132419,236388
132430,236388
133030,345774
200009,510000
200107,465000
200114,465000
200123,465000
200129,202553
200532,195714
200850,498333
200881,156250
200908,156250
200909,156250
201012,247500
201034,559583
201180,559583
201295,934000
201444,422916
201643,478750
201708,365000
201742,365000
201776,365000
201927,365000
202033,365000
202040,365000
202067,365000
202235,420909
202249,420909
202271,574285
202312,1234000
202318,574285
202349,574285
202398,1217857
202624,597142
202703,1217857
202745,1217857
202992,1488461
203040,1488461
203347,1215000
203395,1215000
203431,1215000
203592,1022916
203627,1022916
203696,624130
203741,721973
203950,965000
203967,462500
204001,462500
204008,462500
204035,462500
204196,467000
204242,467000
204243,429531
204515,1087500
204517,1087500
204520,1087500
204709,1334000
204716,935909
204818,1334000
204819,1334000
204999,565227
205155,604886
205306,565227
205363,604886
205747,557200
206033,484210
206035,1335000
206216,484210
206346,550972
206455,550972
206457,550972
206872,1224107
206888,1224107
206940,547352
206943,547352
206964,547352
207007,547352
207128,845277
207130,1224107
207254,1224107
207430,547352
207456,611000
207477,1358333
207478,611000
