IDFolio,IDPersona,IDLicenciaConducir,IDTipoLicenciaConducir
104402,2,1,2
104402,3,2,0
104402,4,2,0
104407,1,2,0
104407,2,2,0
104420,1,1,6
104420,2,2,0
104420,3,1,6
104420,4,2,0
104420,5,2,0
104420,6,2,0
104524,1,2,0
104524,2,2,0
104524,3,2,0
104524,4,2,0
104675,1,2,0
104675,2,2,0
104675,3,2,0
104675,4,1,6
104675,5,2,0
104677,1,2,0
104677,2,2,0
104677,3,2,0
104677,4,2,0
104774,1,1,6
104774,2,2,0
104774,3,2,0
104774,4,2,0
104777,1,1,6
104777,2,1,6
104777,3,2,0
104779,1,2,0
104779,2,2,0
104779,3,2,0
104838,1,1,6
104838,2,2,0
104838,3,2,0
104838,4,2,0
104850,1,1,6
104850,2,2,0
104850,3,2,0
104850,4,2,0
104850,5,2,0
104850,6,2,0
104855,1,2,0
104855,2,2,0
104855,3,2,0
104855,4,2,0
104857,1,2,0
104857,2,1,6
104857,3,2,0
104857,4,2,0
104901,1,2,0
104901,2,2,0
104903,1,1,6
104903,2,2,0
104903,3,2,0
104903,4,2,0
104910,1,1,6
104910,2,1,6
104931,1,1,6
104931,2,2,0
104931,3,2,0
104931,4,2,0
104955,1,2,0
104955,2,2,0
104955,3,2,0
105013,1,1,6
105013,2,2,0
105013,3,2,0
105013,4,2,0
105061,1,1,6
105061,2,2,0
105061,3,2,0
105127,1,2,0
105127,2,1,6
105127,3,2,0
105127,4,2,0
105127,5,2,0
105127,6,1,6
105344,1,1,6
105344,2,1,6
105344,3,2,0
106082,1,1,2
106082,2,2,0
106082,3,2,0
106082,4,2,0
106082,5,2,0
106552,1,2,0
106552,2,1,6
106552,3,2,0
106552,4,2,0
106556,1,2,0
106556,2,2,0
106556,3,2,0
107842,1,1,6
107842,2,1,6
107842,3,1,6
107842,4,1,6
107842,5,1,6
107842,6,2,0
107842,7,2,0
107845,1,1,6
107845,2,1,6
107845,3,2,0
107845,4,2,0
107846,1,1,6
107846,2,1,6
107846,3,2,0
107846,4,2,0
107849,1,2,0
107849,2,2,0
107849,3,2,0
107849,4,2,0
107851,1,2,0
107851,2,2,0
107851,3,2,0
107943,1,1,6
107943,2,1,6
107943,3,2,0
107943,4,1,6
107945,1,2,0
107946,1,1,6
107946,2,2,0
107947,1,1,6
107947,2,1,6
107947,3,1,6
107948,1,1,6
107948,2,2,0
107953,1,1,6
107953,2,2,0
107954,1,1,6
107954,2,1,6
107954,3,1,6
107954,4,1,6
107954,5,2,0
107954,6,2,0
107954,7,1,6
107956,1,2,0
107956,2,1,6
107956,3,2,0
107956,4,2,0
107960,1,1,6
107960,2,1,6
107960,3,2,0
107960,4,2,0
107961,1,2,0
107961,2,2,0
107961,3,2,0
107963,1,1,6
107963,2,1,6
107964,1,2,0
107965,1,1,6
107965,2,1,6
107965,3,2,0
107966,1,2,0
107966,2,2,0
107967,1,2,0
107967,2,2,0
107967,3,2,0
107967,4,2,0
107967,5,2,0
107968,1,1,6
107968,2,2,0
107968,3,2,0
107969,1,1,6
107969,2,1,6
107969,3,1,6
107969,4,1,6
107969,5,2,0
107969,6,2,0
107970,1,2,0
107970,2,2,0
107970,3,1,6
107970,4,2,0
107970,5,2,0
107971,1,1,6
107971,2,2,0
107971,3,2,0
107971,4,1,6
107971,5,2,0
107972,1,1,6
107972,2,2,0
107972,3,1,6
107972,4,2,0
107972,5,2,0
107975,1,2,0
107975,2,2,0
107975,3,2,0
107984,1,1,6
107984,2,1,6
107986,1,1,6
107986,2,1,6
107986,3,1,6
108209,1,1,6
108209,2,2,0
108209,3,2,0
108211,1,1,6
108211,2,1,6
108285,1,1,6
108285,2,2,0
108286,1,1,6
108286,2,2,0
108286,3,1,6
108286,4,2,0
108286,5,2,0
108307,1,1,6
108308,1,1,6
108308,2,1,6
108308,3,2,0
108308,4,2,0
108317,1,1,6
108317,2,1,6
108320,1,2,0
108320,2,1,6
108325,1,2,0
108325,2,2,0
108325,3,2,0
108325,4,2,0
108325,5,2,0
108645,1,1,6
108645,2,1,6
108645,3,1,6
108645,4,1,6
108645,5,2,0
108754,1,1,6
108754,2,1,6
108754,3,1,6
108754,4,2,0
108755,1,1,6
108755,2,2,0
108755,3,2,0
108755,4,2,0
108757,1,2,0
108757,2,1,6
108761,1,1,6
108761,2,1,6
108761,3,1,6
108761,4,1,6
109096,1,1,6
109096,2,2,0
109099,1,2,0
109099,2,2,0
109283,1,1,6
109283,2,1,6
109283,3,2,0
109283,4,2,0
109319,1,1,6
109319,2,2,0
109319,3,2,0
109319,4,2,0
109328,1,1,6
109328,2,1,6
109328,3,2,0
109328,4,2,0
109518,1,1,6
109518,2,1,6
109518,3,2,0
109518,4,2,0
109520,1,1,6
109520,2,1,6
109520,3,2,0
109523,1,2,0
109523,2,1,6
109523,3,1,6
109775,1,1,6
109775,2,2,0
109822,1,1,6
109822,2,2,0
109822,3,2,0
109822,4,2,0
109883,1,2,0
109883,2,2,0
109883,3,2,0
109883,4,2,0
109914,1,2,0
109914,2,2,0
109914,3,2,0
109916,1,2,0
109916,2,2,0
109916,3,2,0
109916,4,2,0
109926,1,1,2
109926,2,2,0
109926,3,2,0
109939,1,2,0
109939,2,2,0
109939,3,2,0
109952,1,1,4
109952,2,2,0
109952,3,2,0
109954,1,2,0
109971,1,1,6
109971,2,1,6
109971,3,2,0
109971,4,2,0
109971,5,2,0
109971,6,2,0
109984,1,1,6
109984,2,1,6
109984,3,2,0
109984,4,2,0
109984,5,2,0
110066,1,1,6
110066,2,1,6
110066,3,2,0
110066,4,2,0
110066,5,2,0
110436,1,1,6
110541,1,2,0
110541,2,2,0
110641,1,1,6
110641,2,2,0
110666,1,1,6
110666,2,2,0
110690,1,1,6
110690,2,1,6
110690,3,2,0
110690,4,2,0
111043,1,1,6
111069,1,1,6
111069,2,1,6
111092,1,1,6
111092,2,1,6
111092,3,2,0
111092,4,2,0
111168,1,1,6
111168,2,2,0
111168,3,1,6
111373,1,2,0
111379,1,2,0
111379,2,2,0
111379,3,2,0
111413,1,1,6
111413,2,1,6
111413,3,2,0
111413,4,2,0
111444,1,2,0
111444,2,2,0
111444,3,2,0
111444,4,2,0
111680,1,2,0
111680,2,2,0
111680,3,2,0
111680,4,2,0
111680,5,2,0
111680,6,2,0
111714,1,1,6
111714,2,1,6
111714,3,2,0
111714,4,2,0
111770,1,1,6
111770,2,2,0
111770,3,2,0
111770,4,2,0
113144,1,2,0
113144,2,2,0
113144,3,2,0
113144,4,2,0
113144,5,2,0
113749,1,1,2
113749,2,2,0
113764,1,1,1
113764,2,2,0
113764,3,2,0
113772,1,2,0
113772,2,1,1
113783,1,1,6
113783,2,2,0
113783,3,2,0
113783,4,2,0
113798,1,2,0
113798,2,2,0
113798,3,2,0
113807,1,2,0
113807,2,2,0
113807,3,2,0
113811,1,2,0
113811,2,2,0
113811,3,2,0
113811,4,2,0
113813,1,1,6
113813,2,2,0
113820,1,1,1
113820,2,2,0
113820,3,2,0
113820,4,2,0
113820,5,2,0
113825,1,1,6
113825,2,2,0
113831,1,2,0
113831,2,2,0
113831,3,2,0
113831,4,2,0
113835,1,2,0
113835,2,2,0
113835,3,2,0
113835,4,2,0
113835,5,2,0
113837,1,2,0
113837,2,2,0
113837,3,2,0
113842,1,2,0
113842,2,2,0
113842,3,2,0
113842,4,2,0
113847,1,1,6
113847,2,2,0
113847,3,2,0
113847,4,2,0
113847,5,2,0
113849,1,2,0
113850,1,2,0
113850,2,2,0
113850,3,2,0
113850,4,2,0
113851,1,1,6
113851,2,1,6
113851,3,2,0
113869,1,2,0
113869,2,2,0
113869,3,2,0
113869,4,2,0
113874,1,2,0
113874,2,2,0
113874,3,2,0
113874,4,2,0
113874,5,2,0
113875,1,1,6
113875,2,2,0
113875,3,2,0
113875,4,2,0
113882,1,1,6
113882,2,2,0
113882,3,2,0
113882,4,2,0
113882,5,2,0
113910,1,2,0
113910,2,2,0
113910,3,2,0
113910,4,2,0
114057,1,2,0
114057,2,2,0
115116,1,2,0
115116,2,2,0
115123,1,1,6
115132,1,1,6
115132,2,1,6
115132,3,2,0
115135,1,2,0
115135,2,2,0
115139,1,1,6
115139,2,2,0
115139,3,1,6
115146,1,1,6
115146,2,2,0
115150,1,1,6
115150,2,2,0
115181,1,2,0
115181,2,2,0
115181,3,1,6
115862,1,1,1
115862,2,2,0
115862,3,2,0
115862,4,2,0
115862,5,2,0
115885,1,2,0
115885,2,2,0
115908,1,1,1
115908,2,2,0
115908,3,2,0
115908,4,2,0
115909,1,1,6
115909,2,1,2
115912,1,1,4
115912,2,2,0
115912,3,2,0
115912,4,2,0
115912,5,2,0
115912,6,2,0
115954,1,2,0
115954,2,2,0
115958,1,2,0
115958,2,1,6
115979,1,2,0
115979,2,1,6
115979,3,2,0
115979,4,2,0
115979,5,2,0
116158,1,2,0
116158,2,2,0
116158,3,2,0
116158,4,2,0
116158,5,2,0
116159,1,2,0
116159,2,1,4
116159,3,2,0
116159,4,2,0
116161,1,2,0
116161,2,1,6
116161,3,2,0
116161,4,2,0
116275,1,1,6
116275,2,2,0
