IDModelo,CodigoModelo,Modelo,IDMarcaVehiculo
2002,2,AVELLA,20
2003,3,BESTA,20
2004,4,CARENS,20
2005,5,CERATTO,20
2006,6,GRAND CARNIVAL,20
2007,7,MORNING,20
2008,8,POP,20
2009,9,RIO,20
2010,10,SAFIRO,20
2011,11,SEPIA,20
2012,12,SORENTO,20
2013,13,SPORTAGE,20
2101,1,MOTO,21
2201,1,2105,22
2202,2,2106,22
2203,3,NIVA,22
2204,4,SAMARA,22
2301,1,DISCOVERY,23
2302,2,FREELANDER,23
2303,3,JEEP,23
2401,1,520,24
2501,1,0,25
2502,2,3,25
2503,3,0,25
2504,4,4,25
2505,5,0,25
2506,6,5,25
2507,7,0,25
2508,8,6,25
2509,9,0,25
2510,10,7,25
2511,11,0,25
2512,12,323,25
2513,13,626,25
2514,14,929,25
2515,15,ARTIS,25
2516,16,B 2200,25
2517,17,BT-50,25
2601,1,300,26
2602,2,313,26
2603,3,915,26
2604,4,A170,26
2605,5,BUS,26
2606,6,C500,26
2607,7,F500,26
2608,8,MEHC,26
2609,9,MERCEDEZ BENZ,26
2610,10,S320,26
2701,1,AUSTIN,27
2702,2,COOPER,27
2801,1,GALANT,28
2802,2,KATANA,28
2803,3,L 200,28
2804,4,LANCER,28
2805,5,MONTERO,28
2806,6,PAJERO,28
2901,1,D 21,29
2902,2,FURGON,29
2903,3,MISTRAL,29
2904,4,MURANO,29
2905,5,NAVARA,29
2906,6,PATHFINDER,29
2907,7,PLATINA,29
2908,8,PRIMERA,29
2909,9,pulsar,29
2910,10,SENTRA,29
2911,11,SUNNY,29
2912,12,TERRANO,29
2913,13,TIIDA,29
2914,14,V 16,29
2915,15,X TRAIL,29
2916,16,SIN INF,29
2917,17,I 10,29
3001,1,ASTRA,30
3002,2,CORSA,30
3003,3,ELECTRA,30
3004,4,VECTRA,30
3101,1,106,31
3102,2,205,31
3103,3,206,31
3104,4,307,31
3105,5,305,31
3106,6,306,31
3107,7,307,31
3108,8,308,31
3109,9,309,31
3110,10,405,31
3111,11,406,31
3112,12,407,31
3113,13,504,31
3114,14,505,31
3115,15,BOXER,31
3116,16,PARTNER,31
3201,1,4,32
3202,2,5,32
3203,3,18,32
3204,4,19,32
3205,5,CANGUR,32
3206,6,CLIO,32
3207,7,ESCENIC,32
3208,8,LAGUNA,32
3209,9,MEGANE,32
3210,10,SAMSUNG,32
3211,11,SIN INF,32
3301,1,SE16,33
3302,2,SM1,33
3303,3,SQ5,33
3304,4,SM3,33
3305,5,SM5,33
3401,1,ACTION,34
3402,2,CAIROS,34
3403,3,KYRON,34
3404,4,MUSSO,34
3405,5,REXTON,34
3501,1,CORDOVA,35
3502,2,IBIZA,35
3601,1,SIN INF,36
3701,1,FELICIA,37
3801,1,IMPREZZA,38
3802,2,LEGACY,38
3901,1,1,39
3902,2,AEREO,39
3903,3,ALTO,39
3904,4,BALENO,39
3905,5,CARRY,39
3906,6,FRONTE,39
3907,7,FURGON,39
3908,8,GN,39
3909,9,GRAND NOMADE,39
3910,10,GRAND VITARA,39
3911,11,IGNIS,39
3912,12,JX,39
3913,13,MARUTI,39
3914,14,SAMURAI,39
3915,15,SIN INF,39
3916,16,SWIF,39
3917,17,SWIFT,39
3918,18,VITARA,39
3919,19,SX4,39
3920,20,CELERIO,39
4001,1,4RUNNER,40
4002,2,COROLLA,40
4003,3,HILUX,40
4004,4,TERCEL,40
4005,5,YARIS,40
4006,6,SIN INF,40
4101,1,AMAZON,41
4102,2,BORA,41
4103,3,crossfox,41
4104,4,ESCARABAJO,41
4105,5,GOL,41
4106,6,GOLF,41
4107,7,PASSAT,41
4108,8,POLO,41
4109,9,S 80,41
4110,10,sport,41
4111,11,WETFALIA,41
4201,1,PASEO,42
4301,1,LAN,43
4401,1,SIN INF,44
4501,1,SIN INF,45
4601,1,SIN INF,46
4701,1,SIN INF,47
4801,1,SIN INF,48
4901,1,SIN INF,49
5001,1,SIN INF,50
5101,1,SIN INF,51
5201,1,SIN INF,52
5301,1,SIN INF,53
5401,1,SIN INF,54
5501,1,SIN INF,55
5601,1,SIN INF,56
5701,1,SIN INF,57
5801,1,SIN INF,58
5901,1,SIN INF,59
6001,1,SIN INF,60
6101,1,SIN INF,61
6201,1,SIN INF,62
6301,1,SIN INF,63
6401,1,SIN INF,64
6501,1,SIN INF,65
6601,1,SIN INF,66
6701,1,SIN INF,67
6801,1,SIN INF,68
6901,1,SIN INF,69
7001,1,SIN INF,70
7101,1,SIN INF,71
7201,1,SIN INF,72
7301,1,SIN INF,73
7401,1,SIN INF,74
7501,1,SIN INF,75
7601,1,SIN INF,76
101,1,A4,1
201,1,127-3B,2
301,1,328,3
302,2,M3,3
401,1,CHAVEDET,4
501,1,ALUET,5
502,2,ANTRA,5
503,3,APACHE,5
504,4,ASTRA,5
505,5,ASTROVAN,5
506,6,AVEO,5
507,7,BLAZER,5
508,8,C10,5
509,9,CAPTIVA,5
510,10,CAVALIER,5
511,11,CHEVETTE,5
512,12,COMBO,5
513,13,CORSA,5
514,14,DELUX,5
515,15,D-MAX,5
516,16,GEMINIS,5
517,17,LUV,5
518,18,MILENIUM,5
519,19,MONZA,5
520,20,NPR70,5
521,21,OPTRA,5
522,22,S10,5
523,23,SILVERADO,5
524,24,SPARK,5
525,25,TAHOE,5
526,26,TRIBLAZER,5
527,27,TROOPER,5
528,28,VIVANT,5
529,29,SIN INF,5
601,1,CRUISER CLASSIC,6
701,1,AURA,7
702,2,AX,7
703,3,BERLINGO,7
704,4,C 15,7
705,5,C3,7
706,6,C4,7
707,7,C5,7
708,8,FURGON,7
709,9,GP,7
710,10,PICASSO,7
711,11,SAHARA,7
712,12,SAXO,7
713,13,TZARA,7
714,14,ZX ,7
801,1,ESPERO,8
802,2,FEURGON,8
803,3,HEAVEN,8
804,4,LANUS,8
805,5,MATIS,8
806,6,NUBIRA,8
807,7,POINTER,8
808,8,RACER,8
809,9,TICO,8
901,1,APLAUSSE,9
902,2,BLUE,9
903,3,CHARADE,9
904,4,CUORE,9
905,5,GIRO,9
906,6,SPYRO,9
907,7,TERIOS,9
1001,1,150,10
1101,1,CARAVAN,11
1102,2,DAKOTA,11
1103,3,DURANGO,11
1104,4,INTREPID,11
1105,5,RAM,11
1106,6,CHALLENGER,11
1107,7,JOURNEY,11
1108,8,CALIBER,11
1109,9,SIN INF,11
1201,1,SCOTTER,12
1301,1,125,13
1302,2,131,13
1303,3,147,13
1304,4,600,13
1305,5,BRAVO,13
1306,6,FIORINO,13
1307,7,PALIO,13
1308,8,PUNTO,13
1309,9,SIENA,13
1310,10,UNO,13
1401,1,APACH,14
1402,2,ASCAPE,14
1403,3,ECO SPORT,14
1404,4,EURO SPORT,14
1405,5,EXPLORER,14
1406,6,F 10,14
1407,7,F 100,14
1408,8,F 150,14
