IDServicioBus,NombreServicioBus,Descripción
21,Liserco 4 B / V-E,Liserco 4 B / V-E
22,Liserco 6 / V-A,Liserco 6 / V-A
23,Lisanco 1 / T,Lisanco 1 / T
24,Lisanco 6 / T,Lisanco 6 / T
25,Lisanco A / V-A,Lisanco A / V-A
26,Lisanco B / V-A,Lisanco B / V-A
27,Lisanco L / V-A,Lisanco L / V-A
28,Lisanco N / V-B,Lisanco N / V-B
29,Lisanco S / V-A,Lisanco S / V-A
31,Andacollo,Andacollo
32,Anita Lizana,Anita Lizana
33,Antena La Serena,Antena La Serena
34,Baquedano,Baquedano
35,Bus de la empresa,Bus de la empresa
36,Bus del colegio,Bus del colegio
37,Bus Interurbano,Bus Interurbano
38,Cantera Coquimbo,Cantera Coquimbo
39,Caracoles,Caracoles
40,Centro,Centro
41,Directo,Directo
42,Directo Coquimbo,Directo Coquimbo
43,Directo La Serena,Directo La Serena
44,El Llano,El Llano
45,Fosfato,Fosfato
46,La Florida,La Florida
47,La Pampa,La Pampa
48,Larraín Alcalde,Larraín Alcalde
49,Las Compañías,Las Compañías
50,Las Torres,Las Torres
51,Las Villas,Las Villas
52,Lianco,Lianco
53,Lincosur,Lincosur
54,Línea 1,Línea 1
55,Línea 10,Línea 10
56,Línea 11,Línea 11
57,Línea 12,Línea 12
58,Línea 2,Línea 2
59,Línea 24,Línea 24
60,Línea 3,Línea 3
61,Línea 4,Línea 4
62,Línea 44,Línea 44
63,Línea 4B,Línea 4B
64,Línea 5,Línea 5
65,Línea 5B,Línea 5B
66,Línea 6,Línea 6
67,Línea 7,Línea 7
68,Línea 8,Línea 8
69,Línea 9,Línea 9
70,Línea 9C,Línea 9C
71,Línea A,Línea A
72,Línea B,Línea B
73,Línea C,Línea C
74,Línea Cerrillos,Línea Cerrillos
75,Lisanco,Lisanco
76,Liserco,Liserco
77,Los Arrayanes,Los Arrayanes
78,Luis Ayala,Luis Ayala
79,Manuel Rodríguez,Manuel Rodríguez
80,Ovalle,Ovalle
81,Parte Alta,Parte Alta
82,Peñuelas,Peñuelas
83,San Juan,San Juan
84,Sauce,Sauce
85,Serenamar,Serenamar
86,Sin Información,Sin Información
87,Sindempart,Sindempart
88,Tierras Blancas,Tierras Blancas
89,Tongoy,Tongoy
90,Transporte Escolar,Transporte Escolar
0,No aplica,No aplica
1,Otra Linea,Otra Linea
2,Bus Interurbano,Bus Interurbano
3,Bus Institucional,Bus Institucional
4,Lincosur 1 / V-A,Lincosur 1 / V-A
5,Lincosur 2 / V-E,Lincosur 2 / V-E
6,Lincosur 3 / V-D,Lincosur 3 / V-D
7,Lincosur 4 / V-E,Lincosur 4 / V-E
8,Lincosur 5B / V-B,Lincosur 5B / V-B
9,Lincosur 6 / T,Lincosur 6 / T
10,Lincosur 7 / V-A,Lincosur 7 / V-A
11,Lincosur 8 / V-D,Lincosur 8 / V-D
12,Lincosur 9C / V-C,Lincosur 9C / V-C
13,Lincosur 12 / T,Lincosur 12 / T
14,Lincosur A / ,Lincosur A / 
15,Lincosur / Altovalso,Lincosur / Altovalso
16,Liserco 1 / T,Liserco 1 / T
17,Liserco 2 / V-B,Liserco 2 / V-B
18,Liserco 3 / V-C,Liserco 3 / V-C
19,Liserco 3 / V-D,Liserco 3 / V-D
20,Liserco 4 - 8D / V-F,Liserco 4 - 8D / V-F
91,Vicuña,Vicuña
92,Villa Talinay,Villa Talinay
93,Vista Hermoza,Vista Hermoza
