IDServiciosTxc,NombreServiciosTxc,Descripcion
0,no aplica,no aplica
1,Otra Linea,Otra Linea
2,Servicio 1 / T,Servicio 1 / T
3, 1 / V-A, 1 / V-A
4, 1 / V-B, 1 / V-B
5, 2 / T, 2 / T
6, 2 / V-A, 2 / V-A
7, 4 / T, 4 / T
8, 4 / V-A, 4 / V-A
9, 4 / V-B, 4 / V-B
10, 5 / T, 5 / T
11, 5 / V-A, 5 / V-A
12, 5 / V-B, 5 / V-B
13, 6 / T, 6 / T
14, 6 / V-A, 6 / V-A
15, 6 / V-B, 6 / V-B
16, 6 / V-C, 6 / V-C
17, 7 / T, 7 / T
18, 8 / T, 8 / T
19, 8 / V-1, 8 / V-1
20, 9 / T, 9 / T
21, 9 / V-A, 9 / V-A
22, 9 / V-B, 9 / V-B
23, 9 / V-C, 9 / V-C
24, 9 / V-D, 9 / V-D
25, 9 / V-E, 9 / V-E
26, 10 / T, 10 / T
27, 10 / V-A, 10 / V-A
28, 10 / V-B, 10 / V-B
29, 10 / V-C, 10 / V-C
30, 11 / T, 11 / T
31, 11 / V-A, 11 / V-A
32, 12 / T, 12 / T
33, 12 / V-A, 12 / V-A
34, 13 / T, 13 / T
35, 13 / V-A, 13 / V-A
36, 13 / V-B, 13 / V-B
37, 13 / V-C, 13 / V-C
38, 14 / T, 14 / T
39, 14 / V-A, 14 / V-A
40, 15 / T, 15 / T
41, 15 / V-A, 15 / V-A
42, 16 / T, 16 / T
43, 16 / V-A, 16 / V-A
44, 17 / T, 17 / T
45, 17 / V-A, 17 / V-A
46, 17 / V-B, 17 / V-B
47, 18 / T, 18 / T
48, 18 / V-A, 18 / V-A
49, 18 / V-B, 18 / V-B
50, 19 / T, 19 / T
51, 19 / V-A, 19 / V-A
52, 20 / T, 20 / T
53, 20 / V-A, 20 / V-A
54, 21 / T, 21 / T
55, 21 / V-A, 21 / V-A
56, 21 / V-B, 21 / V-B
57, 21 / V-C, 21 / V-C
58, 21 / V-D, 21 / V-D
59, 22 / T, 22 / T
60, 22 / V-A, 22 / V-A
61, 22 / V-B, 22 / V-B
62, 23 / T, 23 / T
63, 24 / T, 24 / T
64, 24 / V-A, 24 / V-A
65, 24 / V-B, 24 / V-B
66, 25 / T, 25 / T
67, 26 / T, 26 / T
68, 26 / V-A, 26 / V-A
69, 27 / T, 27 / T
70, 27 / V-A, 27 / V-A
71, 28 / T, 28 / T
72, 28 / V-A, 28 / V-A
73, 29 / T, 29 / T
74, 30 / T, 30 / T
75, 30 / V-A, 30 / V-A
76, 31 / T, 31 / T
77, 31 / V, 31 / V
78, 31 / V-1, 31 / V-1
79, 32 / T, 32 / T
80, 32 / V-A, 32 / V-A
81, 33 / T, 33 / T
82, 33 / V-A, 33 / V-A
83, 33 / V-B, 33 / V-B
84, 34 / T, 34 / T
85, 34 / V-A, 34 / V-A
86, 35 / T, 35 / T
87, 35 / V-A, 35 / V-A
88, 35 / V-B, 35 / V-B
89, 36 / T, 36 / T
90, 36 / V-A, 36 / V-A
91, 37 / T, 37 / T
92, 37 / V-A, 37 / V-A
93, 38 / T, 38 / T
94, 38 / V-A, 38 / V-A
95, 39 / T, 39 / T
96, 39 / V-A, 39 / V-A
97, 39 / V-B, 39 / V-B
98, 40 / T, 40 / T
99, 40 / V-A, 40 / V-A
100, 41 / T, 41 / T
101, 41 / V-A, 41 / V-A
102, 42 / T, 42 / T
103, 42 / V-A, 42 / V-A
104, 42 / V-B, 42 / V-B
105, 43 / T, 43 / T
106, 43 / V-A, 43 / V-A
107, 43 / V-B, 43 / V-B
108, 44 / T, 44 / T
109, 44 / V-A, 44 / V-A
110, 44 / V-B, 44 / V-B
111, 45 / T, 45 / T
112, 45 / V-A, 45 / V-A
113, 45 / V-B, 45 / V-B
114, 46 / T, 46 / T
115, 46 / V-A, 46 / V-A
116, 47 / T, 47 / T
117, 48 / T, 48 / T
118, 49 / T, 49 / T
119, 49 / V-A, 49 / V-A
120, 49 / V-B, 49 / V-B
121, 51 / T, 51 / T
122, 51 / V-A, 51 / V-A
123, 51 / V-B, 51 / V-B
124, 53 / T, 53 / T
125, 55 / T, 55 / T
126, 55 / V-A, 55 / V-A
127, 56 / T, 56 / T
128, 57 / T, 57 / T
129, 58 / T, 58 / T
130, 58 / V-A, 58 / V-A
131, 59 / T, 59 / T
132, 59 / V, 59 / V
133, 61 / T, 61 / T
134, 62 / T, 62 / T
135, 62 / V-1, 62 / V-1
136, 63 / T, 63 / T
137, 63 / V-A, 63 / V-A
138, 64 / T, 64 / T
139, 65 / T, 65 / T
140, 65 / V-A, 65 / V-A
141, 65 / V-B, 65 / V-B
142, 66 / T, 66 / T
143, 66 / V-A, 66 / V-A
144, 67 / T, 67 / T
145, 68 / T, 68 / T
146, 68 / V-A, 68 / V-A
147, 69 / T, 69 / T
148, 69 / V-A, 69 / V-A
149, 70 / T, 70 / T
150, 70 / V, 70 / V
151, 71 / T, 71 / T
152, 71 / V-A, 71 / V-A
153, 71 / V-B, 71 / V-B
154, 72 / T, 72 / T
155, 72 / V-A, 72 / V-A
156, 73 / T, 73 / T
157, 73 / V-A, 73 / V-A
158, 73 / V-B, 73 / V-B
159, 74 / T, 74 / T
160, 74 / V-A, 74 / V-A
161, 75 / T, 75 / T
162, 75 / V-A, 75 / V-A
163, 75 / V-B, 75 / V-B
164, 76 / T, 76 / T
165, 77 / T, 77 / T
166, 77 / V-A, 77 / V-A
167, 77 / V-B, 77 / V-B
168, 584 / T, 584 / T
169,Balmaceda,Balmaceda
170,Baquedano,Baquedano
171,El Calvario,El Calvario
172,La Antena,La Antena
173,La Cantera,La Cantera
174,La Florida,La Florida
175,Parte Alta,Parte Alta
176,Peñuelas,Peñuelas
177,Sindempart,Sindempart
178,Tierras Blancas,Tierras Blancas
179,Vista Hermoza,Vista Hermoza
