IDFolio,IDPersona,IDViaje,Motorizado
101309,3,2,1
101309,3,3,1
101309,3,4,1
101889,1,1,1
101889,1,2,1
101889,1,3,1
101889,1,4,1
101913,1,1,1
101913,1,2,1
101914,1,1,1
101914,1,2,1
101914,2,1,1
101914,2,2,1
101914,3,1,1
101914,3,2,1
101919,1,1,0
101919,1,2,0
101919,2,1,0
101919,2,2,0
101945,1,1,1
101945,1,2,1
101945,2,1,1
101945,2,2,1
101979,2,1,0
101979,2,2,0
101979,3,1,1
101979,3,2,1
101979,4,1,1
101979,4,2,1
101979,5,1,1
101979,5,2,1
101979,6,1,1
101979,6,2,1
101979,7,1,1
101979,7,2,1
102006,1,1,1
102006,1,2,1
102193,1,1,0
102193,1,2,0
102193,1,3,0
102193,1,4,0
102362,1,1,1
102362,1,2,1
102362,1,3,1
102362,1,4,1
102362,2,1,1
102362,2,2,1
102362,2,3,1
102362,2,4,1
102368,1,1,1
102368,1,2,1
102368,1,3,1
102368,1,4,1
102368,3,1,1
102368,3,2,1
102368,4,1,1
102368,4,2,1
102368,5,1,1
102368,5,2,1
102370,1,1,1
102370,1,2,1
102370,2,1,1
102370,2,2,1
102370,4,1,0
102370,4,2,0
102370,5,1,0
102370,5,2,0
102370,6,1,0
102370,6,2,0
102399,1,1,0
102399,1,2,0
102399,1,3,1
102399,1,4,1
102399,1,5,0
102399,1,6,0
102399,2,1,1
102399,2,2,1
102399,3,1,1
102399,3,2,1
102399,4,1,1
102399,4,2,0
102399,5,1,1
102399,5,2,0
102399,6,1,0
102399,6,2,0
102453,1,1,0
102453,1,2,0
102453,10,1,1
102453,10,2,1
102453,2,1,1
102453,2,2,1
102453,2,3,1
102453,2,4,1
102453,3,1,0
102453,3,2,0
102453,4,1,0
102453,4,2,0
102453,4,3,0
102453,4,4,0
102453,5,1,1
102453,5,2,1
102453,6,1,0
102453,6,2,0
102453,7,1,0
102453,7,2,0
102453,8,1,0
102453,8,2,0
102453,9,1,1
102453,9,2,1
102471,1,1,1
102471,1,2,1
102471,2,1,0
102471,2,2,0
102471,3,1,1
102471,3,2,1
102471,3,3,1
102471,3,4,1
102471,3,5,0
102471,3,6,0
102471,3,7,0
102471,3,8,0
102471,5,1,1
102471,5,2,1
102471,6,1,0
102471,6,2,0
102561,1,1,1
102561,1,2,1
102561,2,1,0
102561,2,2,0
102561,3,1,0
102561,3,2,0
102561,4,1,0
102561,4,2,0
102561,5,1,0
102561,5,2,0
102639,2,1,1
102639,2,2,1
102639,2,3,1
102639,3,1,1
102639,3,2,1
102639,3,3,1
102639,4,1,1
102639,4,2,1
102639,4,3,1
102735,1,1,1
102735,1,2,1
102735,2,1,0
102735,2,2,1
102737,1,1,0
102737,1,2,0
102737,2,1,0
102737,2,2,0
102737,2,3,0
102737,2,4,0
102737,3,1,1
102737,3,2,1
102871,1,1,0
102871,1,2,0
102871,2,1,0
102871,2,2,1
102871,2,3,0
102871,2,4,1
