IDFolio,IDPersona,IDViaje,IDEtapa,CuadraCaminadasAntes,MinutosCaminadosAntes,ZonaDestino,ComunaDestino,IDModoEtapa,IDViajaEnAutoComo,IDVehiculoDelHogar,IDVehiculoTransporte,IDTipoEstacionamiento,IDLugarDondeSeBajo,IDServiciosBus,TiempoEsperaBus,IDTipoTarifa,TarifaBus,IDServiciosTxc,TiempoEsperaTxc,TarifaTxc,TiempoEsperaTaxi,ValorTaxiBajadaBandera,ValorTaxi200metros,TarifaTaxi,IDEstacionSubioMetrotren,TarifaMetrotren,IDTipoBoletoMetrotren,IDEstacionBajoMetrotren,CuadraCaminadasDespues,MinutosCaminadosDespues,UsaBicicleta
100007,2,1,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,2,2,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,2,3,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,2,4,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,3,1,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,3,2,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,3,3,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100007,3,4,1,6,15,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100031,1,1,1,2,10,2,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100031,1,2,1,2,10,2,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100031,2,1,1,1,3,25,4102,3,-1,-1,14,-1,-1,88,10,2,500,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,FALSE
100031,2,2,1,5,10,2,4102,3,-1,-1,14,-1,-1,88,10,2,500,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,FALSE
100031,3,1,1,1,3,25,4102,3,-1,-1,14,-1,-1,88,10,2,500,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100031,3,2,1,5,10,2,4102,3,-1,-1,14,-1,-1,88,10,2,500,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100031,4,1,1,0,0,39,4102,3,-1,1,8,5,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100031,4,2,1,0,0,2,4102,3,-1,1,8,5,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100031,5,1,1,0,0,45,4101,3,-1,1,8,5,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100031,5,2,1,0,0,2,4102,3,-1,1,8,5,1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100050,1,1,1,1,3,2,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,178,10,650,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100050,1,2,1,6,10,25,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,178,10,650,-1,-1,-1,-1,-1,-1,-1,-1,1,3,FALSE
100050,3,1,1,10,20,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100050,3,2,1,10,20,2,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100050,3,3,1,10,20,1,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100050,3,4,1,10,20,2,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100050,4,1,1,5,10,56,4101,3,-1,-1,14,-1,-1,41,5,1,200,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,10,FALSE
100050,4,2,1,6,10,2,4102,3,-1,-1,14,-1,-1,42,5,1,200,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,FALSE
100050,5,1,1,8,10,42,4102,3,-1,-1,14,-1,-1,83,5,1,150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100050,5,2,1,0,0,2,4102,3,-1,-1,14,-1,-1,83,5,1,150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100050,6,1,1,8,10,42,4102,3,-1,-1,14,-1,-1,83,5,1,150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100050,6,2,1,0,0,2,4102,3,-1,-1,14,-1,-1,83,5,1,150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100084,1,1,1,2,3,12,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,10,400,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
100084,1,2,1,1,1,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,15,400,-1,-1,-1,-1,-1,-1,-1,-1,1,1,FALSE
100084,2,1,1,2,3,6,4102,3,-1,-1,14,-1,-1,83,10,2,250,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,FALSE
100084,2,2,1,1,1,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,10,350,-1,-1,-1,-1,-1,-1,-1,-1,1,1,FALSE
100084,3,1,1,2,3,1,4102,3,-1,-1,14,-1,-1,41,10,2,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
100084,3,2,1,1,1,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,10,350,-1,-1,-1,-1,-1,-1,-1,-1,2,4,FALSE
100084,4,1,1,2,3,12,4102,3,-1,-1,14,-1,-1,41,10,1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
100084,4,2,1,2,2,3,4102,3,-1,-1,14,-1,-1,87,10,1,100,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,FALSE
100086,1,1,1,2,3,1,4102,3,-1,-1,14,-1,-1,41,5,2,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,FALSE
100086,1,2,1,0,0,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,0,350,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100086,2,1,1,2,3,1,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,5,350,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
100086,2,1,2,0,0,19,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,170,5,350,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
100086,2,2,1,0,0,1,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,170,5,350,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100086,2,2,2,0,0,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,5,350,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100086,3,1,1,8,15,17,4102,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,FALSE
100086,3,2,1,1,1,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,5,350,-1,-1,-1,-1,-1,-1,-1,-1,1,1,FALSE
100086,4,1,1,2,3,1,4102,3,-1,-1,14,-1,-1,41,5,2,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,FALSE
100086,4,2,1,1,1,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,5,350,-1,-1,-1,-1,-1,-1,-1,-1,1,1,FALSE
100086,5,1,1,2,3,1,4102,3,-1,-1,14,-1,-1,41,5,2,300,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
100086,5,2,1,2,3,3,4102,4,-1,-1,17,-1,-1,0,-1,-1,-1,171,10,350,-1,-1,-1,-1,-1,-1,-1,-1,0,0,FALSE
100086,6,1,1,2,3,6,4102,3,-1,-1,14,-1,-1,83,15,2,250,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,FALSE
