IDFolio,Factor,DiaEncuesta,DiaEncuestaHogar
107972,42.11807687693003,Jueves,4
108209,37.354868162657816,Martes,2
108285,30.594395880910554,Martes,2
108286,21.897531154244923,Martes,2
108307,56.458012880939854,Martes,2
108317,30.594395880910554,Martes,2
108325,21.897531154244923,Jueves,4
109096,35.330637301377635,Jueves,4
109099,35.330637301377635,Jueves,4
109283,20.903930903477235,Miércoles,3
109328,18.82616511900201,Jueves,4
109523,22.188527696617584,Miércoles,3
109916,42.10215108431359,Jueves,4
109939,22.188527696617584,Jueves,4
109954,50.303490982081215,Martes,2
109971,61.73973409183241,Martes,2
110541,29.188999603695578,Miércoles,3
110641,29.188999603695578,Martes,2
110666,29.188999603695578,Martes,2
110690,24.79543698600265,Martes,2
111043,46.74244670672864,Miércoles,3
111069,42.21594201941898,Miércoles,3
111092,30.73847029534615,Miércoles,3
111444,30.73847029534615,Miércoles,3
111770,30.73847029534615,Jueves,4
113749,58.95033253295382,Jueves,4
113772,58.95033253295382,Jueves,4
113783,32.742692430234264,Jueves,4
113807,39.47106210735642,Miércoles,3
113813,58.95033253295382,Jueves,4
113820,23.733514656498823,Jueves,4
113825,58.95033253295382,Martes,2
113831,32.742692430234264,Martes,2
113835,23.733514656498823,Martes,2
113837,39.47106210735642,Martes,2
113842,32.742692430234264,Martes,2
113847,23.733514656498823,Martes,2
113849,99.07227020563712,Martes,2
113850,32.742692430234264,Martes,2
113851,39.47106210735642,Martes,2
113869,32.742692430234264,Miércoles,3
113874,23.733514656498823,Miércoles,3
113875,32.742692430234264,Miércoles,3
113882,23.733514656498823,Jueves,4
113910,32.742692430234264,Jueves,4
114057,58.95033253295382,Jueves,4
115123,99.07227020563712,Miércoles,3
115132,39.47106210735642,Jueves,4
115139,39.47106210735642,Martes,2
115146,58.95033253295382,Martes,2
115150,58.95033253295382,Martes,2
115862,51.75032704981776,Martes,2
115885,25.707941132440034,Miércoles,3
115909,25.707941132440034,Miércoles,3
115912,218.3478400808707,Jueves,4
115954,25.707941132440034,Jueves,4
115979,51.75032704981776,Miércoles,3
116158,51.75032704981776,Jueves,4
116161,40.94690913382937,Jueves,4
116468,70.07377040434672,Miércoles,3
116478,26.493482972505923,Miércoles,3
116492,50.630301781718885,Jueves,4
116684,70.07377040434672,Miércoles,3
117707,41.37164578590441,Martes,2
117825,64.93651516772768,Martes,2
117842,44.93698728421096,Martes,2
118730,39.715084539973475,Miércoles,3
118735,38.055462319554636,Jueves,4
119003,38.055462319554636,Martes,2
119629,33.765546455139216,Martes,2
119692,56.0789661513505,Martes,2
120509,63.61002617345468,Jueves,4
121192,29.02546536776762,Jueves,4
121193,63.61002617345468,Jueves,4
121200,63.61002617345468,Miércoles,3
121217,29.02546536776762,Miércoles,3
121229,29.02546536776762,Jueves,4
121230,55.15207421415311,Martes,2
121693,29.02546536776762,Jueves,4
123376,63.61002617345468,Jueves,4
126306,65.15043788280086,Martes,2
126328,32.95113733039413,Martes,2
126393,32.95113733039413,Martes,2
126394,38.169945420876815,Jueves,4
126409,32.95113733039413,Jueves,4
126513,38.169945420876815,Martes,2
126795,32.95113733039413,Jueves,4
126955,40.23238097518763,Miércoles,3
127763,26.161992237386407,Miércoles,3
127858,95.82909641727764,Miércoles,3
127861,26.161992237386407,Miércoles,3
127868,26.161992237386407,Miércoles,3
127921,26.161992237386407,Martes,2
128215,36.12667487182033,Miércoles,3
128352,31.703789388050787,Jueves,4
129025,36.12667487182033,Miércoles,3
129062,67.55828141519322,Miércoles,3
129227,36.12667487182033,Miércoles,3
129296,25.732872724648992,Miércoles,3
131479,33.09888411851159,Miércoles,3
131544,45.809792253660106,Miércoles,3
132403,39.977018835372256,Miércoles,3
132408,31.631401210615877,Miércoles,3
132409,67.4692989450899,Martes,2
132413,33.09888411851159,Miércoles,3
132417,53.8837006790753,Jueves,4
132419,53.8837006790753,Jueves,4
132430,31.631401210615877,Jueves,4
132444,33.09888411851159,Jueves,4
133116,62.75905923815763,Jueves,4
133142,62.75905923815763,Martes,2
133169,41.886730849058,Martes,2
200001,60.344738973725384,Martes,2
200075,11.202076731005342,Miércoles,3
200077,11.202076731005342,Miércoles,3
200114,40.99589205698053,Martes,2
200123,23.715030093437004,Miércoles,3
200124,28.522841927943443,Miércoles,3
200129,41.61892993018691,Miércoles,3
200171,60.16256669843305,Jueves,4
200176,23.830490583841428,Jueves,4
200250,69.449501043917,Martes,2
200291,37.88638242282825,Miércoles,3
200301,24.256941196835488,Miércoles,3
200373,37.88638242282825,Jueves,4
200408,60.57419269358444,Jueves,4
200526,64.76581926733482,Martes,2
200587,115.75479288705515,Miércoles,3
200588,25.856899941215943,Jueves,4
200602,25.856899941215943,Martes,2
200643,36.28209527916209,Miércoles,3
200850,41.432018568225004,Martes,2
200908,41.432018568225004,Martes,2
