IDFolio,IDPersona,Factor,DiaEncuesta,DiaEncuestaHogar
102877,5,53.38569876642671,Jueves,4
102877,6,43.03077708286835,Jueves,4
102877,7,28.936397377183948,Jueves,4
102910,1,40.08069242503897,Jueves,4
102910,2,66.51028238161929,Jueves,4
102910,3,93.28661243442171,Jueves,4
102910,4,54.79912122926546,Jueves,4
102925,1,35.08555776369842,Jueves,4
102925,2,68.61075087895564,Jueves,4
102925,3,32.954295685822125,Jueves,4
102925,4,32.954295685822125,Jueves,4
102925,5,32.954295685822125,Jueves,4
102925,6,42.933091059235565,Jueves,4
102925,7,53.38569876642671,Jueves,4
102925,8,25.73173245973275,Jueves,4
102925,9,43.03077708286835,Jueves,4
102926,1,31.473193408579416,Jueves,4
102926,2,52.22691661255403,Jueves,4
102926,3,32.954295685822125,Jueves,4
102926,4,73.25291600365581,Jueves,4
102926,5,53.38569876642671,Jueves,4
102926,6,25.73173245973275,Jueves,4
102926,7,28.936397377183948,Jueves,4
102937,1,65.21679144333952,Martes,2
102937,2,34.60518568394653,Martes,2
102982,1,33.04988558560607,Miércoles,3
102982,2,54.843294613484495,Miércoles,3
103025,1,66.51028238161929,Miércoles,3
103025,2,40.08069242503897,Miércoles,3
103025,3,77.39997004508022,Miércoles,3
103025,4,67.9859760137861,Miércoles,3
103188,1,194.0667863677877,Martes,2
103203,1,8.880553483190564,Jueves,4
103330,1,11.257777932637534,Martes,2
103330,2,11.746502924276571,Martes,2
103330,3,19.337080669923527,Martes,2
103330,4,27.36033676708817,Martes,2
103363,1,70.84129973707107,Jueves,4
103376,1,17.051213688347193,Jueves,4
103376,2,17.051213688347193,Jueves,4
103376,3,39.716241660025354,Jueves,4
103461,1,21.12257746311416,Jueves,4
103461,2,129.0933253528433,Jueves,4
103530,1,108.57047684904889,Jueves,4
103530,2,184.61138026934125,Jueves,4
103530,3,95.9727713498786,Jueves,4
103530,4,131.11187799915584,Jueves,4
103530,5,83.49241257963337,Jueves,4
103537,1,66.69148149623693,Martes,2
103548,1,28.081526062001785,Martes,2
103548,2,15.404316975634599,Martes,2
103548,3,28.081526062001785,Martes,2
103548,4,15.404316975634599,Martes,2
103549,1,12.062410394467777,Martes,2
103549,2,12.062410394467777,Martes,2
103549,3,12.062410394467777,Martes,2
103551,1,17.426338908995806,Martes,2
103551,2,32.03823892630773,Martes,2
103551,3,28.081526062001785,Martes,2
103551,4,13.401130032479372,Martes,2
103582,1,75.20958120363716,Jueves,4
103582,2,81.36981327714423,Jueves,4
103627,1,7.311815686393452,Martes,2
103627,2,7.910708550654141,Martes,2
103627,3,65.0172206882097,Martes,2
103627,4,274.59676184645525,Martes,2
103627,5,140.1169599215495,Martes,2
103849,1,34.09753038851101,Miércoles,3
103849,2,36.890375355403755,Miércoles,3
103849,3,303.1978311923581,Miércoles,3
103850,1,34.09753038851101,Martes,2
103850,2,23.706199118930893,Martes,2
103850,3,90.94078941682452,Martes,2
103872,1,11.316719616220665,Jueves,4
103872,2,1.668262287959892,Jueves,4
103872,3,14.834315031210346,Jueves,4
103872,4,3.586021523438628,Jueves,4
103872,5,11.316719616220665,Jueves,4
103872,6,6.060864625996856,Jueves,4
103905,1,23.004683356884648,Martes,2
103905,2,32.59527845141781,Martes,2
103905,3,42.42415492657971,Martes,2
103905,4,23.004683356884648,Martes,2
103905,5,25.930080721450558,Martes,2
103945,1,126.18381820904006,Jueves,4
103945,2,120.93869403357256,Jueves,4
103945,3,108.47113175613873,Jueves,4
103945,4,171.35773383272326,Jueves,4
103945,5,223.0294506863109,Jueves,4
103945,6,149.03859968560567,Jueves,4
103955,1,189.15951733965665,Martes,2
103955,2,71.19734811196545,Martes,2
104010,1,29.320726168458695,Martes,2
104010,2,11.547483413198178,Martes,2
104010,3,15.712091300167778,Martes,2
104280,1,24.257795869150748,Martes,2
104280,2,47.71514200234705,Martes,2
104280,3,54.012829597937355,Martes,2
104280,4,41.389687490799865,Martes,2
104292,1,17.078259943630794,Martes,2
104292,2,84.862786571872,Martes,2
104838,1,9.933582874391604,Martes,2
104838,2,11.720714962500939,Martes,2
104838,3,8.540707333864596,Martes,2
104838,4,19.324229494460575,Martes,2
104850,1,17.061107010556594,Martes,2
104850,2,15.976411302197421,Martes,2
104850,3,11.361877256518413,Martes,2
104850,4,11.361877256518413,Martes,2
104850,5,10.600481467859137,Martes,2
104850,6,18.650122973416018,Martes,2
104855,1,11.758324608866587,Martes,2
104855,2,16.553876826529486,Martes,2
104855,3,10.983634634939136,Martes,2
104855,4,11.772550985632394,Martes,2
104910,1,18.385476247730907,Martes,2
104910,2,15.532285258928384,Martes,2
104931,1,11.758324608866587,Jueves,4
104931,2,9.933582874391604,Jueves,4
104931,3,11.720714962500939,Jueves,4
104931,4,11.720714962500939,Jueves,4
104955,1,12.364513691212007,Martes,2
104955,2,9.009833708955803,Martes,2
104955,3,22.777434878353215,Martes,2
105061,1,14.540121416469752,Martes,2
105061,2,11.173398634212987,Martes,2
105061,3,9.009833708955803,Martes,2
107845,1,11.758324608866587,Jueves,4
107845,2,9.933582874391604,Jueves,4
107845,3,15.226873537116544,Jueves,4
107845,4,15.226873537116544,Jueves,4
107849,1,8.540707333864596,Miércoles,3
107849,2,9.933582874391604,Miércoles,3
107849,3,16.553876826529486,Miércoles,3
107849,4,10.983634634939136,Miércoles,3
107851,1,16.932106043427122,Martes,2
107851,2,10.479217509014164,Martes,2
107851,3,12.364513691212007,Martes,2
107946,1,27.641215211638414,Miércoles,3
107946,2,13.35436612348506,Miércoles,3
107947,1,12.404189170813508,Miércoles,3
107947,2,10.479217509014164,Miércoles,3
107947,3,17.463152829764475,Miércoles,3
107948,1,27.641215211638414,Miércoles,3
107948,2,25.88386690502824,Miércoles,3
107953,1,15.532285258928384,Miércoles,3
107953,2,10.586270773001896,Miércoles,3
107956,1,10.591619195430773,Miércoles,3
107956,2,9.933582874391604,Miércoles,3
107956,3,11.720714962500939,Miércoles,3
107956,4,14.767017080340082,Miércoles,3
107961,1,7.142273798753304,Jueves,4
107961,2,9.009833708955803,Jueves,4
107961,3,9.009833708955803,Jueves,4
107963,1,27.641215211638414,Jueves,4
107963,2,25.88386690502824,Jueves,4
107964,1,23.351994966204646,Miércoles,3
107967,1,10.276395599214405,Jueves,4
107967,2,12.1641100489728,Jueves,4
107967,3,16.604390535880317,Jueves,4
107967,4,17.12515908118437,Jueves,4
107967,5,18.287847385144968,Jueves,4
107968,1,17.463152829764475,Martes,2
107968,2,11.586946808063756,Martes,2
107968,3,11.586946808063756,Martes,2
107969,1,15.490575670914676,Miércoles,3
107969,2,10.222141096958216,Miércoles,3
107969,3,11.31184948148441,Miércoles,3
107969,4,8.242773255316129,Miércoles,3
107969,5,8.242773255316129,Miércoles,3
107969,6,11.361877256518413,Miércoles,3
107970,1,12.1641100489728,Jueves,4
107970,2,10.276395599214405,Jueves,4
107970,3,12.125202475614117,Jueves,4
107970,4,12.125202475614117,Jueves,4
107970,5,11.362685151280873,Jueves,4
107971,1,12.1641100489728,Martes,2
107971,2,10.276395599214405,Martes,2
107971,3,8.835451253561901,Martes,2
107971,4,12.125202475614117,Martes,2
107971,5,19.99111795272019,Martes,2
107972,1,10.276395599214405,Jueves,4
107972,2,15.752360269728204,Jueves,4
107972,3,12.1641100489728,Jueves,4
107972,4,15.276633945355293,Jueves,4
107972,5,15.752360269728204,Jueves,4
108209,1,33.0740350748852,Martes,2
108209,3,15.027018085297899,Martes,2
108209,2,71.94422827516641,Martes,2
108285,1,6.130401456089049,Martes,2
108285,2,15.24479408175367,Martes,2
108286,1,13.987181348992864,Martes,2
108286,2,14.404597905210926,Martes,2
108286,3,11.820813048003538,Martes,2
108286,4,5.7145249541251415,Martes,2
108286,5,72.61088743209525,Martes,2
108307,1,76.43921658730102,Martes,2
108317,1,16.887793486061373,Martes,2
108317,2,30.651599731111226,Martes,2
108325,1,12.414273835043904,Jueves,4
108325,2,30.236187082554327,Jueves,4
108325,3,26.521827563791586,Jueves,4
108325,4,26.521827563791586,Jueves,4
108325,5,14.711660081559826,Jueves,4
109096,1,11.637527392520509,Jueves,4
109096,2,10.036714684003368,Jueves,4
109099,1,98.624160370235,Jueves,4
109099,2,18.006252699650425,Jueves,4
109283,1,2.0343909010625927,Miércoles,3
109283,2,2.3780255428213954,Miércoles,3
109283,3,28.086643282831808,Miércoles,3
109283,4,1.0389957731950434,Miércoles,3
109328,1,1.27411302954153,Jueves,4
109328,2,8.455522972534856,Jueves,4
109328,3,3.3036811188623885,Jueves,4
109328,4,3.3036811188623885,Jueves,4
109523,1,17.95061915359299,Miércoles,3
109523,2,5.122085513603616,Miércoles,3
109523,3,25.82703154812275,Miércoles,3
109916,1,19.502748644705004,Jueves,4
109916,2,54.50559186820226,Jueves,4
109916,3,49.15008792603895,Jueves,4
109916,4,49.83661514173458,Jueves,4
109939,1,25.82703154812275,Jueves,4
109939,2,24.83221587154397,Jueves,4
109939,3,26.18778288767473,Jueves,4
109954,1,35.05854656288199,Martes,2
109971,1,68.40938343501307,Martes,2
109971,2,55.54400232494317,Martes,2
109971,3,18.329786559449968,Martes,2
109971,4,18.329786559449968,Martes,2
109971,5,47.64217750773964,Martes,2
109971,6,47.64217750773964,Martes,2
110541,1,35.29302711813501,Miércoles,3
110541,2,35.29302711813501,Miércoles,3
110641,1,24.04850274135955,Martes,2
110641,2,55.7064761371527,Martes,2
110666,1,24.04850274135955,Martes,2
110666,2,55.7064761371527,Martes,2
110690,1,40.19955009954923,Martes,2
110690,2,42.55637222583545,Martes,2
110690,3,181.83588462385785,Martes,2
110690,4,28.498385031149365,Martes,2
111043,1,105.11614220611723,Miércoles,3
111069,1,85.20356455588694,Miércoles,3
111069,2,92.97078023470755,Miércoles,3
111092,1,39.0254187678899,Miércoles,3
111092,2,27.003657405692525,Miércoles,3
111092,3,36.988958484194754,Miércoles,3
111092,4,26.83506621295339,Miércoles,3
111444,1,27.003657405692525,Miércoles,3
111444,2,57.505213605230075,Miércoles,3
111444,3,59.94618868016204,Miércoles,3
111444,4,24.10405137102931,Miércoles,3
111770,1,36.988958484194754,Jueves,4
111770,2,59.94618868016204,Jueves,4
111770,3,44.19705557848215,Jueves,4
111770,4,26.640688075806345,Jueves,4
113749,1,29.67927574028275,Jueves,4
113749,2,31.278390467369995,Jueves,4
113772,1,34.63305938331199,Jueves,4
113772,2,40.95623665641352,Jueves,4
113783,1,33.43360461962615,Jueves,4
113783,2,28.307934476830532,Jueves,4
113783,3,30.009499897127448,Jueves,4
113783,4,28.873269706516517,Jueves,4
113807,1,27.98721159382484,Miércoles,3
113807,2,30.418321444067697,Miércoles,3
113807,3,30.941678388221394,Miércoles,3
113813,1,40.03193157768411,Jueves,4
113813,2,15.474690559025616,Jueves,4
113820,1,24.25116890743289,Jueves,4
113820,2,20.533248156412405,Jueves,4
113820,3,21.76748391663446,Jueves,4
113820,4,20.185942561872324,Jueves,4
113820,5,14.736152976742568,Jueves,4
113825,1,33.894678990635164,Martes,2
113825,2,24.325287986528238,Martes,2
113831,1,28.307934476830532,Martes,2
113831,2,33.43360461962615,Martes,2
113831,3,30.009499897127448,Martes,2
113831,4,27.829125476969146,Martes,2
113835,1,20.533248156412405,Martes,2
113835,2,14.736152976742568,Martes,2
113835,3,14.736152976742568,Martes,2
113835,4,20.185942561872324,Martes,2
113835,5,20.943315820381528,Martes,2
113837,1,31.61572898609511,Martes,2
113837,2,23.515842827405454,Martes,2
113837,3,30.418321444067697,Martes,2
113842,1,33.43360461962615,Martes,2
113842,2,28.307934476830532,Martes,2
113842,3,21.514183218291286,Martes,2
113842,4,20.315833604529164,Martes,2
113847,1,24.25116890743289,Martes,2
113847,2,17.979575320544924,Martes,2
113847,3,20.533248156412405,Martes,2
113847,4,15.605379589431609,Martes,2
113847,5,14.736152976742568,Martes,2
113849,1,33.261620706721374,Martes,2
113850,1,28.307934476830532,Martes,2
113850,2,30.009499897127448,Martes,2
113850,3,20.315833604529164,Martes,2
113850,4,33.43360461962615,Martes,2
113851,1,30.941678388221394,Martes,2
113851,2,36.54423611677269,Martes,2
113851,3,30.418321444067697,Martes,2
113869,1,33.43360461962615,Miércoles,3
113869,2,28.307934476830532,Miércoles,3
113869,3,27.829125476969146,Miércoles,3
113869,4,20.315833604529164,Miércoles,3
113874,1,24.25116890743289,Miércoles,3
113874,2,20.533248156412405,Miércoles,3
113874,3,20.185942561872324,Miércoles,3
113874,4,14.736152976742568,Miércoles,3
113874,5,20.943315820381528,Miércoles,3
113875,1,33.43360461962615,Miércoles,3
113875,2,28.307934476830532,Miércoles,3
113875,3,30.009499897127448,Miércoles,3
113875,4,20.315833604529164,Miércoles,3
113882,1,24.25116890743289,Jueves,4
113882,2,20.533248156412405,Jueves,4
113882,3,15.605379589431609,Jueves,4
113882,4,14.736152976742568,Jueves,4
113882,5,20.185942561872324,Jueves,4
113910,1,28.307934476830532,Jueves,4
113910,2,20.315833604529164,Jueves,4
113910,3,27.829125476969146,Jueves,4
113910,4,33.43360461962615,Jueves,4
114057,1,33.894678990635164,Jueves,4
114057,2,40.95623665641352,Jueves,4
115123,1,86.04546366956187,Miércoles,3
115132,1,36.54423611677269,Jueves,4
115132,2,30.941678388221394,Jueves,4
115132,3,32.80155587361117,Jueves,4
115139,1,29.45731166613482,Martes,2
115139,2,31.61572898609511,Martes,2
115139,3,36.54423611677269,Martes,2
115146,1,40.03193157768411,Martes,2
115146,2,33.894678990635164,Martes,2
115150,1,33.894678990635164,Martes,2
115150,2,25.760139247409306,Martes,2
115862,1,83.13652836792755,Martes,2
115862,2,68.07507547783172,Martes,2
115862,3,115.54086294925415,Martes,2
115862,4,24.484696938954787,Martes,2
115862,5,51.79742546556453,Martes,2
115885,1,40.52871526875606,Miércoles,3
115885,2,45.40328954642383,Miércoles,3
115909,1,76.8344528680131,Miércoles,3
115909,2,76.8344528680131,Miércoles,3
115912,1,561.7867415888097,Jueves,4
115912,2,566.8429391533174,Jueves,4
115912,3,202.05894764823597,Jueves,4
115912,4,361.2639016379298,Jueves,4
115912,5,427.45610887298517,Jueves,4
115912,6,686.0807579131201,Jueves,4
115954,1,53.64461200712098,Jueves,4
115954,2,185.5706135267691,Jueves,4
115979,1,83.13652836792755,Miércoles,3
115979,2,68.07507547783172,Miércoles,3
115979,3,375.14090991503787,Miércoles,3
115979,4,43.77651793964645,Miércoles,3
115979,5,43.77651793964645,Miércoles,3
116158,1,115.54086294925415,Jueves,4
116158,2,119.07532614175359,Jueves,4
116158,3,83.13652836792755,Jueves,4
116158,4,68.68776532142121,Jueves,4
116158,5,24.484696938954787,Jueves,4
116161,1,59.83247703334581,Jueves,4
116161,2,48.992909254579494,Jueves,4
116161,3,206.9760420753986,Jueves,4
116161,4,31.505495305649603,Jueves,4
116468,1,27.92476349681911,Miércoles,3
116478,1,9.609874921058118,Miércoles,3
116478,2,9.280641102128012,Miércoles,3
116478,3,9.094781866061249,Miércoles,3
116492,1,18.987126729756127,Jueves,4
116492,2,18.606880060343798,Jueves,4
116684,1,27.88780092227927,Miércoles,3
117707,1,39.32819306544773,Martes,2
117707,2,35.91672588035158,Martes,2
117707,3,37.81894073166898,Martes,2
117707,4,15.068372345384564,Martes,2
117825,1,61.426666618585045,Martes,2
117825,2,58.57112771662325,Martes,2
117842,1,67.28508241290037,Martes,2
118730,1,14.517317167244267,Miércoles,3
118730,2,12.160068732069574,Miércoles,3
118730,3,18.858245006130346,Miércoles,3
118730,4,12.799577539628235,Miércoles,3
118735,1,7.461653276568654,Jueves,4
118735,2,7.840489853920959,Jueves,4
118735,3,11.297593016899876,Jueves,4
119003,1,12.501374877732587,Martes,2
119003,2,11.106473439719922,Martes,2
119003,3,8.113363421389831,Martes,2
119629,1,7.140078358670803,Martes,2
119629,2,8.098297136048412,Martes,2
119692,1,12.671971933530884,Martes,2
120509,1,44.08305204298022,Jueves,4
121192,1,23.93421854829677,Jueves,4
121192,2,37.11409903693345,Jueves,4
121192,3,29.612955549630442,Jueves,4
121193,1,40.9224203800629,Jueves,4
121200,1,44.08305204298022,Miércoles,3
121217,1,22.218201950871183,Miércoles,3
121217,2,18.650748355199145,Miércoles,3
121217,3,37.11409903693345,Miércoles,3
121229,1,18.673705937083096,Jueves,4
121229,2,21.812916928491305,Jueves,4
121229,3,36.314282762365906,Jueves,4
121230,1,66.08084448379381,Martes,2
121230,2,65.81607846922529,Martes,2
121693,1,41.33636106924426,Jueves,4
121693,2,22.35805680359116,Jueves,4
121693,3,36.314282762365906,Jueves,4
123376,1,44.08305204298022,Jueves,4
126306,1,69.43608521535369,Martes,2
126328,1,28.57304204162329,Martes,2
126328,2,43.42350504698693,Martes,2
126393,1,48.329394635646885,Martes,2
126393,2,35.05485372956445,Martes,2
126394,1,58.03268452066428,Jueves,4
126394,2,42.09295983826294,Jueves,4
126394,3,42.09295983826294,Jueves,4
126394,4,42.09295983826294,Jueves,4
126409,1,36.720633533299015,Jueves,4
126409,2,55.552789206451756,Jueves,4
126513,1,50.27155840551237,Martes,2
126513,2,58.03268452066428,Martes,2
126513,3,42.09295983826294,Martes,2
126513,4,94.02856452142214,Martes,2
126795,1,48.329394635646885,Jueves,4
126795,2,43.42350504698693,Jueves,4
126955,1,22.993680117998068,Miércoles,3
126955,2,36.91714549080822,Miércoles,3
126955,3,49.604446978873646,Miércoles,3
127763,1,58.04183657300189,Miércoles,3
127763,2,51.29046680135496,Miércoles,3
127858,1,106.21217840270546,Miércoles,3
127858,2,83.82274909548163,Miércoles,3
127858,3,155.58742239028126,Miércoles,3
127861,1,22.27611623195406,Miércoles,3
127861,2,51.29046680135496,Miércoles,3
127868,1,28.226166009571305,Miércoles,3
127868,2,22.27611623195406,Miércoles,3
127921,1,22.687650162342248,Martes,2
127921,2,58.04183657300189,Martes,2
128215,1,17.624591546856998,Miércoles,3
128215,2,28.943775231125407,Miércoles,3
128352,1,20.683024419540857,Jueves,4
128352,2,23.554707491770905,Jueves,4
128352,3,19.83312473430537,Jueves,4
129025,1,21.653893278412266,Miércoles,3
129025,2,28.943775231125407,Miércoles,3
129062,1,31.402276459168768,Miércoles,3
129062,2,50.357849701744136,Miércoles,3
129062,3,60.82991870121664,Miércoles,3
129062,4,50.05089099892189,Miércoles,3
129062,5,50.05089099892189,Miércoles,3
129062,6,50.05089099892189,Miércoles,3
129227,1,28.263445592082657,Miércoles,3
129227,2,34.140915622199444,Miércoles,3
129296,1,26.23984021868014,Miércoles,3
129296,2,21.722566101401792,Miércoles,3
129296,3,18.953337001319564,Miércoles,3
129296,4,25.23707206361829,Miércoles,3
129296,5,26.945490783645784,Miércoles,3
131479,1,35.130605554877675,Miércoles,3
131479,2,33.174417602948715,Miércoles,3
131544,1,42.73076273480866,Miércoles,3
132403,1,38.252819816960944,Miércoles,3
132403,2,41.92263667055287,Miércoles,3
132403,3,33.13261821009495,Miércoles,3
132403,4,31.93404347862248,Miércoles,3
132403,5,66.13328713574623,Miércoles,3
132408,1,28.510861073988327,Miércoles,3
132408,2,13.921004965733811,Miércoles,3
132408,3,13.921004965733811,Miércoles,3
132408,4,36.633282742269074,Miércoles,3
132409,1,83.78140894450323,Martes,2
132409,2,85.07859915482774,Martes,2
132409,3,37.306288208020156,Martes,2
132409,4,37.306288208020156,Martes,2
132409,5,63.81943905291901,Martes,2
132409,6,32.33069800609065,Martes,2
132413,1,34.59497052960382,Miércoles,3
132413,2,31.41182601903599,Miércoles,3
132417,1,72.21413937909635,Jueves,4
132417,2,23.2063675795253,Jueves,4
132417,3,52.11620522136776,Jueves,4
132419,1,49.976188140271546,Jueves,4
132419,2,52.923122078748406,Jueves,4
132419,3,44.148695639486036,Jueves,4
132430,1,69.1194286375375,Jueves,4
132430,2,49.72809942657479,Jueves,4
132430,3,30.55964173196643,Jueves,4
132430,4,13.921004965733811,Jueves,4
132444,1,28.46849571593286,Jueves,4
132444,2,29.306101971182326,Jueves,4
133116,1,88.59188730847134,Jueves,4
133116,2,82.04612889314419,Jueves,4
133116,3,82.04612889314419,Jueves,4
133116,4,60.24781881989702,Jueves,4
133116,5,45.769372397028725,Jueves,4
133116,6,45.769372397028725,Jueves,4
133142,1,153.94259721910674,Martes,2
133142,2,88.59188730847134,Martes,2
133142,3,127.99499874632473,Martes,2
133142,4,82.04612889314419,Martes,2
133142,5,60.24781881989702,Martes,2
133142,6,83.3697575540883,Martes,2
133169,1,70.08930351674248,Martes,2
133169,2,33.34036223928049,Martes,2
133169,3,32.71261664024933,Martes,2
526761,1,34.45243531090501,Martes,2
526761,2,42.73704759503721,Martes,2
526761,3,28.956604851734127,Martes,2
526761,4,25.00155657267169,Martes,2
526754,1,23.519048965734953,Martes,2
531972,1,33.99082045189046,Martes,2
526754,2,30.986015495527216,Martes,2
531972,2,14.839996456313814,Martes,2
526754,3,56.744644238558934,Martes,2
531972,3,25.539662732272113,Martes,2
526754,4,28.956604851734127,Martes,2
531972,4,59.06449609491493,Martes,2
531972,5,31.987200478882666,Martes,2
531980,1,13.796243993796633,Martes,2
531980,2,25.97794241727169,Martes,2
500228,1,10.049353991555648,Martes,2
526725,1,89.11294304316223,Martes,2
531974,1,47.262243226387845,Martes,2
500228,2,7.640951874364519,Martes,2
526725,2,74.37187831077932,Martes,2
531974,2,30.295590745827425,Martes,2
500228,3,21.879033195928802,Martes,2
