IDFolio,ZonaEOD,IDMacrozona,NumeroVehiculos,NumeroBicicletas,NumeroPersonas,NumPersonaViaja,NumPersonaNoViaja,NumeroViajes,NumeroEtapas,DiaEncuestaHogar,NumeroBicicletaAdulto,NumeroBicicletaNigno,Tamaño,Factor
100007,1,10,0,0,4,2,2,8,8,2,0,0,4,49.36128659250527
100031,2,10,0,1,5,5,0,10,10,2,1,0,5,36.8505272516224
100050,2,10,0,1,6,5,1,12,12,2,1,0,6,19.435222659286925
100084,3,11,0,0,4,4,0,8,8,6,0,0,4,45.34020340478193
100086,3,11,0,2,6,6,0,12,16,6,1,1,6,16.16343651402908
100087,3,11,0,0,4,3,1,8,8,6,0,0,4,45.34020340478193
100155,3,11,0,4,4,4,0,8,8,6,2,2,4,45.34020340478193
100158,3,11,0,1,4,3,1,8,8,4,0,1,4,45.34020340478193
100442,3,11,0,0,3,3,0,6,6,6,0,0,3,24.27259788347023
100475,4,11,0,1,3,3,0,6,6,2,1,0,3,32.936144905321704
100476,4,11,0,1,6,4,2,12,12,6,1,0,6,80.18942262571926
100487,4,11,1,0,6,6,0,12,12,6,0,0,6,80.18942262571926
100488,4,11,0,1,4,4,0,8,8,3,1,0,4,18.508274901232745
100719,4,11,0,0,4,4,0,8,8,4,0,0,4,18.508274901232745
100720,4,11,0,2,2,2,0,4,4,4,2,0,2,47.20690059363113
100724,4,11,0,1,3,2,1,8,8,2,0,1,3,32.936144905321704
100725,4,11,0,1,3,3,0,6,6,6,0,1,3,32.936144905321704
100809,4,11,0,0,2,2,0,4,6,3,0,0,2,47.20690059363113
100810,4,11,0,0,1,1,0,2,2,2,0,0,1,130.67137256895973
101179,4,11,0,0,4,4,0,9,10,4,0,0,4,18.508274901232745
101186,4,11,1,1,3,3,0,6,6,6,0,1,3,32.936144905321704
101201,6,11,0,1,7,6,1,12,12,6,1,0,7,27.56003500018984
101228,6,11,0,1,6,4,2,10,10,2,1,0,6,29.519025295258555
101231,6,11,0,0,4,4,0,8,8,6,0,0,4,18.504742787701975
101289,7,11,0,0,3,3,0,8,8,3,0,0,3,34.633236341282945
101290,7,11,0,1,4,4,0,8,8,3,1,0,4,28.111699134336337
101291,7,11,0,0,4,3,1,8,8,3,0,0,4,28.111699134336337
101300,7,11,0,4,8,8,0,18,18,4,3,1,7,22.936466716092824
101309,7,11,1,0,3,2,1,6,6,3,0,0,3,34.633236341282945
101889,7,11,0,0,2,1,1,4,4,2,0,0,2,33.09287815151495
101913,7,11,0,0,1,1,0,2,2,3,0,0,1,68.70221973806947
101914,7,11,1,0,3,3,0,6,6,3,0,0,3,34.633236341282945
101919,7,11,0,0,2,2,0,4,4,3,0,0,2,33.09287815151495
101945,7,11,0,0,2,2,0,4,4,2,0,0,2,33.09287815151495
101979,8,11,0,0,7,6,1,12,12,5,0,0,7,15.056210588032949
102006,8,11,0,0,1,1,0,2,4,4,0,0,1,60.784631800923535
102193,8,11,0,0,2,1,1,4,4,6,0,0,2,25.096362093124505
102362,8,11,1,0,2,2,0,8,8,5,0,0,2,25.096362093124505
102368,8,11,1,0,5,4,1,10,10,5,0,0,5,35.363448888121894
102370,8,11,0,1,6,5,1,10,10,5,1,0,6,17.854249170519285
102399,8,11,0,0,6,6,0,16,20,6,0,0,6,17.854249170519285
102453,8,11,0,0,10,10,0,24,24,2,0,0,7,15.056210588032949
102471,9,11,0,0,6,5,1,16,16,6,0,0,6,28.200557664204815
102561,9,11,0,1,5,5,0,10,10,6,1,0,5,20.946042802964516
102639,9,11,0,0,4,3,1,9,9,6,0,0,4,37.88191761750405
102735,9,11,0,0,2,2,0,4,6,5,0,0,2,34.68445940562592
102737,9,11,0,0,3,3,0,8,8,6,0,0,3,50.8184602212836
102871,9,11,0,2,5,4,1,10,10,5,1,1,5,20.946042802964516
102877,9,11,1,0,7,6,1,12,12,5,0,0,7,18.430345986479313
102910,9,11,1,0,4,4,0,8,10,5,0,0,4,37.88191761750405
102924,9,11,1,1,5,5,0,10,10,6,1,0,5,20.946042802964516
102925,9,11,0,1,9,8,1,16,16,5,1,0,7,18.430345986479313
102926,9,11,1,0,7,6,1,16,16,5,0,0,7,18.430345986479313
102930,9,11,0,3,2,2,0,4,6,6,3,0,2,34.68445940562592
102935,9,11,1,0,6,5,1,16,16,6,0,0,6,28.200557664204815
102936,9,11,0,1,6,5,1,10,10,6,1,0,6,28.200557664204815
102937,9,11,0,0,2,2,0,4,4,3,0,0,2,34.68445940562592
102947,9,11,0,0,5,4,1,9,9,6,0,0,5,20.946042802964516
102982,9,11,1,0,2,2,0,4,4,4,0,0,2,34.68445940562592
103025,9,11,1,0,4,4,0,8,8,4,0,0,4,37.88191761750405
103027,9,11,0,1,4,4,0,10,10,2,1,0,4,37.88191761750405
103153,9,11,0,0,4,4,0,8,8,6,0,0,4,37.88191761750405
103160,10,11,0,0,2,2,0,4,4,6,0,0,2,13.549461544431527
103184,10,11,1,0,2,2,0,4,4,2,0,0,2,13.549461544431527
103188,10,11,0,0,1,1,0,2,2,3,0,0,1,46.8820955018405
103195,10,11,0,0,3,3,0,6,6,2,0,0,3,49.454324987382535
103201,11,12,1,0,4,4,0,8,8,6,0,0,4,23.83882290475255
103203,11,12,0,0,1,1,0,2,2,5,0,0,1,19.419910570243772
103205,11,12,1,1,3,3,0,10,10,6,0,1,3,27.41116945269236
103330,11,12,1,3,4,2,2,8,8,3,3,0,4,23.83882290475255
103363,11,12,0,1,1,1,0,2,2,5,1,0,1,19.419910570243772
103376,11,12,0,1,3,3,0,6,6,5,1,0,3,27.41116945269236
103461,12,12,0,1,2,2,0,4,4,5,1,0,2,28.82864158389687
103530,12,12,1,3,5,5,0,10,10,5,3,0,5,92.85172220881235
103537,12,12,0,1,1,1,0,2,2,3,1,0,1,39.89965574624724
103548,12,12,0,3,4,4,0,8,8,3,3,0,4,29.387184576003147
103549,12,12,0,2,3,3,0,6,6,3,2,0,3,35.19893348660335
103551,12,12,2,3,4,4,0,8,8,3,3,0,4,29.387184576003147
103582,13,12,0,0,2,2,0,4,4,5,0,0,2,24.143987326513628
103627,13,12,0,0,5,5,0,10,10,3,0,0,5,25.92110578329345
103849,13,12,2,1,3,3,0,6,6,4,1,0,3,29.479106795030305
103850,13,12,1,1,3,2,1,6,6,3,1,0,3,29.479106795030305
103872,13,12,0,0,6,5,1,10,10,5,0,0,6,19.630518062355566
103902,14,12,1,0,3,2,1,6,6,6,0,0,3,16.455501404987068
103905,14,12,2,3,5,5,0,11,11,3,3,0,5,27.130112582887364
103944,14,12,1,0,3,3,0,8,8,2,0,0,3,16.455501404987068
103945,14,12,1,2,6,5,1,10,10,5,0,2,6,57.2344352328607
103955,14,12,0,0,2,1,1,4,4,3,0,0,2,45.35165551453608
104010,15,12,1,1,3,2,1,6,6,3,1,0,3,21.311854259466873
104141,15,12,0,2,6,5,1,14,14,2,0,2,6,56.76735633703567
104280,18,9,0,0,4,4,0,8,8,3,0,0,4,33.88709721420362
104292,18,9,0,0,2,2,0,4,4,3,0,0,2,22.16201821762072
104390,18,9,0,2,6,5,1,12,12,2,0,2,6,37.646179324288056
104402,18,9,0,2,4,3,1,8,8,6,2,0,4,33.88709721420362
104407,18,9,0,0,2,2,0,4,4,2,0,0,2,22.16201821762072
104420,18,9,1,1,6,4,2,10,10,6,0,1,6,37.646179324288056
104524,18,9,0,1,4,4,0,8,8,2,1,0,4,33.88709721420362
104675,19,9,1,1,5,5,0,10,10,2,1,0,5,17.844940362006128
104677,19,9,0,1,4,3,1,8,8,2,0,1,4,48.53363276687278
104774,20,7,0,2,4,4,0,12,12,2,1,1,4,44.310364243504736
104777,20,7,1,1,3,3,0,6,6,2,1,0,3,21.229356759107645
104779,20,7,0,1,3,3,0,8,8,6,1,0,3,21.229356759107645
104838,21,7,1,0,4,4,0,10,10,3,0,0,4,31.393578631633797
104850,21,7,1,0,6,5,1,12,12,3,0,0,6,38.39426573762951
104855,21,7,0,0,4,3,1,8,8,3,0,0,4,31.393578631633797
104857,21,7,0,0,4,4,0,14,14,6,0,0,4,31.393578631633797
104901,21,7,0,2,2,2,0,4,4,2,2,0,2,31.481277007415162
104903,21,7,0,0,4,3,1,8,8,2,0,0,4,31.393578631633797
104910,21,7,1,0,2,2,0,4,4,3,0,0,2,31.481277007415162
104931,21,7,1,0,4,4,0,8,8,5,0,0,4,31.393578631633797
104955,21,7,0,0,3,3,0,8,8,3,0,0,3,24.709965583787397
105013,21,7,1,0,4,3,1,8,8,2,0,0,4,31.393578631633797
501071,6,11,1,0,4,4,0,12,12,2,0,0,4,18.504742787701975
501082,6,11,0,0,3,2,1,8,8,2,0,0,3,88.65731371938222
501102,6,11,0,0,4,4,0,11,11,2,0,0,4,18.504742787701975
501108,6,11,0,0,2,1,1,2,2,2,0,0,2,36.30607049472013
501113,6,11,0,0,4,4,0,8,8,2,0,0,4,18.504742787701975
501118,6,11,0,0,5,5,0,16,16,2,0,0,5,58.46756882836154
501718,7,11,1,0,4,3,1,8,9,6,0,0,4,28.111699134336337
501739,7,11,1,1,4,4,0,12,12,6,1,0,4,28.111699134336337
501746,7,11,0,2,6,6,0,14,14,6,1,1,6,40.35975915058923
501750,7,11,0,0,2,2,0,8,8,6,0,0,2,33.09287815151495
501760,7,11,0,0,2,2,0,6,6,6,0,0,2,33.09287815151495
501773,7,11,0,0,8,8,0,16,16,5,0,0,7,22.936466716092824
501776,7,11,0,0,5,3,2,6,6,5,0,0,5,39.96976479457471
501790,7,11,0,0,3,3,0,10,10,5,0,0,3,34.633236341282945
502155,8,11,0,0,5,2,3,4,5,5,0,0,5,35.363448888121894
502156,8,11,0,0,6,6,0,12,12,5,0,0,6,17.854249170519285
502161,8,11,0,0,6,6,0,16,16,5,0,0,6,17.854249170519285
502170,8,11,0,0,5,5,0,12,12,5,0,0,5,35.363448888121894
502182,8,11,0,0,2,1,1,4,4,5,0,0,2,25.096362093124505
502189,8,11,0,0,4,3,1,6,6,5,0,0,4,37.30794916875399
502194,8,11,0,1,4,4,0,12,12,6,0,1,4,37.30794916875399
502200,8,11,0,0,1,1,0,4,4,6,0,0,1,60.784631800923535
502208,8,11,0,1,2,2,0,6,6,6,1,0,2,25.096362093124505
502898,10,11,0,0,5,4,1,14,14,2,0,0,5,54.55038679767726
502907,10,11,0,0,2,1,1,2,2,2,0,0,2,13.549461544431527
502918,10,11,1,1,3,3,0,12,12,2,0,1,3,49.454324987382535
502925,10,11,0,0,2,2,0,4,4,2,0,0,2,13.549461544431527
502927,10,11,0,0,3,2,1,4,4,2,0,0,3,49.454324987382535
502931,10,11,0,0,6,6,0,18,18,3,0,0,6,57.540501731432144
502941,10,11,0,0,3,3,0,6,6,3,0,0,3,49.454324987382535
502942,10,11,0,0,2,2,0,6,6,3,0,0,2,13.549461544431527
502953,11,12,0,0,4,4,0,15,15,6,0,0,4,23.83882290475255
502962,11,12,0,0,4,1,3,2,2,6,0,0,4,23.83882290475255
502966,11,12,2,3,4,4,0,16,16,6,3,0,4,23.83882290475255
503040,11,12,0,0,3,3,0,10,10,6,0,0,3,27.41116945269236
503082,11,12,1,0,6,6,0,14,14,6,0,0,6,47.669857152502956
503084,11,12,1,2,3,3,0,9,9,6,2,0,3,27.41116945269236
503090,11,12,2,0,5,5,0,17,17,6,0,0,5,90.3853483376408
503113,11,12,3,5,6,4,2,15,15,5,3,2,6,47.669857152502956
503114,11,12,1,0,1,1,0,6,6,5,0,0,1,19.419910570243772
503134,11,12,0,0,1,0,1,0,0,5,0,0,1,19.419910570243772
503135,11,12,0,0,4,3,1,8,8,5,0,0,4,23.83882290475255
503136,11,12,0,0,3,2,1,4,6,5,0,0,3,27.41116945269236
503155,12,12,1,2,8,7,1,18,18,3,1,1,7,38.296822829047905
503156,12,12,0,1,4,3,1,6,6,3,1,0,4,29.387184576003147
503202,12,12,1,2,6,5,1,14,14,2,1,1,6,23.439424552066345
503207,12,12,1,0,2,2,0,6,6,2,0,0,2,28.82864158389687
503230,12,12,1,2,4,3,1,12,12,4,1,1,4,29.387184576003147
503232,12,12,0,0,2,2,0,4,4,4,0,0,2,28.82864158389687
503235,12,12,2,2,6,5,1,11,11,4,2,0,6,23.439424552066345
503501,13,12,0,0,5,4,1,13,13,2,0,0,5,25.92110578329345
503522,13,12,0,0,3,2,1,5,5,2,0,0,3,29.479106795030305
503527,13,12,1,1,6,6,0,13,13,2,1,0,6,19.630518062355566
503528,13,12,0,0,2,1,1,4,4,2,0,0,2,24.143987326513628
503538,14,12,0,1,5,4,1,13,13,6,1,0,5,27.130112582887364
503539,14,12,0,0,3,3,0,6,6,6,0,0,3,16.455501404987068
503578,14,12,0,0,4,4,0,12,12,5,0,0,4,85.86567993300918
503580,14,12,0,0,3,3,0,9,9,5,0,0,3,16.455501404987068
503585,15,12,0,0,2,0,2,0,0,2,0,0,2,46.54624422400015
503590,15,12,0,0,4,3,1,10,10,3,0,0,4,35.586043822503804
503602,15,12,0,0,4,3,1,6,6,2,0,0,4,35.586043822503804
503609,15,12,0,0,5,1,4,2,2,4,0,0,5,28.10940809055843
503613,15,12,0,0,5,3,2,6,6,4,0,0,5,28.10940809055843
503615,15,12,2,1,3,3,0,7,7,6,1,0,3,21.311854259466873
503618,15,12,0,0,3,3,0,10,10,6,0,0,3,21.311854259466873
503631,15,12,0,0,3,3,0,10,10,6,0,0,3,21.311854259466873
503633,15,12,0,0,3,1,2,2,2,6,0,0,3,21.311854259466873
503637,15,12,0,2,4,3,1,8,8,6,1,1,4,35.586043822503804
503653,15,12,1,0,3,2,1,6,6,4,0,0,3,21.311854259466873
503658,15,12,0,0,3,2,1,8,8,4,0,0,3,21.311854259466873
503659,15,12,1,1,5,5,0,19,19,4,1,0,5,28.10940809055843
503665,15,12,0,0,4,4,0,10,10,4,0,0,4,35.586043822503804
503678,15,12,1,0,3,3,0,6,6,5,0,0,3,21.311854259466873
503679,15,12,1,0,4,3,1,7,7,5,0,0,4,35.586043822503804
503684,15,12,0,0,1,1,0,2,2,5,0,0,1,96.63197876044252
503721,17,9,0,1,1,0,1,0,0,6,1,0,1,12.21926957228822
503725,17,9,0,0,2,1,1,2,2,4,0,0,2,35.31508594027367
503729,17,9,0,0,3,3,0,6,6,4,0,0,3,21.559346760544557
503730,17,9,0,0,1,1,0,3,3,5,0,0,1,12.21926957228822
503732,17,9,2,1,4,4,0,12,12,3,1,0,4,125.53570158006859
503735,17,9,1,2,3,3,0,20,20,3,1,1,3,21.559346760544557
503745,18,9,0,0,3,2,1,4,4,2,0,0,3,32.471016141391594
503756,18,9,0,0,2,2,0,4,4,2,0,0,2,22.16201821762072
503879,18,9,0,0,3,1,2,2,2,2,0,0,3,32.471016141391594
503886,18,9,0,0,3,2,1,4,4,2,0,0,3,32.471016141391594
503989,18,9,0,0,1,1,0,2,2,4,0,0,1,30.672860354927558
503990,18,9,0,1,6,5,1,10,10,4,1,0,6,37.646179324288056
503993,18,9,0,0,3,3,0,9,9,4,0,0,3,32.471016141391594
504112,18,9,0,0,1,1,0,2,2,6,0,0,1,30.672860354927558
504120,18,9,0,0,4,4,0,12,12,6,0,0,4,33.88709721420362
504130,19,9,1,0,2,2,0,6,6,5,0,0,2,29.83023330635261
504175,20,7,2,5,5,5,0,15,15,2,3,2,5,63.44309801316861
504209,20,7,0,0,2,2,0,10,10,2,0,0,2,23.403394423276637
504431,21,7,1,1,3,3,0,17,18,4,0,1,3,24.709965583787397
507475,22,7,0,1,3,1,2,4,4,5,1,0,3,31.12905680221485
507565,22,7,2,2,4,3,1,18,18,4,1,1,4,43.31548559900463
507607,22,7,0,0,3,3,0,6,6,6,0,0,3,31.12905680221485
507622,22,7,1,0,1,1,0,2,2,5,0,0,1,47.04834406744988
507654,22,7,1,1,1,1,0,3,3,5,1,0,1,47.04834406744988
507662,22,7,1,1,4,3,1,8,8,5,1,0,4,43.31548559900463
507674,22,7,1,0,3,3,0,17,17,6,0,0,3,31.12905680221485
507681,22,7,2,2,2,1,1,6,6,6,1,1,2,25.4953299007588
507709,22,7,1,1,3,2,1,7,7,6,1,0,3,31.12905680221485
507812,22,7,1,0,2,2,0,6,6,6,0,0,2,25.4953299007588
508083,22,7,1,1,5,4,1,12,12,6,1,0,5,18.247942628537434
508097,22,7,1,1,3,3,0,13,13,6,1,0,3,31.12905680221485
508973,26,6,2,0,3,3,0,9,9,5,0,0,3,18.490439747181323
509185,26,6,1,0,3,3,0,6,6,2,0,0,3,18.490439747181323
509189,26,6,0,0,2,2,0,6,6,2,0,0,2,60.5761831281633
509199,26,6,0,0,4,2,2,9,9,3,0,0,4,35.085125903594644
509223,26,6,1,4,3,3,0,14,15,2,2,2,3,18.490439747181323
509226,26,6,0,0,5,3,2,6,6,4,0,0,5,40.646808602347285
509229,26,6,2,3,6,6,0,29,30,3,2,1,6,51.44977840986034
509254,26,6,1,1,4,4,0,17,17,6,1,0,4,35.085125903594644
509259,26,6,0,0,2,1,1,2,2,4,0,0,2,60.5761831281633
509266,26,6,1,2,4,4,0,16,16,4,2,0,4,35.085125903594644
509285,26,6,2,1,4,3,1,10,11,2,1,0,4,35.085125903594644
509294,26,6,1,0,5,5,0,11,15,6,0,0,5,40.646808602347285
509300,26,6,1,0,3,1,2,6,6,3,0,0,3,18.490439747181323
509313,26,6,1,0,3,2,1,11,11,2,0,0,3,18.490439747181323
509318,26,6,1,0,3,3,0,9,9,4,0,0,3,18.490439747181323
509445,26,6,0,0,2,2,0,8,8,4,0,0,2,60.5761831281633
509624,26,6,1,1,5,4,1,12,12,5,0,1,5,40.646808602347285
509626,26,6,0,0,1,1,0,5,5,5,0,0,1,41.91957581840101
509630,26,6,1,0,1,0,1,0,0,4,0,0,1,41.91957581840101
509650,26,6,1,0,2,2,0,11,11,6,0,0,2,60.5761831281633
509652,26,6,1,2,6,3,3,8,8,6,0,2,6,51.44977840986034
509675,27,7,2,4,3,3,0,11,11,5,3,1,3,31.679040137943016
509681,27,7,2,4,4,3,1,15,15,3,4,0,4,92.23031136494836
509746,28,6,0,0,2,2,0,4,4,5,0,0,2,24.324166336412983
509759,28,6,1,1,4,4,0,14,14,4,1,0,4,20.662864155002207
509760,28,6,1,0,2,1,1,6,6,4,0,0,2,24.324166336412983
509761,28,6,0,0,1,1,0,2,2,3,0,0,1,50.498001803844176
509799,28,6,1,5,4,4,0,12,12,5,4,1,4,20.662864155002207
509801,28,6,4,0,4,4,0,13,13,5,0,0,4,20.662864155002207
509805,28,6,1,0,7,4,3,13,13,5,0,0,7,55.39361873487289
509984,28,6,1,0,4,1,3,2,2,3,0,0,4,20.662864155002207
509985,28,6,1,1,2,1,1,2,2,3,1,0,2,24.324166336412983
509995,28,6,2,1,4,4,0,17,17,5,0,1,4,20.662864155002207
510097,28,6,0,1,5,5,0,19,19,4,0,1,5,39.17182030684272
510190,29,6,1,0,8,6,2,15,15,6,0,0,7,25.784326404729672
510195,29,6,0,0,4,4,0,8,8,5,0,0,4,25.615391912788454
510204,29,6,0,1,4,4,0,8,8,6,1,0,4,25.615391912788454
510207,29,6,1,0,6,5,1,19,19,6,0,0,6,38.13789703159127
510210,29,6,0,1,5,5,0,12,12,6,0,1,5,28.327029314485337
510410,29,6,0,1,5,5,0,10,10,5,0,1,5,28.327029314485337
510454,29,6,1,1,7,7,0,22,22,4,0,1,7,25.784326404729672
510461,29,6,0,0,7,4,3,13,13,6,0,0,7,25.784326404729672
510467,29,6,0,0,3,3,0,8,8,6,0,0,3,49.08994116613788
510471,29,6,0,0,3,2,1,8,8,6,0,0,3,49.08994116613788
510508,29,6,0,0,2,1,1,4,4,6,0,0,2,35.17995168284915
510528,29,6,0,0,3,3,0,12,12,6,0,0,3,49.08994116613788
510644,29,6,0,0,1,1,0,2,2,5,0,0,1,38.95203892227385
511268,30,6,0,0,3,0,3,0,0,5,0,0,3,32.89255175613035
511414,30,6,1,0,5,5,0,10,10,3,0,0,5,19.777928880415686
511563,30,6,0,1,4,2,2,4,4,5,1,0,4,27.285577025195217
511566,30,6,0,1,8,6,2,22,22,5,0,1,7,69.33819289556136
511587,30,6,1,0,9,7,2,14,14,5,0,0,7,69.33819289556136
511591,30,6,0,0,4,4,0,17,17,5,0,0,4,27.285577025195217
511653,30,6,0,1,4,4,0,8,8,6,0,1,4,27.285577025195217
511656,30,6,0,0,2,1,1,2,2,6,0,0,2,49.12527711079486
511669,30,6,0,1,3,3,0,6,6,6,0,1,3,32.89255175613035
511795,30,6,1,0,6,3,3,8,8,2,0,0,6,33.950541499633594
