IDFolio,PropiedadVivienda,PagaDividendo,EstimacionArriendo,PagaArriendo,TiempoViviendoAgnos,TiempoViviendoMeses,SiempreViviendo,TipoViviendaAntes,TipoViviendaOtro,ComunaViviendaAntes,Internet,TvCable,TipoViviendaActual,NumPisosEdificio,NumDeptoPorPisos,NumCasasCondominio
100809,1,0,50000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
100810,1,0,60000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
101179,2,0,0,50000,7,0,0,2,-1,4102,2,1,2,0,0,0
101186,1,0,100000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
101201,4,0,0,0,11,0,0,2,-1,13101,1,1,2,0,0,0
101228,1,0,80000,0,0,0,1,-1,-1,-1,2,2,2,0,0,0
101231,1,0,60000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
101289,1,0,60000,0,1,2,0,2,-1,4102,1,3,2,0,0,0
101290,1,0,40000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
101291,1,0,100000,0,14,2,0,2,-1,4102,1,3,2,0,0,0
101300,1,0,150000,0,5,0,0,2,-1,4102,3,1,2,0,0,0
101309,1,0,30000,0,1,5,0,2,-1,4102,1,1,2,0,0,0
101889,4,0,0,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
101913,1,0,50000,0,33,0,0,2,-1,4102,1,1,2,0,0,0
101914,1,0,60000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
101919,1,0,60000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
101945,1,0,80000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
101979,1,0,40000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102006,1,0,40000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102193,1,0,80000,0,25,0,0,2,-1,4102,1,1,2,0,0,0
102362,1,0,70000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
102368,1,0,80000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102370,1,0,80000,0,0,0,1,-1,-1,-1,1,3,2,0,0,0
102399,2,0,0,60000,0,0,1,-1,-1,-1,1,1,2,0,0,0
102453,1,0,100000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
102471,1,0,70000,0,36,0,0,2,-1,4102,1,1,2,0,0,0
102561,1,0,80000,0,15,0,0,2,-1,2101,2,2,2,0,0,0
102639,1,0,50000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102735,1,0,70000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102737,1,0,60000,0,5,3,0,2,-1,4102,1,3,2,0,0,0
102871,1,0,65000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102877,1,0,80000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102910,1,0,110000,0,0,0,1,-1,-1,-1,2,2,2,0,0,0
102924,2,0,0,100000,0,0,1,-1,-1,-1,2,1,2,0,0,0
102925,1,0,80000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
102926,1,0,50000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102930,1,0,120000,0,0,0,1,-1,-1,-1,3,3,2,0,0,0
102935,1,0,50000,0,30,0,0,2,-1,4103,1,2,2,0,0,0
102936,2,0,0,85000,0,1,0,2,-1,4102,1,1,2,0,0,0
102937,1,0,65000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
102947,1,0,50000,0,40,0,0,2,-1,4301,1,1,2,0,0,0
102982,1,0,120000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
103025,1,0,100000,0,28,0,0,2,-1,4102,3,2,2,0,0,0
103027,1,0,80000,0,35,0,0,2,-1,4102,1,1,2,0,0,0
103153,2,0,0,70000,5,0,0,2,-1,4102,1,1,2,0,0,0
103160,1,0,200000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
103184,1,0,200000,0,15,0,0,2,-1,13101,1,1,2,0,0,0
103188,4,0,0,0,25,0,0,2,-1,4102,1,2,2,0,0,0
103195,1,0,50000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
103201,2,0,0,135000,1,6,0,2,-1,4102,1,1,2,0,0,0
103203,1,0,150000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
103205,1,0,80000,0,10,3,0,2,-1,4102,1,1,2,0,0,0
103330,1,300000,250000,0,0,0,1,-1,-1,-1,2,3,2,0,0,0
103363,1,0,180000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
103376,2,0,0,120000,0,0,1,-1,-1,-1,2,2,1,2,2,0
103461,2,0,0,80000,0,0,1,-1,-1,-1,1,1,2,0,0,0
103530,1,0,160000,0,0,0,1,-1,-1,-1,3,3,2,0,0,0
103537,4,0,0,0,0,2,0,2,-1,4101,1,1,2,0,0,0
103548,2,0,0,150000,1,0,0,2,-1,2201,1,1,2,0,0,0
103549,2,0,0,100000,2,0,0,2,-1,5301,2,1,2,0,0,0
103551,1,0,500000,0,12,0,0,2,-1,12401,3,3,2,0,0,0
103582,1,0,120000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
103627,1,0,200000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
103849,1,0,350000,0,15,0,0,2,-1,4102,3,2,3,0,0,10
103850,1,200000,250000,0,15,0,0,2,-1,4102,2,2,2,0,0,0
103872,1,0,100000,0,0,0,1,-1,-1,-1,2,1,1,4,4,0
103902,1,0,200000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
103905,1,0,300000,0,0,0,1,-1,-1,-1,2,2,2,0,0,0
103944,1,0,120000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
103945,1,0,130000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
103955,1,0,200000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
104010,1,0,150000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
104141,1,0,160000,0,7,0,0,2,-1,4102,3,2,2,0,0,0
104280,1,0,100000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
104292,1,0,80000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
104390,1,0,80000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
104402,1,0,80000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
104407,1,48000,80000,0,0,2,0,2,-1,4102,1,1,2,0,0,0
104420,1,0,120000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
104524,1,0,100000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
104675,1,0,100000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
104677,2,0,0,80000,0,0,1,-1,-1,-1,3,2,1,4,4,0
104774,1,0,60000,0,7,0,0,2,-1,4102,1,2,2,0,0,0
104777,1,0,140000,0,20,0,0,2,-1,4101,1,2,2,0,0,0
104779,2,0,0,60000,0,8,0,2,-1,4102,1,1,2,0,0,0
104838,4,0,0,0,0,0,1,-1,-1,-1,2,2,2,0,0,0
104850,2,0,0,75000,0,0,1,-1,-1,-1,2,2,2,0,0,0
104855,1,75000,80000,0,0,0,1,-1,-1,-1,2,2,2,0,0,0
104857,2,0,0,80000,3,0,0,1,-1,2101,1,2,2,0,0,0
104901,2,0,0,90000,1,0,0,2,-1,4102,1,1,2,0,0,0
104903,2,0,0,120000,4,0,0,2,-1,13101,1,1,2,0,0,0
104910,1,0,90000,0,7,0,0,2,-1,4102,1,1,2,0,0,0
104931,1,80000,100000,0,7,0,0,2,-1,4102,3,3,2,0,0,0
104955,2,0,0,100000,0,0,1,-1,-1,-1,1,2,2,0,0,0
105013,1,85000,90000,0,5,0,0,2,-1,4102,2,1,2,0,0,0
105061,1,0,110000,0,10,0,0,2,-1,13101,1,2,2,0,0,0
105127,2,0,0,50000,4,0,0,2,-1,4102,1,2,2,0,0,0
105344,2,0,0,100000,0,1,0,2,-1,4102,3,3,2,0,0,0
106082,1,79000,90000,0,5,0,0,2,-1,4102,2,2,2,0,0,0
106552,1,0,90000,0,0,0,1,-1,-1,-1,2,2,2,0,0,0
106556,1,0,100000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
107842,1,0,220000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107845,1,0,200000,0,0,0,1,-1,-1,-1,3,3,2,0,0,0
107846,1,120000,100000,0,0,0,1,-1,-1,-1,1,2,2,0,0,0
107849,2,0,0,135000,2,0,0,2,-1,4102,3,2,2,0,0,0
107851,1,0,170000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107943,1,210000,200000,0,2,0,0,2,-1,4102,3,1,2,0,0,0
107945,1,0,170000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
107946,2,0,0,180000,0,0,1,-1,-1,-1,3,1,2,0,0,0
107947,1,0,180000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107948,2,0,0,170000,0,0,1,-1,-1,-1,1,1,2,0,0,0
107953,1,0,250000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
107954,1,0,200000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107956,1,0,180000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
107960,1,0,190000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
107961,1,0,150000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107963,2,0,0,180000,0,0,1,-1,-1,-1,1,2,2,0,0,0
107964,1,0,150000,0,30,0,0,2,-1,4101,1,2,2,0,0,0
107965,1,0,190000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107966,1,0,150000,0,25,0,0,2,-1,4101,1,1,2,0,0,0
107967,2,0,0,100000,5,4,0,2,-1,13101,2,1,2,0,0,0
107968,1,0,150000,0,0,0,1,-1,-1,-1,3,1,2,0,0,0
107969,1,0,140000,0,6,0,0,2,-1,4101,2,2,2,0,0,0
107970,1,0,120000,0,0,0,1,-1,-1,-1,3,2,2,0,0,0
107971,1,0,120000,0,12,0,0,2,-1,4102,2,2,2,0,0,0
107972,2,0,0,200000,1,6,0,2,-1,4101,3,2,2,0,0,0
107975,1,0,100000,0,0,0,1,-1,-1,-1,1,1,2,0,0,0
107984,2,0,0,300000,5,0,0,2,-1,4101,3,1,2,0,0,0
107986,1,0,250000,0,3,0,0,2,-1,4101,3,3,2,0,0,0
