IDFolio,IDPersona,IDViaje,ZonaOrigen,ComunaOrigen,ZonaDestino,ComunaDestino,Proposito,PropositoEstraus,IDModo,IDModoAgregado,HoraInicio,HoraTermino,HoraMedia,TiempoViaje,CuadrasCaminadas,MinutosCaminados,IDPeriodos,IDPeriodosMedicionFlujos,ManzanaOri,ManzanaDes
852304006,4,2,45,4101,85,4101,6,1,11,1,3:45:00 PM,4:30:00 PM,4:07:00 PM,12:45:00 AM,0,0,2,0,1187,2304
852304006,4,1,85,4101,45,4101,3,1,11,1,8:00:00 AM,8:20:00 AM,8:10:00 AM,12:20:00 AM,0,0,1,1,2304,1187
852304006,2,2,46,4101,85,4101,6,2,3,2,11:40:00 AM,12:00:00 PM,11:50:00 AM,12:20:00 AM,1,1,2,0,543,2304
852304006,2,1,85,4101,46,4101,11,2,4,2,10:00:00 AM,10:20:00 AM,10:10:00 AM,12:20:00 AM,4,5,2,2,2304,543
852304006,1,2,55,4101,85,4101,6,0,4,2,5:45:00 PM,6:35:00 PM,6:10:00 PM,12:50:00 AM,14,25,4,0,1238,2304
852304006,1,1,85,4101,55,4101,1,0,4,2,7:00:00 AM,7:55:00 AM,7:28:00 AM,12:55:00 AM,14,25,1,1,2304,1238
107519102,3,4,1,4102,107,4102,6,2,3,2,9:30:00 PM,10:00:00 PM,9:45:00 PM,12:30:00 AM,2,2,5,0,4428,5191
107519102,3,3,107,4102,1,4102,13,2,4,2,5:00:00 PM,5:50:00 PM,5:25:00 PM,12:50:00 AM,2,2,2,0,5191,4428
107519102,3,2,42,4102,107,4102,6,1,4,2,1:15:00 PM,2:30:00 PM,1:53:00 PM,1:15:00 AM,6,6,2,0,5455,5191
107519102,3,1,107,4102,42,4102,3,1,4,2,7:15:00 AM,7:50:00 AM,7:33:00 AM,12:35:00 AM,6,6,1,1,5191,5455
107519102,2,2,107,4102,107,4102,6,2,7,5,5:40:00 PM,5:43:00 PM,5:42:00 PM,12:03:00 AM,2,3,4,0,5129,5191
107519102,2,1,107,4102,107,4102,10,2,7,5,5:30:00 PM,5:33:00 PM,5:32:00 PM,12:03:00 AM,2,3,4,0,5191,5129
107519102,1,2,12,4102,107,4102,6,0,4,2,6:00:00 PM,7:30:00 PM,6:45:00 PM,1:30:00 AM,2,2,4,0,5200,5191
107519102,1,1,107,4102,12,4102,1,0,4,2,7:50:00 AM,8:30:00 AM,8:10:00 AM,12:40:00 AM,2,2,1,1,5191,5200
107519101,1,3,62,4101,107,4102,6,2,10,3,11:00:00 PM,12:50:00 AM,11:55:00 PM,1:50:00 AM,0,0,5,0,1577,5191
107519101,1,2,45,4101,62,4101,13,2,4,2,5:00:00 PM,5:30:00 PM,5:15:00 PM,12:30:00 AM,0,0,2,0,532,1577
107519101,1,1,107,4102,45,4101,1,0,3,2,8:00:00 AM,8:40:00 AM,8:20:00 AM,12:40:00 AM,4,4,1,1,5191,532
107518801,4,2,107,4102,107,4102,6,1,7,5,5:25:00 PM,5:40:00 PM,5:33:00 PM,12:15:00 AM,6,15,4,0,4857,5188
107518801,4,1,107,4102,107,4102,3,1,7,5,8:40:00 AM,8:55:00 AM,8:48:00 AM,12:15:00 AM,6,15,1,1,5188,4857
107518801,3,2,107,4102,107,4102,6,1,7,5,4:30:00 PM,4:35:00 PM,4:32:00 PM,12:05:00 AM,3,5,2,0,5138,5188
107518801,3,1,107,4102,107,4102,3,1,7,5,7:55:00 AM,8:00:00 AM,7:57:00 AM,12:05:00 AM,3,5,1,1,5188,5138
107518801,2,4,45,4101,107,4102,6,0,3,2,9:00:00 PM,9:40:00 PM,9:20:00 PM,12:40:00 AM,0,0,5,0,531,5188
107518801,2,3,107,4102,45,4101,1,0,3,2,3:30:00 PM,4:00:00 PM,3:45:00 PM,12:30:00 AM,5,5,2,0,5188,531
107518801,2,2,45,4101,107,4102,6,0,3,2,2:00:00 PM,2:30:00 PM,2:15:00 PM,12:30:00 AM,0,0,2,0,531,5188
107518801,2,1,107,4102,45,4101,1,0,3,2,9:00:00 AM,9:30:00 AM,9:15:00 AM,12:30:00 AM,5,5,2,0,5188,531
107518801,1,4,107,4102,107,4102,6,2,7,5,5:25:00 PM,5:40:00 PM,5:33:00 PM,12:15:00 AM,6,15,4,0,4857,5188
107518801,1,3,107,4102,107,4102,7,2,7,5,5:00:00 PM,5:15:00 PM,5:08:00 PM,12:15:00 AM,6,15,2,0,5188,4857
107518801,1,2,107,4102,107,4102,6,0,7,5,9:00:00 AM,9:15:00 AM,9:08:00 AM,12:15:00 AM,6,15,2,0,4857,5188
107518801,1,1,107,4102,107,4102,1,0,7,5,8:40:00 AM,8:55:00 AM,8:48:00 AM,12:15:00 AM,6,15,1,1,5188,4857
107515101,5,2,30,4102,107,4102,6,1,2,1,1:30:00 PM,1:40:00 PM,1:35:00 PM,12:10:00 AM,0,0,3,0,4638,5151
107515101,5,1,107,4102,30,4102,3,1,2,1,8:00:00 AM,8:08:00 AM,8:04:00 AM,12:08:00 AM,0,0,1,1,5151,4638
107515101,4,2,30,4102,107,4102,6,1,2,1,1:30:00 PM,1:40:00 PM,1:35:00 PM,12:10:00 AM,0,0,3,0,4638,5151
107515101,4,1,107,4102,30,4102,3,1,2,1,8:00:00 AM,8:08:00 AM,8:04:00 AM,12:08:00 AM,0,0,1,1,5151,4638
107515101,3,2,28,4102,107,4102,6,2,7,5,3:30:00 PM,4:00:00 PM,3:45:00 PM,12:30:00 AM,14,30,2,0,4681,5151
107515101,3,1,107,4102,28,4102,11,2,3,2,1:55:00 PM,2:00:00 PM,1:57:00 PM,12:05:00 AM,0,0,2,0,5151,4681
107515101,2,2,45,4101,107,4102,6,2,3,2,7:30:00 PM,8:10:00 PM,7:50:00 PM,12:40:00 AM,0,0,5,0,1186,5151
107515101,2,1,107,4102,45,4101,10,2,3,2,4:00:00 PM,4:30:00 PM,4:15:00 PM,12:30:00 AM,0,0,2,0,5151,1186
107515101,1,2,32,4102,107,4102,6,2,7,5,11:30:00 AM,11:40:00 AM,11:35:00 AM,12:10:00 AM,2,10,2,0,4988,5151
107515101,1,1,107,4102,32,4102,4,2,7,5,9:00:00 AM,9:10:00 AM,9:05:00 AM,12:10:00 AM,2,10,2,0,5151,4988
107513403,5,2,46,4101,107,4102,6,1,4,2,4:00:00 PM,4:45:00 PM,4:22:00 PM,12:45:00 AM,3,3,2,0,558,5134
107513403,5,1,107,4102,46,4101,3,1,3,2,7:15:00 AM,7:50:00 AM,7:33:00 AM,12:35:00 AM,0,0,1,1,5134,558
107513403,4,2,31,4102,107,4102,6,0,3,2,3:30:00 PM,3:50:00 PM,3:40:00 PM,12:20:00 AM,0,0,2,0,4802,5134
107513403,4,1,107,4102,31,4102,1,0,3,2,7:00:00 AM,7:20:00 AM,7:10:00 AM,12:20:00 AM,0,0,1,1,5134,4802
107513403,3,1,98,-1,107,4102,6,2,2,1,6:30:00 PM,9:00:00 PM,7:45:00 PM,2:30:00 AM,0,0,5,0,98000,5134
107513403,2,2,46,4101,107,4102,6,2,3,2,6:25:00 PM,6:40:00 PM,6:33:00 PM,12:15:00 AM,1,1,4,0,1208,5134
107513403,2,1,107,4102,46,4101,10,2,3,2,2:45:00 PM,3:10:00 PM,2:57:00 PM,12:25:00 AM,0,0,2,0,5134,1208
107513403,1,2,46,4101,107,4102,6,0,2,1,6:00:00 PM,6:30:00 PM,6:15:00 PM,12:30:00 AM,0,0,4,0,1233,5134
107513403,1,1,107,4102,46,4101,1,0,2,1,7:05:00 AM,7:40:00 AM,7:23:00 AM,12:35:00 AM,0,0,1,1,5134,1233
107513402,2,4,46,4101,107,4102,6,2,3,2,6:00:00 PM,6:40:00 PM,6:20:00 PM,12:40:00 AM,3,3,4,0,1208,5134
107513402,2,3,107,4102,46,4101,10,2,3,2,3:30:00 PM,4:00:00 PM,3:45:00 PM,12:30:00 AM,0,0,2,0,5134,1208
107513402,2,2,107,4102,107,4102,6,2,7,5,9:00:00 AM,9:15:00 AM,9:08:00 AM,12:15:00 AM,4,10,2,0,5129,5134
