IDComuna,Comuna,IDZonaManzana,Descripción
-1,Sin información,,
0,Otra Comuna,0,Comuna Externa
1,Temuco,0,Comuna Externa
2,Padre Las Casas,0,Comuna Externa
3,Angol,92000,Comuna Externa
4,Carahue,94000,Comuna Externa
5,Cholchol,93000,Comuna Externa
6,Collipulli,92000,Comuna Externa
7,Cunco,96000,Comuna Externa
8,Curacautín,97000,Comuna Externa
9,Curarrehue,96000,Comuna Externa
10,Ercilla,92000,Comuna Externa
11,Freire,95000,Comuna Externa
12,Galvarino,92000,Comuna Externa
13,Gorbea,95000,Comuna Externa
14,Lautaro,92000,Comuna Externa
15,Loncoche,95000,Comuna Externa
16,Lonquimay,97000,Comuna Externa
17,Los Sauces,92000,Comuna Externa
18,Lumaco,92000,Comuna Externa
19,Melipeuco,96000,Comuna Externa
20,Nueva Imperial,94000,Comuna Externa
21,Perquenco,92000,Comuna Externa
22,Pitrufquén,95000,Comuna Externa
23,Pucón,96000,Comuna Externa
24,Purén,92000,Comuna Externa
25,Renaico,92000,Comuna Externa
26,Saavedra,94000,Comuna Externa
27,Teodoro Schmidt,95000,Comuna Externa
28,Toltén,95000,Comuna Externa
29,Traiguén,92000,Comuna Externa
30,Victoria,92000,Comuna Externa
31,Vilcún,97000,Comuna Externa
32,Villarrica,96000,Comuna Externa
