IDFolio,Ingreso,Estrato,EstratoAgregado,Imputados
1003003,360000.0,2_MEDIO,2_MEDIO,0
1003007,1250000.0,3_ALTO,3_ALTO,0
1003014,3150000.0,3_ALTO,3_ALTO,1
1003019,750000.0,2_MEDIO,2_MEDIO,0
1003020,2025000.0,3_ALTO,3_ALTO,1
1009901,375000.0,2_MEDIO,2_MEDIO,0
2007042,720000.0,2_MEDIO,2_MEDIO,1
2007053,160000.0,1_BAJO,1_BAJO,0
2007102,990000.0,2_MEDIO,2_MEDIO,1
2007133,1100000.0,3_ALTO,3_ALTO,0
2007140,760000.0,2_MEDIO,2_MEDIO,1
2007902,410000.0,2_MEDIO,2_MEDIO,0
2007903,800000.0,2_MEDIO,2_MEDIO,0
2008011,1700000.0,3_ALTO,3_ALTO,0
2008043,720000.0,2_MEDIO,2_MEDIO,1
2008057,800000.0,2_MEDIO,2_MEDIO,1
2008062,800000.0,2_MEDIO,2_MEDIO,1
2008072,375000.0,2_MEDIO,2_MEDIO,0
2008901,550000.0,2_MEDIO,2_MEDIO,0
2008902,450000.0,2_MEDIO,2_MEDIO,0
2009002,300000.0,1_BAJO,1_BAJO,1
2009003,300000.0,1_BAJO,1_BAJO,0
2009007,925000.0,2_MEDIO,2_MEDIO,0
2009010,160000.0,1_BAJO,1_BAJO,0
2009013,600000.0,2_MEDIO,2_MEDIO,1
2011011,1250000.0,3_ALTO,3_ALTO,0
2011012,500000.0,2_MEDIO,2_MEDIO,0
2011014,340000.0,1_BAJO,1_BAJO,0
2011016,800000.0,2_MEDIO,2_MEDIO,1
2011017,250000.0,1_BAJO,1_BAJO,0
2011901,210000.0,1_BAJO,1_BAJO,1
3011007,485000.0,2_MEDIO,2_MEDIO,0
3011014,2115000.0,3_ALTO,3_ALTO,0
3011038,1075000.0,3_ALTO,3_ALTO,0
3011900,325000.0,1_BAJO,1_BAJO,0
3011901,1250000.0,3_ALTO,3_ALTO,0
3011902,1000000.0,2_MEDIO,2_MEDIO,0
3011903,1000000.0,2_MEDIO,2_MEDIO,0
3011904,1250000.0,3_ALTO,3_ALTO,0
3011905,1000000.0,2_MEDIO,2_MEDIO,0
3011906,450000.0,2_MEDIO,2_MEDIO,0
3011907,925000.0,2_MEDIO,2_MEDIO,0
3011908,700000.0,2_MEDIO,2_MEDIO,0
4005001,800000.0,2_MEDIO,2_MEDIO,0
4005004,465000.0,2_MEDIO,2_MEDIO,0
4005006,1250000.0,3_ALTO,3_ALTO,0
4005007,625000.0,2_MEDIO,2_MEDIO,0
4006008,1000000.0,2_MEDIO,2_MEDIO,0
4006009,375000.0,2_MEDIO,2_MEDIO,0
4006010,700000.0,2_MEDIO,2_MEDIO,0
4006011,700000.0,2_MEDIO,2_MEDIO,0
4006908,1325000.0,3_ALTO,3_ALTO,0
4009001,1200001.0,3_ALTO,3_ALTO,0
4009013,610000.0,2_MEDIO,2_MEDIO,0
4009015,1090000.0,3_ALTO,3_ALTO,0
4013900,410000.0,2_MEDIO,2_MEDIO,0
5003003,1150000.0,3_ALTO,3_ALTO,0
5003004,1215000.0,3_ALTO,3_ALTO,0
5003005,90000.0,1_BAJO,1_BAJO,0
5004001,250000.0,1_BAJO,1_BAJO,0
5004002,570000.0,2_MEDIO,2_MEDIO,0
5004003,700000.0,2_MEDIO,2_MEDIO,0
5010001,520000.0,2_MEDIO,2_MEDIO,0
5010003,160000.0,1_BAJO,1_BAJO,0
5010006,825000.0,2_MEDIO,2_MEDIO,0
5010008,800000.0,2_MEDIO,2_MEDIO,1
5010011,1200001.0,3_ALTO,3_ALTO,0
5010016,1125000.0,3_ALTO,3_ALTO,1
5011017,550000.0,2_MEDIO,2_MEDIO,0
5011028,160000.0,1_BAJO,1_BAJO,0
5011057,2450001.0,3_ALTO,3_ALTO,0
5011061,1200001.0,3_ALTO,3_ALTO,0
5011162,550000.0,2_MEDIO,2_MEDIO,0
5011900,2200001.0,3_ALTO,3_ALTO,0
5011901,2250000.0,3_ALTO,3_ALTO,0
5012006,575000.0,2_MEDIO,2_MEDIO,0
5012010,160000.0,1_BAJO,1_BAJO,0
5018037,1000000.0,2_MEDIO,2_MEDIO,0
5018900,1200001.0,3_ALTO,3_ALTO,0
5018901,2000000.0,3_ALTO,3_ALTO,0
5018902,1700000.0,3_ALTO,3_ALTO,0
5018903,1200001.0,3_ALTO,3_ALTO,0
5022004,250000.0,1_BAJO,1_BAJO,0
5022046,550000.0,2_MEDIO,2_MEDIO,0
5022100,700000.0,2_MEDIO,2_MEDIO,0
5022101,825000.0,2_MEDIO,2_MEDIO,0
5029014,720000.0,2_MEDIO,2_MEDIO,0
5029065,1150000.0,3_ALTO,3_ALTO,0
5029089,875000.0,2_MEDIO,2_MEDIO,0
5029123,410000.0,2_MEDIO,2_MEDIO,0
5029137,535000.0,2_MEDIO,2_MEDIO,0
5030003,160000.0,1_BAJO,1_BAJO,0
5030004,210000.0,1_BAJO,1_BAJO,0
5030005,715000.0,2_MEDIO,2_MEDIO,0
5030008,1800000.0,3_ALTO,3_ALTO,0
5030018,370000.0,2_MEDIO,2_MEDIO,0
6003001,720000.0,2_MEDIO,2_MEDIO,1
6003004,220000.0,1_BAJO,1_BAJO,0
6003005,4500000.0,3_ALTO,3_ALTO,0
6003007,590000.0,2_MEDIO,2_MEDIO,0
6003011,325000.0,1_BAJO,1_BAJO,0
6003013,325000.0,1_BAJO,1_BAJO,0
6003015,520000.0,2_MEDIO,2_MEDIO,1
6018016,450000.0,2_MEDIO,2_MEDIO,0
6018022,700000.0,2_MEDIO,2_MEDIO,0
6018024,375000.0,2_MEDIO,2_MEDIO,0
6018029,250000.0,1_BAJO,1_BAJO,0
6018030,325000.0,1_BAJO,1_BAJO,0
7002009,320000.0,1_BAJO,1_BAJO,0
7002014,375000.0,2_MEDIO,2_MEDIO,0
7002016,720000.0,2_MEDIO,2_MEDIO,0
