idMarca,marcaVehiculo
-1,Sin Información
1,Abat
2,Acadian
3,Acura
4,Adventure
5,Africa
6,Agrale
7,Agromaq
8,Agusta
9,AJS
10,Alba Motors
11,Alfa Romeo
12,AMC
13,American Motors
14,Aprilia
15,Aqualine
16,Aro
17,Asia
18,Aston Martin
19,ATV
20,Audi
21,Aupa
22,Austin
23,Automoto
24,Autorrad
25,Bajaj
26,Baldan
27,Baolat
28,Baotion
29,Bashan
30,Bayliner
31,Belav - Tomav
32,Benelli
33,Benyi
34,Benzhou
35,Bertone
36,Bimota
37,BMW
38,Bobcat
39,Bohemia
40,Bombardier
41,Borgward
42,Bortex
43,Breuer
44,Brilliant
45,Brillon
46,Bros
47,BRP CAN-AM
48,BSA
49,Buell
50,Buggy
51,Buick
52,Busscar
53,BYD
54,Caburga
55,Cadillac
56,Cagina
57,Cagiva
58,Caky
59,Can-Am
60,Canoa
61,Case
62,Caterpillar
63,CF Moto
64,CGB Trailer
65,Chandler
66,Changan
67,Changjeng
68,Cherokee
69,Chery
70,Chevrolet
71,Chituma
72,Chrysler
73,Cima
74,Citroën
75,Coleman
76,Coloso
77,Compair
78,Cross
79,Custom
80,Dadyw
81,Daelim
82,Daewoo
83,Daf
84,Daihatsu
85,Datsun
86,Dax
87,Dayun
88,Demag
89,Deutz-Fahr
90,DFM
91,Dimex
92,Divermaq
93,DKW
94,Dodge
95,Dongfeng
96,Ducar
97,Ducati
98,Eagle
99,Ecoline
100,Elho
101,Escape
102,Estuder
103,Euromot
104,Exel
105,Fada
106,Falc
107,Fayser
108,Ferrari
109,Fiat
110,Fiatallis
111,Fibermold
112,Fina
113,Firemax
114,Fisher Sportscars
115,Fleewood
116,FMA
117,Ford
118,Forson
119,Foton
120,Free Way
121,Freightliner
122,Fruehauf
123,Fullcar
124,Futong
125,Galion
126,Gama
127,Gardella
128,Garelli
129,Gas Gas
130,Geely
131,Geo
132,Gilera
133,Glastrom
134,GMC
135,Goldini
136,Goren
137,Great Wall
138,Greenmaster
139,Gribaldi & Salvia
140,Grimme
141,Grove
142,Grua
143,Guzzi
144,Hafei
145,Haima
146,Hardi
147,Harford
148,Harley Davidson
149,Hechizo
150,Heli
151,Hensim
152,Hero Puch
153,Hino
154,Hitachi
155,Honda
156,Honex
157,Huatai
158,Hudson
159,Hummer
160,Hunter
161,Husaber
162,Husqvarna
163,Hyosung
164,Hyster
165,Hyundai
166,Ika
167,Indusa
168,Infiniti
169,Ingersoll Rand
170,International
171,Invermoto
172,Isuzu
173,Iveco
174,Ivesa
175,JAC Motors
176,Jacto
177,Jaguar
178,Jan
179,Jayco
180,JCB
181,Jeep
182,JF
183,Jialing
184,Jianshe
185,Jiapeng
186,Jinbei
187,Jincheng
188,JMC
189,John Deere
190,Jonway
191,Kamaz
192,Kawasaki
193,Kayak
194,Keeway
195,Kenworth
196,Kia
197,Kia Motors
198,Kingyard
199,Kinlon
200,Kinroad
201,Knigth
202,Kobelco
203,Komatsu
204,KTM
205,Kuhn
206,Kymco
207,Lada
208,Lamborghini
209,Lambretta
210,Lancia
211,Land Mark
212,Land Rover
213,Landini
214,Laverda
215,Lely
216,Lemken
217,Lexus
218,Leyland
219,Lifan
220,Lihhai
221,Lincoln
222,Litostrog
223,Loncin
224,Longstar
225,Lotus
226,Luojia
227,Machile
228,Mack
229,Magrinsa
230,Mahindra
231,Maico
232,MainMotor
233,Man
234,Manac
235,Marchesan
236,Marcopolo
237,Mariner
238,Maserati
239,Massey ferguson
240,Mayov
241,Mazda
242,Mercedes Benz
243,Mercruiser
244,Mercury
245,MG
246,Michigan
247,Mini Cooper
248,Mits
249,Mitsubishi
250,Monosem
251,Monster
252,Montenegro
253,Morbidelli
254,Morris
255,Moskito
256,Moto ABC
257,Motobi
258,Motoguzzi
259,Motorhome
260,Motorrad
261,Moto-Vitale
262,Movil
263,MSK
264,Mussre
265,MV Agusta
266,Nautic
267,New Holland
268,Nissan
269,Nobel
270,Nux
271,Oayun
272,Oldsmobile
273,Opel
274,Orion
275,Ovlac
276,Packard
277,Pegaso
278,Peugeot
279,Piaggio
280,Pionner
281,Plymouth
282,Polaris
283,Pontiac
284,Porsche
285,Poseidon
286,Powerscreen
287,Predictor
288,Prelude
289,Proton
290,Prott
291,Pumar
292,PZ
293,Quingri
294,Quingui
295,Randon
296,Range Rover
297,Ranger
298,Rauch
299,Rautop
300,Regal Raptor
301,Renault
302,Rexton
303,Rhino
304,Rino
305,Rizato
306,Robot
307,Rolls-Royce
308,Rondini
