IDFolio,IDPersona,IDViaje,IDEtapa,CuadraCaminadasAntes,MinutosCaminadosAntes,ZonaDestino,ComunaDestino,IDModoEtapa,IDViajaEnAutoComo,IDVehiculoDelHogar,IDVehiculoTransporte,UsaBicicleta,IDCategoriaVehiculo,IDTipoEstacionamiento,IDLugarDondeSeBajo,IDServiciosBus,ServicioBusOtro,TiempoEsperaBus,IDTipoTarifa,TarifaBus,IDServiciosTxc,TiempoEsperaTxc,TarifaTxc,TiempoEsperaTaxi,ValorTaxiBajadaBandera,ValorTaxi200metros,TarifaTaxi,IDEstacionSubioMetrotren,TarifaMetrotren,IDTipoBoletoMetrotren,IDEstacionBajoMetrotren,CuadraCaminadasDespues,MinutosCaminadosDespues
1003003,1,1,1,4,10,0,1,3,0,0,0,0,0,0,0,1,INTERCOMUNAL JAC    ,12,2,2300,0,0,0,0,0,0,0,-1,-1,-1,-1,6,15
1003003,1,2,1,6,18,28011,1,3,0,0,0,0,0,0,0,1,INTERCOMUNAL JAC    ,10,2,2300,0,0,0,0,0,0,0,-1,-1,-1,-1,4,10
1003003,2,1,1,6,15,3017,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003003,2,2,1,6,15,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003003,4,1,1,2,5,41019,1,3,0,0,0,0,0,0,0,21,null                ,5,2,400,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003003,4,2,1,0,0,3005,1,3,0,0,0,0,0,0,0,21,null                ,5,2,400,0,0,0,0,0,0,0,-1,-1,-1,-1,2,5
1003007,1,1,1,9,30,3002,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,1,2,1,9,15,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,1,3,1,6,20,2016,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,1,4,1,6,20,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,1,5,1,4,10,3005,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,1,6,1,4,10,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,2,1,1,3,5,3003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,2,2,1,3,5,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,2,3,1,4,20,3005,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003007,2,4,1,4,10,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,1,1,1,0,0,40012,1,2,1,1,0,0,1,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,1,2,1,0,0,1003,1,2,1,1,0,0,1,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,1,3,1,0,0,48057,1,2,1,1,0,0,1,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,1,4,1,0,0,1003,1,2,1,1,0,0,1,3,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,2,1,1,5,20,3003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,2,2,1,6,25,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,2,3,1,4,10,3026,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,2,4,1,4,10,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,2,5,1,17,25,55017,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003014,2,6,1,17,30,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003019,2,1,1,0,0,40047,1,2,1,1,0,0,1,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003019,2,2,1,3,5,40012,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003019,2,3,1,3,8,3007,1,2,1,1,0,0,1,3,3,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,2,5
1003019,2,4,1,2,5,1003,1,2,1,1,0,0,1,3,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003019,2,5,1,0,0,55009,1,2,1,1,0,0,1,4,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003019,2,6,1,0,0,1003,1,2,1,1,0,0,1,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,1,1,1,6,13,3007,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,1,2,1,6,15,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,1,3,1,8,10,1018,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,1,4,1,8,20,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,2,1,1,6,13,3007,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,2,2,1,6,15,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003020,2,3,1,8,10,1018,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
