IDFolio,IDPersona,IDViaje,IDEtapa,IDVehiculoTransporte,IDModoEtapa,IDVehiculoDelHogar
2008902,1,1,1,179,2,0
2008902,1,2,1,179,2,0
2008902,1,5,1,179,2,0
2008902,1,6,1,179,2,0
2008902,1,7,1,179,2,0
4009013,1,4,1,121,2,0
4009013,1,5,1,121,2,0
4009013,2,3,1,121,2,0
4009013,2,4,1,121,2,0
4009013,3,1,1,121,2,0
4009013,3,2,1,121,2,0
4009013,4,4,1,121,2,0
4009013,4,5,1,121,2,0
4009013,6,1,1,121,2,0
4009013,6,2,1,121,2,0
5004003,1,1,1,128,2,0
5004003,1,2,1,128,2,0
5004003,2,1,1,128,2,0
5004003,2,2,1,128,2,0
5004003,2,3,1,128,2,0
5004003,2,4,1,128,2,0
5004003,2,5,1,128,2,0
5004003,2,6,1,128,2,0
5011057,1,5,1,295,2,0
5011057,1,6,1,295,2,0
5011061,1,1,1,297,2,0
5011061,1,4,1,297,2,0
5011061,1,5,1,297,2,0
5018037,1,1,1,334,2,0
5018037,1,2,1,334,2,0
5018037,1,3,1,334,2,0
5018900,1,1,1,335,2,0
5018900,1,2,1,335,2,0
5018900,1,3,1,335,2,0
5018900,1,4,1,335,2,0
5018900,2,1,1,335,2,0
5018900,2,2,1,335,2,0
5018900,3,1,1,335,2,0
5018900,3,4,1,335,2,0
5018901,1,3,1,333,2,0
5018901,1,4,1,333,2,0
5022046,1,1,1,121,2,0
5022046,1,2,1,121,2,0
5022046,1,3,1,121,2,0
5022046,1,4,1,121,2,0
5029065,1,1,1,126,2,0
5029065,1,2,1,126,2,0
5029065,1,3,1,126,2,0
5029065,1,4,1,126,2,0
5029065,1,5,1,126,2,0
5029065,1,6,1,126,2,0
5029065,1,7,1,126,2,0
5029065,2,2,1,126,2,0
5029065,3,1,1,126,2,0
5029065,3,2,1,126,2,0
5029089,1,1,1,127,2,0
5029089,1,2,1,127,2,0
5029089,1,3,1,127,2,0
5029089,1,4,1,127,2,0
5029089,1,5,1,127,2,0
5029089,1,6,1,127,2,0
5029089,2,5,1,127,2,0
5029089,2,6,1,127,2,0
5029089,3,2,1,127,2,0
5030005,2,1,1,125,2,0
5030005,2,2,1,125,2,0
5030005,3,1,1,125,2,0
5030005,3,2,1,125,2,0
5030008,3,7,1,121,2,0
7002014,1,1,1,218,2,0
7002014,1,2,1,218,2,0
7002026,1,2,1,149,2,0
7002026,1,3,1,149,2,0
7002026,1,4,1,149,2,0
7002026,1,5,1,149,2,0
7002026,1,6,1,149,2,0
7002026,2,1,1,150,2,0
7002026,2,2,1,150,2,0
7002026,2,3,1,150,2,0
7002026,2,4,1,150,2,0
7019004,1,1,1,137,2,0
7019004,1,2,1,137,2,0
7019004,2,1,1,136,2,0
7019004,2,2,1,136,2,0
7019004,3,1,1,136,2,0
7019004,3,2,1,136,2,0
7019009,1,1,1,135,2,0
7019009,1,2,1,135,2,0
7019009,2,1,1,134,2,0
7019009,2,2,1,134,2,0
7019009,2,3,1,134,2,0
7019021,1,1,1,142,2,0
7019021,1,2,1,142,2,0
7019021,1,3,1,142,2,0
7019021,1,4,1,142,2,0
7019021,1,5,1,142,2,0
7019021,1,6,1,142,2,0
7019021,2,1,1,141,2,0
7019021,2,2,1,141,2,0
7019021,2,3,1,141,2,0
7019021,2,4,1,141,2,0
7019021,2,5,1,141,2,0
7019028,1,1,1,143,2,0
7019028,1,2,1,143,2,0
7019028,1,3,1,143,2,0
7019900,1,1,1,139,2,0
7019900,1,2,1,139,2,0
7019900,2,1,1,138,2,0
7019900,2,2,1,138,2,0
7019900,2,3,1,138,2,0
7019900,2,4,1,138,2,0
7019900,2,5,1,138,2,0
7019900,4,1,1,138,2,0
7025003,1,1,1,148,2,0
7025003,1,2,1,148,2,0
7025003,3,3,1,148,2,0
7025012,2,1,1,147,2,0
7025012,2,2,1,147,2,0
7025012,2,3,1,147,2,0
7025012,2,4,1,147,2,0
7025012,4,1,1,144,2,0
7025012,4,2,1,144,2,0
7033001,1,1,1,184,2,0
7033001,1,2,1,184,2,0
7033001,1,3,1,184,2,0
7033001,1,4,1,184,2,0
7033001,1,5,1,184,2,0
7033001,2,1,1,184,2,0
7039005,1,1,1,224,2,0
7039005,1,2,1,224,2,0
7039005,2,1,1,225,2,0
7039005,2,2,1,225,2,0
7039007,1,1,1,223,2,0
7039007,1,2,1,223,2,0
7039007,1,3,1,223,2,0
7039007,1,4,1,223,2,0
7040003,3,1,1,173,2,0
7040003,3,2,1,173,2,0
7040003,3,3,1,173,2,0
7040012,1,1,1,175,2,0
7040012,1,2,1,175,2,0
7040012,1,3,1,175,2,0
7040012,3,1,1,175,2,0
7040012,4,1,1,175,2,0
7040014,1,1,1,176,2,0
7040014,1,2,1,176,2,0
7045009,1,1,1,171,2,0
7045009,1,2,1,171,2,0
7045009,1,3,1,171,2,0
7045009,1,4,1,171,2,0
7045009,2,1,1,171,2,0
7045009,2,2,1,171,2,0
7045015,2,1,1,172,2,0
7045015,2,2,1,172,2,0
7045015,2,3,1,172,2,0
7045015,2,4,1,172,2,0
7045015,4,1,1,172,2,0
7045015,4,2,1,172,2,0
7053001,1,1,1,178,2,0
7053001,1,2,1,178,2,0
7053001,1,3,1,178,2,0
7053001,1,4,1,178,2,0
7053001,2,1,1,178,2,0
7053001,2,2,1,178,2,0
7053001,2,3,1,178,2,0
7053001,2,4,1,178,2,0
7053002,1,1,1,179,2,0
7053002,1,2,1,179,2,0
7053002,1,3,1,179,2,0
7053002,2,1,1,179,2,0
7053002,2,2,1,179,2,0
7053002,3,1,1,180,2,0
7053002,3,2,1,180,2,0
7053002,3,3,1,180,2,0
7053002,3,4,1,180,2,0
7053002,3,5,1,180,2,0
7053002,3,6,1,180,2,0
