IDFolio,ZonaEOD,IDMacrozona,TipoEncuesta,NumeroVehiculos,NumeroBicicletas,NumeroPersonas,NumPersonaViaja,NumPersonaNoViaja,NumeroViajes,NumeroEtapas,DiaEncuestaHogar,NumeroBicicletaAdulto,NumeroBicicletaNigno,Tamaño,Factor
1003003,1,1,1,0,0,4,3,1,6,6,4,0,0,4,50.16666666666666
1003007,1,1,1,2,1,2,2,0,10,10,3,1,0,2,50.16666666666666
1003014,1,1,1,2,0,2,2,0,10,10,3,0,0,2,50.16666666666666
1003019,1,1,1,1,0,2,1,1,6,6,4,0,0,2,50.16666666666666
1003020,1,1,1,1,0,2,2,0,8,8,5,0,0,2,50.16666666666666
1009901,1,1,1,0,3,1,1,0,2,2,3,2,1,1,50.16666666666666
2007042,2,1,1,0,0,1,1,0,4,4,5,0,0,1,19.58073473173952
2007053,2,1,1,0,0,1,1,0,4,4,2,0,0,1,19.58073473173952
2007102,2,1,1,0,0,2,2,0,10,10,2,0,0,2,19.58073473173952
2007133,2,1,1,0,1,2,2,0,4,5,5,1,0,2,19.58073473173952
2007140,2,1,1,0,1,1,1,0,2,2,5,1,0,1,19.58073473173952
2007902,2,1,1,0,0,3,0,3,0,0,2,0,0,3,19.58073473173952
2007903,2,1,1,0,0,3,2,1,8,8,2,0,0,3,19.58073473173952
2008011,2,1,1,1,0,2,2,0,6,6,4,0,0,2,19.58073473173952
2008043,2,1,1,0,0,2,2,0,8,8,4,0,0,2,19.58073473173952
2008057,2,1,1,0,0,3,1,2,6,6,3,0,0,3,19.58073473173952
2008062,2,1,1,0,0,2,2,0,8,8,4,0,0,2,19.58073473173952
2008072,2,1,1,1,1,3,3,0,18,18,3,1,0,3,19.58073473173952
2008901,2,1,1,0,0,3,3,0,9,9,2,0,0,3,19.58073473173952
2008902,2,1,1,1,0,1,1,0,8,8,2,0,0,1,19.58073473173952
2009002,2,1,1,0,1,1,0,1,0,0,2,0,1,1,19.58073473173952
2009003,2,1,1,0,0,2,1,1,4,4,2,0,0,2,19.58073473173952
2009007,2,1,1,1,4,5,5,0,14,14,1,2,2,5,19.58073473173952
2009010,2,1,1,0,0,1,0,1,0,0,1,0,0,1,19.58073473173952
2009013,2,1,1,0,1,2,2,0,5,5,1,1,0,2,19.58073473173952
2011011,2,1,1,0,1,3,3,0,12,12,3,1,0,3,19.58073473173952
2011012,2,1,1,0,0,2,2,0,9,9,1,0,0,2,19.58073473173952
2011014,2,1,1,0,0,2,2,0,7,7,1,0,0,2,19.58073473173952
2011016,2,1,1,0,0,2,2,0,9,10,1,0,0,2,19.58073473173952
2011017,2,1,1,0,0,1,1,0,5,5,2,0,0,1,19.58073473173952
2011901,2,1,1,0,0,1,1,0,4,4,2,0,0,1,19.58073473173952
3011007,3,1,1,0,0,2,0,2,0,0,4,0,0,2,39.19971308600197
3011014,3,1,1,0,0,1,1,0,2,2,3,0,0,1,39.19971308600197
3011038,3,1,1,0,0,2,2,0,8,8,3,0,0,2,39.19971308600197
3011900,3,1,1,0,0,2,2,0,8,8,3,0,0,2,39.19971308600197
3011901,3,1,1,0,0,4,3,1,6,6,4,0,0,4,39.19971308600197
3011902,3,1,1,0,0,1,1,0,4,4,3,0,0,1,39.19971308600197
3011903,3,1,1,0,0,6,5,1,10,10,5,0,0,6,39.19971308600197
3011904,3,1,1,0,0,4,4,0,8,8,4,0,0,4,39.19971308600197
3011905,3,1,1,0,0,4,3,1,6,6,4,0,0,4,39.19971308600197
3011906,3,1,1,0,0,1,0,1,0,0,4,0,0,1,39.19971308600197
3011907,3,1,1,0,0,2,2,0,4,4,4,0,0,2,39.19971308600197
3011908,3,1,1,0,0,3,2,1,4,4,1,0,0,3,39.19971308600197
4005001,4,1,1,0,0,2,0,2,0,0,2,0,0,2,21.254628671396933
4005004,4,1,1,1,0,2,2,0,7,7,2,0,0,2,21.254628671396933
4005006,4,1,1,1,0,3,3,0,7,7,2,0,0,3,21.254628671396933
4005007,4,1,1,0,0,2,2,0,13,13,1,0,0,2,21.254628671396933
4006008,4,1,1,0,0,1,1,0,5,5,4,0,0,1,21.254628671396933
4006009,4,1,1,0,0,2,1,1,5,5,1,0,0,2,21.254628671396933
4006010,4,1,1,0,0,1,1,0,2,2,4,0,0,1,21.254628671396933
4006011,4,1,1,0,0,1,1,0,4,4,4,0,0,1,21.254628671396933
4006908,4,1,1,0,0,4,4,0,9,9,5,0,0,4,21.254628671396933
4009001,4,1,1,1,3,3,3,0,14,14,3,3,0,3,21.254628671396933
4009013,4,1,1,2,1,6,6,0,20,20,4,1,0,6,21.254628671396933
4009015,4,1,1,1,0,3,0,3,0,0,4,0,0,3,21.254628671396933
4013900,4,1,1,1,0,4,2,2,8,8,3,0,0,4,21.254628671396933
5003003,5,1,1,1,3,6,6,0,19,19,3,2,1,6,35.92510290747619
5003004,5,1,1,1,0,6,6,0,23,23,2,0,0,6,35.92510290747619
