IDFolio,PropiedadVivienda,PagaDividendo,EstimacionArriendo,PagaArriendo,TiempoViviendoAgnos,TiempoViviendoMeses,SiempreViviendo,TipoViviendaAntes,TipoViviendaOtro,ComunaViviendaAntes,Internet,TvCable,TipoViviendaActual,NumPisosEdificio,NumDeptoPorPisos,NumCasasCondominio,OtraComuna
1003003,1,0,0,0,12,0,0,2,-1,1,3,2,2,0,0,0,null                
1003007,1,0,700000,0,23,0,0,2,-1,1,3,2,1,12,2,0,null                
1003014,1,0,700000,0,13,0,0,1,-1,1,3,2,1,11,2,0,null                
1003019,1,0,400000,0,4,0,0,2,-1,1,3,2,1,12,2,0,null                
1003020,1,0,0,0,20,0,0,2,-1,14,1,2,1,12,2,0,null                
1009901,1,179000,0,0,3,0,0,2,-1,1,3,2,2,0,0,0,null                
2007042,2,0,0,180000,2,0,0,1,-1,1,5,1,1,4,4,0,null                
2007053,2,0,0,0,2,0,0,1,-1,0,3,1,1,4,4,0,SANTIAGO            
2007102,2,0,0,220000,0,1,0,1,-1,1,5,1,1,4,4,0,null                
2007133,2,0,0,200000,6,0,0,2,-1,0,3,2,1,4,4,0,los angeles         
2007140,2,0,0,190000,2,0,0,1,-1,1,3,1,1,4,4,0,null                
2007902,4,0,150000,0,29,0,0,1,-1,0,3,2,1,4,4,0,SANTIAGO            
2007903,2,0,0,200000,2,0,0,1,-1,1,3,2,1,4,4,0,null                
2008011,2,0,0,180000,17,0,0,2,-1,1,3,2,1,21,6,0,null                
2008043,2,0,0,180000,0,10,0,2,-1,1,5,1,1,21,6,0,null                
2008057,2,0,0,200000,1,0,0,1,-1,1,3,1,1,21,6,0,null                
2008062,2,0,0,200000,0,2,0,2,-1,1,3,1,1,21,6,0,null                
2008072,2,0,0,190000,1,0,0,1,-1,1,3,1,1,21,6,0,null                
2008901,2,0,0,170000,3,0,0,2,-1,32,5,1,1,21,6,0,null                
2008902,1,0,190000,0,24,0,0,2,-1,11,3,2,1,21,6,0,null                
2009002,1,0,0,0,45,0,0,2,-1,1,1,1,2,0,0,0,null                
2009003,1,0,100000,0,40,0,0,2,-1,1,3,1,2,0,0,0,null                
2009007,1,0,350000,0,15,0,0,2,-1,1,3,2,2,0,0,0,null                
2009010,4,0,70000,0,10,0,0,2,-1,1,1,1,2,0,0,0,null                
2009013,1,0,150000,0,48,0,0,2,-1,1,3,2,2,0,0,0,null                
