IDFolio,IDpersona,IDLicenciaConducir,IDTipoLicenciaConducir
1003003,1,2,0
1003003,2,2,0
1003003,3,2,0
1003003,4,2,0
1003007,1,1,6
1003007,2,1,6
1003014,1,1,6
1003014,2,2,0
1003019,1,1,6
1003019,2,1,6
1003020,1,1,6
1003020,2,2,0
1009901,1,1,6
2007042,1,2,0
2007053,1,1,6
2007102,1,2,0
2007102,2,2,0
2007133,1,1,6
2007133,2,2,0
2007140,1,1,6
2007902,1,1,6
2007902,2,1,6
2007902,3,2,0
2007903,1,2,0
2007903,2,1,6
2007903,3,2,0
2008011,1,1,1
2008011,2,1,6
2008043,1,2,0
2008043,2,1,6
2008057,1,1,6
2008057,2,2,0
2008057,3,2,0
2008062,1,2,0
2008062,2,2,0
2008072,1,1,6
2008072,2,2,0
2008072,3,2,0
2008901,1,2,0
2008901,2,2,0
2008901,3,2,0
2008902,1,1,6
2009002,1,2,0
2009003,1,2,0
2009003,2,2,0
2009007,1,1,6
2009007,2,1,6
2009007,3,2,0
2009007,4,2,0
2009007,5,2,0
2009010,1,2,0
2009013,1,2,0
2009013,2,2,0
2011011,1,1,6
2011011,2,2,0
2011011,3,1,6
2011012,1,1,6
2011012,2,2,0
2011014,1,1,6
2011014,2,2,0
2011016,1,2,0
2011016,2,1,6
2011017,1,2,0
2011901,1,2,0
3011007,1,2,0
3011007,2,2,0
3011014,1,2,0
3011038,1,1,6
3011038,2,1,6
3011900,1,2,0
3011900,2,2,0
3011901,1,2,0
3011901,2,2,0
3011901,3,2,0
3011901,4,2,0
3011902,1,2,0
3011903,1,1,6
3011903,2,2,0
3011903,3,2,0
3011903,4,2,0
3011903,5,2,0
3011903,6,2,0
3011904,1,2,0
3011904,2,2,0
3011904,3,2,0
3011904,4,2,0
3011905,1,2,0
3011905,2,2,0
3011905,3,2,0
3011905,4,2,0
3011906,1,2,0
3011907,1,2,0
3011907,2,2,0
3011908,1,2,0
3011908,2,2,0
3011908,3,2,0
4005001,1,2,0
4005001,2,2,0
4005004,1,1,6
4005004,2,2,0
4005006,1,1,6
4005006,2,2,0
4005006,3,1,6
4005007,1,2,0
4005007,2,2,0
4006008,1,1,6
4006009,1,1,6
4006009,2,2,0
4006010,1,2,0
4006011,1,2,0
4006908,1,1,6
4006908,2,2,0
4006908,3,2,0
4006908,4,2,0
4009001,1,1,6
4009001,2,2,0
4009001,3,1,6
4009013,1,1,6
4009013,2,2,0
4009013,3,2,0
4009013,4,2,0
4009013,5,1,6
4009013,6,2,0
4009015,1,1,6
4009015,2,1,6
4009015,3,1,6
4013900,1,1,2
4013900,2,2,0
4013900,3,2,0
4013900,4,1,6
5003003,1,1,6
