IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,trabajaEnCasa,frecuenciaTrabajoCasaId,IDJornadaTrabajo,IngresoLiquido,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor,noviaja,ademasTrabaja,ademasEstudia
2008062,1,1994,1,0,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,19.58073473173952,0,0,0
2008062,2,1993,1,4,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,19.58073473173952,0,0,0
2008072,1,1981,1,0,6,0,0,3,0,0,3,375000,1,Sin Observación,1,6,19.58073473173952,0,0,0
2008072,2,1986,2,1,6,6,0,14,0,0,0,0,0,Sin Observación,1,6,19.58073473173952,0,0,0
2008072,3,2011,1,2,1,0,0,13,0,0,0,0,0,Sin Observación,1,6,19.58073473173952,0,0,0
2008901,1,1963,1,0,7,0,1,4,0,0,1,550000,1,Sin Observación,1,4,19.58073473173952,0,0,0
2008901,2,1989,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,19.58073473173952,0,0,0
2008901,3,1991,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,3,19.58073473173952,0,0,0
2008902,1,1948,2,0,6,0,0,3,1,1,1,450000,1,Sin Observación,1,8,19.58073473173952,0,0,0
2009002,1,1950,2,0,3,0,0,11,0,0,0,0,0,Sin Observación,0,0,19.58073473173952,0,0,0
2009003,1,1945,2,0,4,0,0,9,0,0,0,90000,1,Sin Observación,0,0,19.58073473173952,0,0,0
2009003,2,1976,2,2,4,0,0,12,0,0,0,0,0,Sin Observación,1,4,19.58073473173952,0,0,0
2009007,1,1964,1,0,7,0,1,4,0,0,1,550000,1,Sin Observación,1,4,19.58073473173952,0,0,0
2009007,2,1968,2,1,7,0,1,4,0,0,1,375000,1,Sin Observación,1,2,19.58073473173952,0,0,1
2009007,3,1991,2,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,19.58073473173952,0,0,0
2009007,4,2004,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,19.58073473173952,0,0,0
2009007,5,2002,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,19.58073473173952,0,0,0
2009010,1,1952,1,0,4,0,0,9,0,0,0,160000,1,Sin Observación,0,0,19.58073473173952,0,0,0
2009013,1,1942,2,0,3,0,0,11,0,0,0,0,0,Sin Observación,1,2,19.58073473173952,0,0,0
2009013,2,1988,1,3,6,0,0,12,0,0,0,0,0,Sin Observación,1,3,19.58073473173952,0,0,0
2011011,1,1956,1,0,7,0,1,4,0,0,1,700000,1,Sin Observación,1,4,19.58073473173952,0,0,0
2011011,2,1962,2,1,7,0,1,4,0,0,1,550000,1,Sin Observación,1,6,19.58073473173952,0,0,0
2011011,3,1982,1,2,7,0,1,12,0,0,0,0,0,Sin Observación,1,2,19.58073473173952,0,0,0
2011012,1,1985,1,0,7,0,1,4,0,0,1,250000,1,Sin Observación,1,5,19.58073473173952,0,0,1
2011012,2,1986,2,3,5,0,1,4,0,0,1,250000,1,Sin Observación,1,4,19.58073473173952,0,0,1
2011014,1,1950,1,0,5,0,1,3,0,0,3,250000,1,Sin Observación,1,4,19.58073473173952,0,0,0
2011014,2,1955,2,1,4,0,0,11,0,0,0,90000,1,Sin Observación,1,3,19.58073473173952,0,1,0
2011016,1,1993,2,0,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,19.58073473173952,0,0,0
