IDFolio,IDNumVehiculo,TipoVehiculo,IDMarca,AgnoFabricacion,Cilindrada,TipoMotor,SelloVerde,VehiculoEmpresa,TieneTag,trabajo,Modelo
1003003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
1003007,137,1,166,2010,3800,1,1,2,2,2,veracruz            
1003007,138,1,166,2011,2400,1,1,2,-1,2,sonata              
1003014,135,1,21,2007,2000,1,1,2,2,2,a-4                 
1003014,136,1,352,1989,2000,1,2,2,2,2,impreza             
1003019,139,3,352,2011,0,1,1,2,-1,2,xxxx                
1003020,140,1,243,2005,0,1,1,2,2,2,XXXX                
1009901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2007903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2008011,145,1,367,2010,1300,1,1,2,2,2,yaris               
2008043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2008057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2008062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2008072,144,1,242,1999,2000,1,1,2,2,2,626                 
2008901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2008902,179,1,352,1996,2000,1,1,2,2,-1,LEGACY              
2009002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2009003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2009007,133,1,118,2004,1600,1,1,2,2,2,ECOSPORT            
2009010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2009013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2011011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2011012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2011014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2011016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2011017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2011901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
