IDFolio,IDPersona,IDViaje,Motorizado
34012003,1,1,0
33009014,5,2,0
4009013,6,2,1
5010003,1,4,0
27015024,2,2,0
22026005,1,4,0
18017028,1,7,0
33058024,3,6,0
26027006,1,1,1
35022021,2,1,1
26001012,3,4,0
24018007,2,4,0
68004010,2,1,1
25024002,2,4,1
19012030,2,3,1
20027001,5,2,1
24007021,4,1,0
46029045,1,6,0
5029014,1,1,1
34012003,1,2,0
33009014,5,3,0
4009013,3,1,1
5010003,2,1,1
27015024,2,3,1
22030012,1,1,1
18017028,1,8,0
33058024,3,7,0
26027006,1,2,0
35022021,2,2,1
26001012,3,5,0
24018007,5,1,0
68004010,2,2,1
25024002,3,1,1
19012030,2,4,1
20027001,3,1,0
24007021,4,2,0
46029045,2,1,1
5029014,1,2,1
34012010,1,1,0
34012010,5,5,0
33009014,3,6,1
4006010,1,1,1
5010001,2,2,0
27053021,1,2,1
22030012,2,4,0
18017028,3,2,0
33058018,1,5,0
26027003,1,3,1
35022021,1,1,0
26001025,2,2,1
24018007,1,4,1
68004011,2,1,1
25012007,4,2,1
19012012,3,1,0
20027001,1,3,0
24007002,1,3,1
46029045,2,8,1
5003004,5,3,0
34012010,4,1,1
33009014,4,1,0
4006010,1,2,1
5010001,1,1,1
27053021,1,3,0
22030012,3,1,1
18017026,1,1,0
33058018,3,1,0
26027003,1,4,1
35022021,1,2,0
26001025,3,1,0
24018007,1,5,1
68004011,2,2,1
25012007,5,1,1
19012012,3,2,0
20027001,1,4,0
24007002,1,4,1
46029025,3,1,1
5003004,5,4,0
34012010,4,2,1
33009014,4,2,0
4005006,1,1,1
5010001,1,2,1
27053021,1,4,0
22030012,3,2,0
18017026,1,2,0
33058018,3,2,0
26027003,2,1,1
35022021,1,3,0
26001025,3,2,0
24018007,1,6,1
68004011,4,1,1
25012007,5,2,1
19012012,3,3,0
20027001,2,1,0
24007002,3,1,1
46029025,3,2,1
5003004,3,1,1
34012010,4,3,1
4005006,1,2,1
5010001,3,1,0
27053019,1,1,1
22030012,3,3,1
18017026,1,3,0
33058018,3,3,0
26027003,2,2,1
35022021,1,4,0
26001025,3,3,0
24018007,3,1,1
68004011,4,2,1
25012007,3,1,0
19012012,3,4,0
20027001,2,2,0
24007002,3,2,1
46029025,2,1,0
5003004,3,2,1
34012010,4,4,1
4005006,2,1,0
5010001,3,2,0
27053019,1,2,1
22030012,3,4,0
18017026,1,4,0
33058018,3,4,0
26027003,2,3,1
35022021,1,5,0
26001026,2,1,0
24018007,3,2,1
68024009,2,1,1
25012007,3,2,0
19012012,3,5,0
20027001,2,3,1
24007002,4,1,0
46029025,1,1,1
5003004,3,3,1
34012010,4,5,1
33095004,1,1,0
4005006,2,2,0
5010001,5,1,0
27053019,1,3,0
22030012,3,5,0
18007012,1,1,0
26027003,2,4,1
35024027,1,1,1
26001026,2,2,0
24018007,3,3,1
68024009,2,2,1
25012007,3,3,0
19012012,3,6,0
20027001,2,4,1
24007002,4,2,0
46029025,1,2,1
5003004,3,4,1
34012010,4,6,1
33095004,1,2,0
4005006,2,3,0
5010001,5,2,0
27053019,1,4,0
22030012,4,1,1
18007012,1,2,0
26027003,4,1,1
35024027,1,2,1
26001026,2,3,0
24018007,3,4,1
68024009,2,3,1
25012007,3,4,0
19012012,2,1,1
20027009,5,1,0
24007002,5,1,0
46029025,1,3,1
5003004,6,1,0
34012010,4,7,1
33095004,1,3,1
4005006,2,4,1
5010001,6,1,1
27007005,1,1,0
22030012,4,2,1
18007012,1,3,1
26027003,4,2,1
35024027,2,1,1
26001026,2,4,0
24018007,3,5,1
68024009,2,4,1
25012007,2,1,1
19012012,2,2,1
20027009,5,2,0
24007002,5,2,0
46029025,1,4,1
5003004,6,2,0
34012010,4,8,1
33095004,1,4,0
4005006,3,1,1
5010001,6,2,1
27007005,1,2,0
22030012,4,3,0
18007012,1,4,0
5030008,2,3,1
34009010,1,1,0
33095001,2,2,1
5010016,1,2,0
27032018,1,9,0
18007012,2,3,0
33059002,2,3,1
26027015,2,2,1
35024021,5,1,1
24018004,3,8,0
68024009,5,1,1
25018007,3,4,0
19013037,3,2,1
20013001,2,6,0
24044026,2,5,0
46029056,1,4,0
5030008,2,4,1
34009010,1,2,0
33095001,4,1,1
24059003,6,1,1
27032018,3,1,1
18007012,2,4,0
33059002,2,4,1
26027011,2,1,0
35024021,5,2,1
24018004,3,9,0
68024009,5,2,1
25018007,2,1,1
19013037,4,1,1
20013014,3,1,1
24007018,1,1,1
46029056,1,5,1
5030008,2,5,1
34009010,1,3,0
33095001,4,2,1
24059003,6,2,0
27032018,3,2,1
18007012,2,5,0
33059002,2,5,0
26027011,2,2,0
35024021,1,1,1
24018004,3,10,0
68024009,5,3,1
25018007,2,2,1
19013037,4,2,1
20013014,3,2,1
24007018,1,2,1
46029056,1,6,1
5030008,3,1,1
34009010,1,4,0
33095001,6,1,1
24059003,6,3,0
27032018,2,1,1
18007012,2,6,0
33059002,2,6,1
26027011,2,3,0
35024021,1,2,1
24018004,3,11,0
68024009,5,4,1
