ZONA,IDMACROZONA,Descripcion
1,1.0,Centro
2,1.0,Centro
3,1.0,Centro
4,1.0,Centro
5,1.0,Centro
6,1.0,Centro
7,4.0,Centro poniente
8,4.0,Centro poniente
9,4.0,Centro poniente
10,4.0,Centro poniente
11,4.0,Centro poniente
12,5.0,Sur poniente
13,5.0,Sur poniente
14,5.0,Sur poniente
15,5.0,Sur poniente
16,5.0,Sur poniente
17,5.0,Sur poniente
18,2.0,Oriente
19,2.0,Oriente
20,2.0,Oriente
21,2.0,Oriente
22,2.0,Oriente
23,2.0,Oriente
24,2.0,Oriente
25,2.0,Oriente
26,2.0,Oriente
27,2.0,Oriente
28,1.0,Centro
29,2.0,Oriente
30,2.0,Oriente
31,2.0,Oriente
32,2.0,Oriente
33,3.0,Nor poniente
34,3.0,Nor poniente
35,3.0,Nor poniente
36,3.0,Nor poniente
37,3.0,Nor poniente
38,3.0,Nor poniente
39,4.0,Centro poniente
40,4.0,Centro poniente
41,4.0,Centro poniente
42,5.0,Sur poniente
43,6.0,Sur
44,6.0,Sur
45,6.0,Sur
46,6.0,Sur
47,2.0,Oriente
48,3.0,Nor poniente
49,3.0,Nor poniente
50,4.0,Centro poniente
51,3.0,Nor poniente
52,6.0,Sur
53,6.0,Sur
54,6.0,Sur
55,1.0,Centro
56,4.0,Centro poniente
57,4.0,Centro poniente
58,4.0,Centro poniente
59,4.0,Centro poniente
60,4.0,Centro poniente
61,4.0,Centro poniente
62,2.0,Oriente
63,2.0,Oriente
64,2.0,Oriente
65,2.0,Oriente
66,3.0,Nor poniente
67,5.0,Sur poniente
68,6.0,Sur
69,6.0,Sur
70,6.0,Sur
71,6.0,Sur
72,6.0,Sur
73,6.0,Sur
74,3.0,Nor poniente
75,3.0,Nor poniente
76,6.0,Sur
77,2.0,Oriente
78,7.0,Poniente
79,7.0,Poniente
80,7.0,Poniente
81,7.0,Poniente
82,7.0,Poniente
83,6.0,Sur
84,2.0,Oriente
85,4.0,Centro poniente
86,8.0,Norte
87,8.0,Norte
88,8.0,Norte
89,6.0,Sur
90,1.0,Centro
91,1.0,Centro
92,9.0,Norte de Temuco
93,9.0,Camino a Chol Chol
94,9.0,Camino a Nueva Imperial
95,9.0,Sur de Temuco
96,9.0,Camino a Cunco
97,9.0,Camino a Truf Truf
