IDFolio,PropiedadVivienda,PagaDividendo,EstimacionArriendo,PagaArriendo,TiempoViviendoAgnos,TiempoViviendoMeses,SiempreViviendo,TipoViviendaAntes,TipoViviendaOtro,ComunaViviendaAntes,Internet,TvCable,TipoViviendaActual,NumPisosEdificio,NumDeptoPorPisos,NumCasasCondominio,OtraComuna
1003037,2,0,0,350000,1,5,0,2,-1,1,4,3,1,0,0,0,null                
1003048,1,260000,0,0,7,5,0,2,-1,1,4,3,1,5,15,0,null                
1003077,2,0,0,340000,0,6,0,2,-1,0,2,1,1,6,2,0,puerto montt        
1003103,1,0,360000,0,9,0,0,2,-1,1,4,3,1,5,2,0,null                
2003002,1,0,400000,0,40,0,0,3,-1,0,4,2,2,0,0,0,null                
2003004,1,0,300000,0,28,0,0,3,-1,0,2,2,2,0,0,0,null                
2003006,2,0,0,400000,8,0,0,3,-1,0,3,2,2,0,0,0,null                
2013007,2,0,0,380000,1,0,0,2,-1,1,2,2,2,0,0,0,null                
2013009,1,240000,0,0,3,1,0,1,-1,1,2,3,2,0,0,0,null                
2013013,1,0,300000,0,6,3,0,2,-1,1,2,2,2,0,0,0,null                
2013015,2,0,0,270000,1,6,0,2,-1,1,2,2,2,0,0,0,null                
2013016,1,250000,0,0,7,4,0,1,-1,1,4,3,2,0,0,0,null                
2018015,2,0,0,320000,3,6,0,2,-1,1,5,2,2,0,0,0,null                
2018017,2,0,0,290000,1,6,0,2,-1,1,2,2,2,0,0,0,null                
2018018,1,0,320000,0,19,6,1,-1,-1,-1,3,2,2,0,0,0,null                
2018021,1,0,320000,0,15,4,1,-1,-1,-1,5,2,2,0,0,0,null                
2018028,1,0,300000,0,20,3,0,2,-1,1,5,2,2,0,0,0,null                
2023002,2,0,0,250000,5,3,0,3,-1,0,3,2,2,0,0,0,null                
2023004,1,0,250000,0,20,0,0,3,-1,0,3,2,2,0,0,0,null                
2023007,1,400000,0,0,1,0,0,3,-1,0,4,2,2,0,0,0,null                
2023009,1,380000,0,0,7,6,0,3,-1,0,3,2,2,0,0,0,null                
2023901,2,0,0,400000,1,0,0,3,-1,0,4,2,2,0,0,0,null                
2025002,1,280000,0,0,30,0,0,3,-1,0,4,2,2,0,0,0,null                
2025008,1,215000,0,0,30,0,0,3,-1,0,4,2,2,0,0,0,null                
2025009,1,0,350000,0,33,0,0,3,-1,0,3,3,2,0,0,0,null                
2025901,4,0,300000,0,33,0,0,3,-1,0,4,2,4,0,0,0,null                
2027003,1,230000,0,0,8,6,0,2,-1,1,1,2,2,0,0,0,null                
2027007,1,0,270000,0,26,4,1,-1,-1,-1,4,3,2,0,0,0,null                
2027008,1,0,330000,0,27,1,0,2,-1,1,4,3,2,0,0,0,null                
2027009,2,0,0,270000,3,7,0,2,-1,4,4,2,2,0,0,0,null                
2027901,1,0,300000,0,25,4,1,-1,-1,-1,2,2,2,0,0,0,null                
2030002,1,280000,0,0,3,2,0,2,-1,1,5,2,2,0,0,0,null                
2030010,1,0,400000,0,20,2,1,-1,-1,-1,5,2,2,0,0,0,null                
2030019,1,300000,0,0,10,1,0,2,-1,1,2,2,2,0,0,0,null                
2030020,1,250000,0,0,8,5,0,2,-1,1,5,2,2,0,0,0,null                
2030021,1,0,300000,0,19,2,1,-1,-1,-1,3,2,2,0,0,0,null                
2047002,1,340000,0,0,12,5,0,2,-1,1,4,3,2,0,0,0,null                
2047005,1,0,400000,0,15,4,0,2,-1,1,4,3,2,0,0,0,null                
2047008,1,300000,0,0,9,2,0,2,-1,1,4,3,2,0,0,0,null                
2047902,1,0,350000,0,6,7,0,2,-1,1,4,3,2,0,0,0,null                
3003005,1,0,450000,0,18,0,0,2,-1,0,3,2,2,0,0,0,SANTIAGO            
3003038,1,0,400000,0,10,0,1,-1,-1,-1,3,2,2,0,0,0,null                
3003039,2,0,0,400000,3,6,0,2,-1,0,3,2,2,0,0,0,ALEMANIA            
3003040,1,0,400000,0,23,0,0,2,-1,0,3,2,2,0,0,0,TEMUCO              
3004002,1,0,400000,0,4,0,0,3,-1,0,4,2,2,0,0,0,null                
3004010,1,0,350000,0,7,0,0,3,-1,0,4,1,2,0,0,0,null                
3004013,1,400000,0,0,12,0,0,3,-1,0,3,2,2,0,0,0,null                
3004015,1,0,600000,0,26,0,0,3,-1,0,3,2,2,0,0,0,null                
3005002,1,0,350000,0,12,0,0,3,-1,0,3,1,2,0,0,0,null                
3005007,1,0,350000,0,30,0,0,3,-1,0,4,2,2,0,0,0,null                
3005009,1,0,450000,0,36,10,0,3,-1,0,3,2,2,0,0,0,null                
3005012,4,0,400000,0,5,0,0,3,-1,0,4,2,2,0,0,0,null                
3006001,1,0,300000,0,30,3,1,-1,-1,-1,1,2,2,0,0,0,null                
3006007,1,0,280000,0,7,2,0,2,-1,1,3,2,2,0,0,0,null                
3006010,1,0,300000,0,12,1,1,-1,-1,-1,5,2,2,0,0,0,null                
3006012,1,0,320000,0,40,1,1,-1,-1,-1,3,2,2,0,0,0,null                
4003031,1,0,140000,0,48,2,0,2,-1,1,1,1,2,0,0,0,null                
4003032,1,0,160000,0,70,9,1,-1,-1,-1,1,1,2,0,0,0,null                
4003033,1,0,150000,0,50,4,0,2,-1,1,1,1,2,0,0,0,null                
4003034,1,0,140000,0,45,6,0,2,-1,1,1,1,4,0,0,0,null                
4006006,4,0,130000,0,5,4,0,2,-1,1,2,2,4,0,0,0,null                
4006901,4,0,150000,0,18,9,0,2,-1,1,2,1,2,0,0,0,null                
4006902,4,0,140000,0,21,6,0,2,-1,1,2,2,2,0,0,0,null                
4006903,1,0,140000,0,20,9,0,2,-1,1,1,2,2,0,0,0,null                
4008003,1,0,150000,0,25,0,1,-1,-1,-1,1,2,2,0,0,0,null                
4008005,1,0,130000,0,52,0,1,-1,-1,-1,1,1,2,0,0,0,null                
4008009,1,0,200000,0,54,0,1,-1,-1,-1,1,2,2,0,0,0,null                
4008901,1,0,130000,0,40,0,1,-1,-1,-1,1,2,2,0,0,0,null                
4011019,1,0,100000,0,44,0,1,-1,-1,-1,1,1,2,0,0,0,null                
4011020,1,0,150000,0,40,0,1,-1,-1,-1,4,2,2,0,0,0,null                
4011022,1,0,200000,0,50,0,1,-1,-1,-1,1,1,2,0,0,0,null                
4015003,1,0,200000,0,15,0,1,-1,-1,-1,3,2,2,0,0,0,null                
4015004,1,0,180000,0,50,0,1,-1,-1,-1,4,2,2,0,0,0,null                
4015005,1,0,200000,0,50,0,1,-1,-1,-1,3,2,2,0,0,0,null                
4015008,1,0,170000,0,50,0,1,-1,-1,-1,1,1,2,0,0,0,null                
4015010,1,0,300000,0,17,0,0,2,-1,1,3,2,2,0,0,0,null                
4015011,1,0,190000,0,30,0,1,-1,-1,-1,4,2,2,0,0,0,null                
4015015,1,0,200000,0,49,0,1,-1,-1,-1,1,1,2,0,0,0,null                
4021901,1,0,120000,0,40,0,1,-1,-1,-1,1,1,2,0,0,0,null                
4021902,1,0,200000,0,40,0,1,-1,-1,-1,3,2,2,0,0,0,null                
4021903,2,0,0,100000,0,6,0,2,-1,0,2,2,2,0,0,0,OSORNO              
4021904,2,0,0,100000,1,0,0,2,-1,0,2,2,2,0,0,0,TALCA               
4024039,2,0,0,150000,3,0,0,2,-1,0,2,2,2,0,0,0,COYHAIQUE           
4024043,2,0,0,150000,0,7,0,2,-1,0,2,2,2,0,0,0,CASTRO              
4024046,2,0,0,400000,0,4,0,2,-1,0,5,2,2,0,0,0,REPUBLICA DE JAPON  
4024052,2,0,0,400000,0,5,0,2,-1,0,5,2,2,0,0,0,LONQUIMAI           
4026002,1,0,500000,0,20,0,1,-1,-1,-1,3,2,2,0,0,0,null                
4026005,1,0,600000,0,25,0,1,-1,-1,-1,3,2,2,0,0,0,null                
4026006,2,0,0,200000,2,0,0,2,-1,0,3,2,2,0,0,0,CASTRO              
4026021,1,300000,0,0,1,0,1,-1,-1,-1,3,2,2,0,0,0,null                
4033013,2,0,0,260000,0,7,0,3,-1,0,4,2,2,0,0,0,null                
