IDingresoRango,ingresoDetalle,ingresoMin,ingresoMax
0,Sin ingreso,0,0
1,Especifica,0,999999999
2,$0 - $80.000,0,80000
3,$80.001 - $130.000,80001,130000
4,$130.001 - $200.000,130001,200000
5,$200.001 - $250.000,200001,250000
6,$250.001 - $300.000,250001,300000
7,$300.001 - $400.000,300001,400000
8,$400.001 - $550.000,400001,550000
9,$550.001 - $700.000,550001,700000
10,$700.001 - $900.000,700001,900000
11,$900.001 - $1.200.000,900001,1200000
12,$1.200.001 - $1.500.000,1200001,1500000
13,Más de $1.500.000,1500001,1500001
