IDFolio,Ingreso,Estrato,EstratoAgregado,Imputados
1003037,1500001.0,3_ALTO,3_ALTO,0
1003048,2100000.0,3_ALTO,3_ALTO,0
1003077,1530000.0,3_ALTO,3_ALTO,1
1003103,1100000.0,3_ALTO,3_ALTO,0
2003002,950000.0,2_MEDIO,2_MEDIO,0
2003004,1350000.0,3_ALTO,3_ALTO,1
2003006,2700000.0,3_ALTO,3_ALTO,0
2013007,800000.0,2_MEDIO,2_MEDIO,0
2013009,1425000.0,3_ALTO,3_ALTO,0
2013013,1100000.0,3_ALTO,3_ALTO,0
2013015,800000.0,2_MEDIO,2_MEDIO,0
2013016,2425000.0,3_ALTO,3_ALTO,0
2018015,1575000.0,3_ALTO,3_ALTO,0
2018017,2125001.0,3_ALTO,3_ALTO,0
2018018,2775000.0,3_ALTO,3_ALTO,0
2018021,1500001.0,3_ALTO,3_ALTO,0
2018028,1500001.0,3_ALTO,3_ALTO,0
2023002,275000.0,1_BAJO,1_BAJO,0
2023004,625000.0,2_MEDIO,2_MEDIO,0
2023007,1425000.0,3_ALTO,3_ALTO,0
2023009,1350000.0,3_ALTO,3_ALTO,0
2023901,1325000.0,3_ALTO,3_ALTO,0
2025002,625000.0,2_MEDIO,2_MEDIO,0
2025008,975000.0,3_ALTO,3_ALTO,0
2025009,825000.0,2_MEDIO,2_MEDIO,0
2025901,750000.0,2_MEDIO,2_MEDIO,0
2027003,625000.0,2_MEDIO,2_MEDIO,0
2027007,1850000.0,3_ALTO,3_ALTO,0
2027008,2550001.0,3_ALTO,3_ALTO,0
2027009,1425000.0,3_ALTO,3_ALTO,0
2027901,1425000.0,3_ALTO,3_ALTO,0
2030002,2150000.0,3_ALTO,3_ALTO,0
2030010,1800000.0,3_ALTO,3_ALTO,1
2030019,3000002.0,3_ALTO,3_ALTO,0
2030020,1050000.0,3_ALTO,3_ALTO,0
2030021,1500001.0,3_ALTO,3_ALTO,0
2047002,2400000.0,3_ALTO,3_ALTO,0
2047005,2850001.0,3_ALTO,3_ALTO,0
2047008,3000002.0,3_ALTO,3_ALTO,0
2047902,2400000.0,3_ALTO,3_ALTO,0
3003005,1975000.0,3_ALTO,3_ALTO,0
3003038,900000.0,2_MEDIO,2_MEDIO,0
3003039,1525000.0,3_ALTO,3_ALTO,0
3003040,1425000.0,3_ALTO,3_ALTO,0
3004002,800000.0,2_MEDIO,2_MEDIO,0
3004010,450000.0,2_MEDIO,2_MEDIO,0
3004013,1250000.0,3_ALTO,3_ALTO,0
3004015,1350000.0,3_ALTO,3_ALTO,0
3005002,850000.0,2_MEDIO,2_MEDIO,0
3005007,1850000.0,3_ALTO,3_ALTO,0
3005009,2100000.0,3_ALTO,3_ALTO,0
3005012,275000.0,1_BAJO,1_BAJO,0
3006001,475000.0,2_MEDIO,2_MEDIO,0
3006007,1375000.0,3_ALTO,3_ALTO,0
3006010,1275000.0,3_ALTO,3_ALTO,0
3006012,850000.0,2_MEDIO,2_MEDIO,0
4003031,515000.0,2_MEDIO,2_MEDIO,0
4003032,225000.0,1_BAJO,1_BAJO,0
4003033,225000.0,1_BAJO,1_BAJO,0
4003034,165000.0,1_BAJO,1_BAJO,0
4006006,350000.0,1_BAJO,1_BAJO,0
4006901,350000.0,1_BAJO,1_BAJO,0
4006902,475000.0,2_MEDIO,2_MEDIO,0
4006903,555000.0,2_MEDIO,2_MEDIO,0
4008003,500000.0,2_MEDIO,2_MEDIO,0
4008005,275000.0,1_BAJO,1_BAJO,0
4008009,275000.0,1_BAJO,1_BAJO,0
4008901,625000.0,2_MEDIO,2_MEDIO,0
4011019,270000.0,1_BAJO,1_BAJO,0
4011020,435000.0,2_MEDIO,2_MEDIO,0
4011022,225000.0,1_BAJO,1_BAJO,0
4015003,975000.0,3_ALTO,3_ALTO,0
4015004,450000.0,2_MEDIO,2_MEDIO,0
4015005,330000.0,1_BAJO,1_BAJO,0
4015008,165000.0,1_BAJO,1_BAJO,0
4015010,450000.0,2_MEDIO,2_MEDIO,0
4015011,440000.0,2_MEDIO,2_MEDIO,0
4015015,455000.0,2_MEDIO,2_MEDIO,0
4021901,575000.0,2_MEDIO,2_MEDIO,0
4021902,390000.0,2_MEDIO,2_MEDIO,0
4021903,300000.0,1_BAJO,1_BAJO,1
4021904,300000.0,1_BAJO,1_BAJO,1
4024039,475000.0,2_MEDIO,2_MEDIO,0
4024043,600000.0,2_MEDIO,2_MEDIO,1
4024046,2400000.0,3_ALTO,3_ALTO,0
4024052,1350000.0,3_ALTO,3_ALTO,0
4026002,1675000.0,3_ALTO,3_ALTO,0
4026005,1250000.0,3_ALTO,3_ALTO,0
4026006,800000.0,2_MEDIO,2_MEDIO,1
4026021,800000.0,2_MEDIO,2_MEDIO,0
4033013,1170000.0,3_ALTO,3_ALTO,1
4033017,750000.0,2_MEDIO,2_MEDIO,0
4033018,165000.0,1_BAJO,1_BAJO,0
4033019,450000.0,2_MEDIO,2_MEDIO,0
5007002,1015000.0,3_ALTO,3_ALTO,0
5007026,625000.0,2_MEDIO,2_MEDIO,0
5007028,950000.0,2_MEDIO,2_MEDIO,0
5007903,2075000.0,3_ALTO,3_ALTO,0
5022902,1275000.0,3_ALTO,3_ALTO,0
5022903,475000.0,2_MEDIO,2_MEDIO,0
5022904,475000.0,2_MEDIO,2_MEDIO,0
5022905,2540000.0,3_ALTO,3_ALTO,0
5022906,1700000.0,3_ALTO,3_ALTO,0
5022907,2500000.0,3_ALTO,3_ALTO,0
5022909,350000.0,1_BAJO,1_BAJO,0
5022910,665000.0,2_MEDIO,2_MEDIO,0
5027901,2450000.0,3_ALTO,3_ALTO,0
5027902,1350000.0,3_ALTO,3_ALTO,0
5027903,625000.0,2_MEDIO,2_MEDIO,0
5027904,2625000.0,3_ALTO,3_ALTO,0
6001901,840000.0,2_MEDIO,2_MEDIO,0
6001903,1250000.0,3_ALTO,3_ALTO,0
6001905,1440000.0,3_ALTO,3_ALTO,0
6001906,145000.0,1_BAJO,1_BAJO,0
6001907,105000.0,1_BAJO,1_BAJO,0
6002901,1050000.0,3_ALTO,3_ALTO,0
6002902,225000.0,1_BAJO,1_BAJO,0
6002903,1565000.0,3_ALTO,3_ALTO,0
6002904,830000.0,2_MEDIO,2_MEDIO,0
6002905,800000.0,2_MEDIO,2_MEDIO,0
7001005,550000.0,2_MEDIO,2_MEDIO,0
7001006,900000.0,2_MEDIO,2_MEDIO,0
7001008,1800000.0,3_ALTO,3_ALTO,1
7001009,975000.0,3_ALTO,3_ALTO,0
7006004,500000.0,2_MEDIO,2_MEDIO,0
7006014,165000.0,1_BAJO,1_BAJO,0
7006015,165000.0,1_BAJO,1_BAJO,0
7008016,1325000.0,3_ALTO,3_ALTO,0
7008020,165000.0,1_BAJO,1_BAJO,0
7008023,225000.0,1_BAJO,1_BAJO,0
7008036,500000.0,2_MEDIO,2_MEDIO,0
8001901,900000.0,2_MEDIO,2_MEDIO,0
