IDFolio,IDpersona,IDLicenciaConducir,IDTipoLicenciaConducir
1003037,1,1,6
1003037,2,2,0
1003048,1,1,6
1003048,2,1,6
1003048,3,2,0
1003077,1,1,6
1003077,2,1,6
1003103,1,1,6
1003103,2,1,6
2003002,1,1,6
2003002,2,2,0
2003004,1,1,6
2003006,1,1,6
2003006,2,1,6
2003006,3,2,0
2003006,4,2,0
2003006,5,2,0
2013007,1,1,6
2013007,2,2,0
2013009,1,1,6
2013009,2,1,6
2013013,1,2,0
2013013,2,1,6
2013013,3,2,0
2013015,1,1,2
2013016,1,1,6
2013016,2,1,6
2013016,3,2,0
2013016,4,2,0
2013016,5,2,0
2013016,6,2,0
2018015,1,1,6
2018015,2,1,6
2018015,3,2,0
2018015,4,2,0
2018015,5,2,0
2018015,6,2,0
2018017,1,1,6
2018017,2,1,6
2018017,3,2,0
2018017,4,2,0
2018018,1,1,6
2018018,2,1,6
2018018,3,1,6
2018018,4,2,0
2018021,1,1,6
2018021,2,2,0
2018021,3,2,0
2018028,1,1,6
2018028,2,2,0
2023002,1,1,6
2023002,2,1,6
2023002,3,1,6
2023002,4,2,0
2023004,1,1,6
2023004,2,2,0
2023007,1,1,6
2023007,2,1,6
2023007,3,2,0
2023007,4,2,0
2023009,1,1,6
2023901,1,2,0
2023901,2,1,6
2023901,3,2,0
2025002,1,1,6
2025002,2,2,0
2025008,1,2,0
2025008,2,1,6
2025008,3,1,6
2025008,4,2,0
2025008,5,2,0
2025009,1,1,6
2025009,2,2,0
2025009,3,1,6
2025009,4,1,6
2025901,1,1,2
2025901,2,1,6
2025901,3,2,0
2027003,1,1,6
2027003,2,1,6
2027007,1,1,6
2027007,2,1,6
2027007,3,1,6
2027007,4,1,6
2027008,1,1,6
2027008,2,1,6
2027009,1,1,6
2027009,2,1,6
2027009,3,2,0
2027009,4,2,0
2027901,1,1,6
2027901,2,1,6
2030002,1,1,6
2030002,2,1,6
2030002,3,2,0
2030002,4,2,0
2030010,1,1,6
2030010,2,2,0
2030010,3,1,6
2030010,4,1,6
2030010,5,2,0
2030019,1,1,6
2030019,2,1,6
2030019,3,2,0
2030019,4,2,0
2030019,5,2,0
2030020,1,1,6
2030020,2,2,0
2030020,3,1,6
2030021,1,1,6
2030021,2,1,6
2030021,3,2,0
2047002,1,1,6
2047002,2,1,6
2047002,3,1,6
2047002,4,1,6
2047002,5,2,0
2047005,1,1,6
2047005,2,1,6
2047005,3,1,6
2047005,4,1,6
2047005,5,1,6
2047008,1,1,6
2047008,2,1,6
2047008,3,2,0
2047902,1,1,6
2047902,2,1,6
2047902,3,2,0
2047902,4,2,0
3003005,1,1,6
3003005,2,1,6
3003005,3,1,6
3003005,4,1,6
3003038,1,2,0
3003038,2,1,6
3003038,3,2,0
3003039,1,1,6
3003039,2,2,0
3003039,3,2,0
3003039,4,2,0
3003040,1,1,6
3003040,2,1,6
3003040,3,1,6
3003040,4,1,6
3003040,5,2,0
3004002,1,1,6
3004002,2,1,6
3004002,3,2,0
3004010,1,2,0
3004010,2,2,0
3004013,1,1,6
3004013,2,1,6
3004013,3,1,6
3004013,4,1,6
3004013,5,2,0
3004015,1,1,6
3005002,1,1,6
3005002,2,1,6
3005002,3,2,0
3005002,4,2,0
3005007,1,1,6
3005007,2,1,6
3005009,1,1,6
3005009,2,2,0
3005012,1,2,0
3005012,2,1,6
3005012,3,1,6
3005012,4,1,6
3005012,5,2,0
3006001,1,2,0
3006007,1,2,0
3006007,2,1,6
3006007,3,2,0
3006007,4,2,0
3006010,1,1,6
3006010,2,2,0
3006012,1,1,6
3006012,2,1,6
4003031,1,2,0
4003031,2,2,0
4003032,1,2,0
4003032,2,2,0
4003033,1,2,0
4003034,1,2,0
4006006,1,1,6
4006006,2,2,0
4006006,3,2,0
4006901,1,2,0
4006901,2,2,0
4006901,3,2,0
4006902,1,1,1
4006902,2,2,0
4006903,1,2,0
4006903,2,2,0
4006903,3,2,0
4008003,1,1,6
4008003,2,2,0
4008005,1,2,0
4008005,2,2,0
4008005,3,2,0
4008005,4,2,0
4008009,1,1,1
4008009,2,2,0
4008901,1,2,0
4008901,2,2,0
4011019,1,2,0
4011019,2,2,0
4011020,1,2,0
4011020,2,2,0
4011020,3,2,0
4011020,4,2,0
4011020,5,2,0
4011022,1,2,0
4011022,2,1,6
4015003,1,1,6
4015003,2,1,6
4015004,1,1,6
4015004,2,2,0
4015004,3,2,0
4015005,1,2,0
4015005,2,2,0
4015005,3,2,0
4015008,1,2,0
4015008,2,2,0
4015010,1,2,0
4015010,2,2,0
4015010,3,2,0
4015010,4,2,0
4015010,5,2,0
4015010,6,2,0
4015011,1,2,0
4015011,2,2,0
4015011,3,2,0
4015011,4,1,6
4015011,5,2,0
4015011,6,2,0
4015011,7,2,0
4015015,1,1,6
4015015,2,1,6
4015015,3,2,0
4015015,4,2,0
4015015,5,2,0
4021901,1,2,0
4021901,2,2,0
4021901,3,1,6
4021902,1,2,0
4021902,2,2,0
