IDFolio,IDPersona,IDViaje,Motorizado
43065011,2,1,1
43065011,2,2,1
43065011,2,3,1
43065011,2,4,1
43065015,1,1,0
43065015,1,2,0
43065015,2,1,1
43065015,2,2,1
43065015,2,3,1
43065015,2,4,1
43046020,1,1,0
43046020,1,2,0
43046020,1,3,0
43046020,1,4,0
43046901,2,1,1
43046901,2,2,1
43046901,5,1,1
43046901,5,2,1
43046901,3,1,1
43046901,3,2,1
43046901,4,1,1
43046901,4,2,1
43046901,4,3,1
43046901,4,4,1
43046901,1,1,1
43046901,1,2,1
43046901,1,3,1
43046901,1,4,1
43046901,1,5,1
43046901,1,6,1
43046901,1,7,1
43046902,4,1,0
43046902,4,2,0
43046902,3,1,0
43046902,3,2,0
22082018,1,1,0
22082018,1,2,0
22082018,2,1,0
22082018,2,2,0
22082021,1,1,0
22082021,1,2,0
22082021,1,3,0
22082021,1,4,0
22082021,3,1,0
22082021,3,2,0
22082021,3,3,0
22082021,3,4,0
22082021,2,1,1
22082021,2,2,1
22082021,2,3,1
22082021,2,4,1
22082023,1,1,1
22082023,1,2,1
22082023,1,3,1
22082023,1,4,1
22082023,2,1,1
22082023,2,2,0
22082023,2,3,1
22082023,2,4,1
22082023,2,5,1
22005003,5,1,1
22005003,5,2,1
22005008,5,1,0
22005008,5,2,0
22005007,4,1,1
22005007,4,2,1
22005007,3,1,1
22005007,3,2,1
22065004,2,1,1
22065004,2,2,1
22072903,1,1,1
22072903,1,2,1
22072903,3,1,1
22072903,3,2,1
22072903,2,1,1
22072903,2,2,1
22079015,1,1,1
22079015,1,2,1
22079015,2,1,0
22079015,2,2,0
22005002,2,1,1
22005002,2,2,1
22005002,4,1,1
22005002,4,2,1
22005002,5,1,1
22005002,5,2,1
22005002,1,1,1
22005002,1,2,1
22005002,1,3,1
22005002,1,4,1
22005002,1,5,1
22005002,1,6,1
22005008,1,1,0
22005008,1,2,0
22005008,4,1,1
22005008,4,2,1
22005008,2,1,0
22005008,2,2,0
22005008,2,3,1
22005008,2,4,1
22005008,3,1,0
22005008,3,2,0
22005008,3,3,0
22005008,3,4,0
22082004,2,1,1
22082004,2,2,1
22082004,2,3,1
22082004,3,1,1
22082004,3,2,1
22082004,5,1,1
22082004,5,2,1
22082004,4,1,1
22082004,4,2,1
22079005,4,1,1
22079005,4,2,1
22079005,1,1,1
22079005,1,2,1
22079005,3,1,1
22079005,3,2,1
22079005,2,1,1
22079005,2,2,1
22079010,1,1,0
