IDFolio,IDPersona,IDViaje,IDEtapa,ID_Persona1,ID_Viaje1,CuadraCaminadasAntes,MinutosCaminadosAntes,ZonaDestino,ComunaDestino,IDModoEtapa,IDViajaEnAutoComo,IDVehiculoDelHogar,IDVehiculoTransporte,UsaBicicleta,IDCategoriaVehiculo,IDTipoEstacionamiento,IDLugarDondeSeBajo,IDServiciosBus,ServicioBusOtro,TiempoEsperaBus,IDTipoTarifa,TarifaBus,IDServiciosTxc,TiempoEsperaTxc,TarifaTxc,TiempoEsperaTaxi,ValorTaxiBajadaBandera,ValorTaxi200metros,TarifaTaxi,IDEstacionSubioMetrotren,TarifaMetrotren,IDTipoBoletoMetrotren,IDEstacionBajoMetrotren,CuadraCaminadasDespues,MinutosCaminadosDespues
1003037,1,1,1,98,169,0,0,56004,1,2,1,0,33,0,0,4,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,1,2,1,98,170,0,0,1003,1,2,1,0,33,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,1,3,1,98,171,0,0,56004,1,2,1,0,33,0,0,4,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,1,4,1,98,172,0,0,1003,1,2,1,0,33,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,2,1,1,99,204,2,3,0,1,3,0,0,0,0,0,0,0,8,null                ,2,1,130,0,0,0,0,0,0,0,-1,-1,-1,-1,5,6
1003037,2,2,1,99,205,0,0,1003,1,3,0,0,0,0,0,0,0,8,null                ,4,1,130,0,0,0,0,0,0,0,-1,-1,-1,-1,2,3
1003037,2,3,1,99,206,5,10,2044,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,2,4,1,99,207,5,15,2004,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,2,5,1,99,208,4,10,1003,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,2,6,1,99,209,5,15,4018,1,1,0,0,0,0,0,0,0,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003037,2,7,1,99,210,0,0,1003,1,2,2,1,0,0,1,5,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,1,1,68,268,0,0,49017,1,2,1,0,20,0,0,4,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,2,1,68,269,0,0,4025,1,2,1,0,20,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,3,1,68,270,0,0,1003,1,2,1,0,20,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,4,1,68,271,0,0,4025,1,2,1,0,20,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,5,1,68,272,0,0,1003,1,2,1,0,20,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,6,1,68,273,0,0,12041,1,2,1,0,20,0,0,3,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,1,7,1,68,274,0,0,1003,1,2,1,0,20,0,0,1,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,3,1,1,70,275,0,0,49017,1,2,2,0,20,0,0,4,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
1003048,3,2,1,70,276,0,0,1003,1,2,2,1,0,0,1,5,1,0,null                ,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0
