IDZona,FactorExpansion
1,43.417852741223705
2,30.017280907512692
3,16.367841311175606
4,17.72502704501085
5,22.512960680634517
6,24.25886375382658
7,36.42171004362393
8,28.01241613446917
9,22.972408857790324
10,19.65252525511611
11,29.783052425041102
12,33.036511785965125
13,25.43672180798965
14,19.29682344054387
15,41.31358008985011
16,31.56774909236886
17,25.945308827622014
18,29.634407426549515
19,12.14255896768917
20,21.594064326322908
21,26.918257908657843
22,28.473112551186734
23,34.57347533097444
24,27.79893516326545
25,29.31920460733797
26,28.387333802840896
27,31.097387148545643
28,27.319495457033725
29,23.445370216627182
30,36.066681906730814
31,18.716467848347065
32,19.583978551266245
33,20.937709787528892
34,19.067099351965968
35,26.82096300055425
36,31.242476046594838
37,10.642101963887985
38,18.095189746444074
39,22.92135906032857
40,18.99052465577333
41,12.405100783206775
42,40.0013178919481
43,12.951166239662447
44,33.90727547409851
45,1.125
46,11.5
47,26.5477510363846
48,37.8
49,19.33677545594873
50,6.25
51,7.2
52,16.921140183055314
53,7.810619011648709
54,13.094273048940485
55,24.66666666666667
56,22.972408857790324
57,8.333333333333334
58,13.571392309833053
59,9.75
60,3.8
61,11.5
62,8.8
63,10.212876623634783
64,25.611290695813413
65,15.420229445791755
