IDFolio,ZonaEOD,IDMacrozona,TipoEncuesta,NumeroVehiculos,NumeroBicicletas,NumeroPersonas,NumPersonaViaja,NumPersonaNoViaja,NumeroViajes,NumeroEtapas,DiaEncuestaHogar,NumeroBicicletaAdulto,NumeroBicicletaNigno,Tamaño,Factor
1003037,1,1,1,1,1,2,2,0,11,11,5,1,0,2,43.417852741223705
1003048,1,1,1,1,1,3,2,1,11,11,5,1,0,3,43.417852741223705
1003077,1,1,1,1,0,2,2,0,6,6,5,0,0,2,43.417852741223705
1003103,1,1,1,1,0,2,2,0,8,8,6,0,0,2,43.417852741223705
2003002,2,1,1,2,0,2,2,0,7,7,5,0,0,2,30.017280907512692
2003004,2,1,1,1,0,1,0,1,0,0,3,0,0,1,30.017280907512692
2003006,2,1,1,2,5,5,5,0,38,38,2,4,1,5,30.017280907512692
2013007,2,1,1,1,1,2,2,0,7,7,3,1,0,2,30.017280907512692
2013009,2,1,1,1,1,2,2,0,6,6,3,1,0,2,30.017280907512692
2013013,2,1,1,0,0,3,2,1,8,8,3,0,0,3,30.017280907512692
2013015,2,1,1,1,0,1,1,0,2,2,3,0,0,1,30.017280907512692
2013016,2,1,1,1,3,6,3,3,6,6,3,2,1,6,30.017280907512692
2018015,2,1,1,1,3,6,3,3,11,11,3,1,2,6,30.017280907512692
2018017,2,1,1,2,2,4,4,0,11,11,3,0,2,4,30.017280907512692
2018018,2,1,1,2,1,4,3,1,11,11,2,1,0,4,30.017280907512692
2018021,2,1,1,1,2,3,3,0,11,11,2,2,0,3,30.017280907512692
2018028,2,1,1,1,2,2,1,1,5,5,2,2,0,2,30.017280907512692
2023002,2,1,1,1,2,4,4,0,13,13,3,2,0,4,30.017280907512692
2023004,2,1,1,1,0,2,2,0,8,8,3,0,0,2,30.017280907512692
2023007,2,1,1,2,3,4,4,0,28,28,3,1,2,4,30.017280907512692
2023009,2,1,1,2,0,1,1,0,2,2,2,0,0,1,30.017280907512692
2023901,2,1,1,1,2,3,3,0,6,8,3,2,0,3,30.017280907512692
2025002,2,1,1,1,0,2,2,0,10,11,6,0,0,2,30.017280907512692
2025008,2,1,1,1,3,5,5,0,13,14,2,3,0,5,30.017280907512692
2025009,2,1,1,2,1,4,4,0,10,11,2,1,0,4,30.017280907512692
2025901,2,1,1,1,1,3,1,2,2,2,2,1,0,3,30.017280907512692
2027003,2,1,1,1,0,2,2,0,7,7,6,0,0,2,30.017280907512692
2027007,2,1,1,1,2,4,4,0,12,12,6,2,0,4,30.017280907512692
2027008,2,1,1,3,0,2,2,0,6,6,6,0,0,2,30.017280907512692
2027009,2,1,1,2,4,4,4,0,14,14,3,2,2,4,30.017280907512692
2027901,2,1,1,1,1,2,2,0,7,7,6,1,0,2,30.017280907512692
