IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,trabajaEnCasa,frecuenciaTrabajoCasaId,IDJornadaTrabajo,IngresoLiquido,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor,noviaja,ademasTrabaja,ademasEstudia
1003037,1,1953,1,0,7,0,1,1,0,0,1,1500001,1,Sin Observación,1,4,43.417852741223705,0,0,0
1003037,2,1990,1,2,6,6,0,14,0,0,0,0,0,solo se escribio los viajes de una persona en la casa los otros los escribi en m,1,7,43.417852741223705,0,0,0
1003048,1,1966,1,0,7,0,1,1,0,0,1,1050000,1,se escribieron 2 personas en mi casa autorizado por el supervisor,1,7,43.417852741223705,0,0,0
1003048,2,1964,2,1,7,0,1,1,0,0,1,1050000,1,Sin Observación,0,0,43.417852741223705,0,0,0
1003048,3,1995,1,2,4,4,0,14,0,0,0,0,0,,1,4,43.417852741223705,0,0,0
1003077,1,1985,1,0,6,6,0,14,0,0,0,0,0,"ESTA DE VACACIONES , SE QUEDO EN PELCHUQUIN ",1,2,43.417852741223705,0,0,0
1003077,2,1988,1,4,6,6,0,14,0,0,0,0,0,los viajes de franco los escribi en mi casa autorizado por el supervisor,1,4,43.417852741223705,0,0,0
1003103,1,1936,1,0,7,0,1,9,0,0,0,475000,1,Sin Observación,1,4,43.417852741223705,0,0,0
1003103,2,1939,2,1,7,0,1,9,0,0,0,625000,1,los viajes de ingrid los escribi en mi casa autorizado por el supervisor,1,4,43.417852741223705,0,0,0
2003002,1,1937,1,0,7,0,1,9,0,0,0,475000,1,Sin Observación,1,5,30.017280907512692,0,0,0
2003002,2,1944,2,1,7,0,1,1,0,0,1,475000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2003004,1,1943,2,0,7,0,0,9,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2003006,1,1964,1,0,5,0,1,4,0,0,1,1350000,1,Sin Observación,1,10,30.017280907512692,0,0,0
2003006,2,1975,2,1,5,0,1,4,0,0,1,1350000,1,Sin Observación,1,7,30.017280907512692,0,0,0
2003006,3,1996,2,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,9,30.017280907512692,0,0,0
2003006,4,1998,2,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,7,30.017280907512692,0,0,0
2003006,5,2001,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,5,30.017280907512692,0,0,0
2013007,1,1973,2,0,7,0,1,1,0,0,1,800000,1,"se ingreso solo los viajes de una persona , los viajes de susan  se ingresaron e",1,5,30.017280907512692,0,0,0
2013007,2,2000,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2013009,1,1975,1,0,5,0,1,1,1,1,1,800000,1,los viajes de pablo fueron escritos en mi hogar autorizado por el supervisor,1,2,30.017280907512692,0,0,0
2013009,2,1979,2,1,5,0,1,1,0,0,1,625000,1,solo se ingreso el viaje de una persona el otro se ingreso en mi hogar autorizad,1,4,30.017280907512692,0,0,0
2013013,1,1939,2,0,7,0,1,9,0,0,0,475000,1,Sin Observación,0,0,30.017280907512692,0,0,0
2013013,2,1963,2,2,5,0,1,1,0,0,1,625000,1,,1,2,30.017280907512692,0,0,0
2013013,3,1988,2,3,6,6,0,14,0,0,0,0,0,"se esribieron solo los viajes de una persona , los de el resto de la familia los",1,6,30.017280907512692,0,0,0
2013015,1,1964,1,0,5,0,1,1,0,0,1,800000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2013016,1,1969,1,0,7,0,1,1,0,0,1,1350000,1,trabaja en mafil toma n bus en el terminal,1,2,30.017280907512692,0,0,0
2013016,2,1973,2,1,7,0,1,1,0,0,1,800000,1,trabaja en lanco el auto lo dejan en el terminal,1,2,30.017280907512692,0,0,0
2013016,3,2003,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2013016,4,2010,1,2,1,0,0,13,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2013016,5,2010,2,2,1,0,0,13,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2013016,6,1953,2,6,4,0,0,4,1,1,1,275000,1,Sin Observación,0,0,30.017280907512692,0,0,0
2018015,1,1973,1,0,7,0,1,1,1,1,1,1350000,1,,1,7,30.017280907512692,0,0,0
2018015,2,1970,2,1,5,0,1,11,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2018015,3,2004,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2018015,4,2012,1,2,1,0,0,13,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2018015,5,2005,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2018015,6,1934,2,3,4,0,0,9,0,0,0,225000,1,Sin Observación,0,0,30.017280907512692,0,0,0
2018017,1,1976,1,0,7,0,1,1,0,0,1,1500001,1,Sin Observación,1,3,30.017280907512692,0,0,0
2018017,2,1977,2,1,7,0,1,1,0,0,1,625000,1,Sin Observación,1,4,30.017280907512692,0,0,0
2018017,3,2005,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2018017,4,2007,2,2,2,2,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2018018,1,1956,1,0,7,0,1,1,0,0,1,1350000,1,,1,4,30.017280907512692,0,0,0
2018018,2,1956,2,1,7,0,1,1,0,0,1,800000,1,Sin Observación,1,5,30.017280907512692,0,0,0
2018018,3,1986,1,2,7,0,1,1,0,0,3,625000,1,los viajes fueron escritos en mi casa autorizado por el supervisor,1,2,30.017280907512692,0,0,0
2018018,4,1988,1,2,6,6,0,14,0,0,0,0,0,solo se escribio a un integrante del hogar . al resto de l familia se ingreso en,0,0,30.017280907512692,0,0,0
2018021,1,1973,2,0,4,0,0,4,0,0,1,1500001,1,los viajes de marcela fueron ingresados en mi casa autorizado por el supervisor,1,7,30.017280907512692,0,0,0
2018021,2,2002,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2018021,3,2005,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2018028,1,1951,1,0,7,0,1,1,0,0,1,1500001,1,Sin Observación,1,5,30.017280907512692,0,0,0
2018028,2,1957,2,1,7,0,1,11,0,0,0,0,0,nada necesito de la calle,0,0,30.017280907512692,0,0,0
2023002,1,1960,2,0,7,0,1,3,0,0,2,275000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2023002,2,1987,1,2,5,7,0,14,0,0,0,0,0,Sin Observación,1,5,30.017280907512692,0,0,0
2023002,3,1990,2,2,6,0,0,11,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2023002,4,2013,2,3,1,0,0,13,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2023004,1,1952,1,0,5,0,1,4,0,0,1,625000,1,Sin Observación,1,6,30.017280907512692,0,0,0
2023004,2,1952,2,1,4,0,0,11,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2023007,1,1968,1,0,7,0,1,1,0,0,2,625000,1,Sin Observación,1,12,30.017280907512692,0,0,0
2023007,2,1973,2,1,7,0,1,4,0,0,1,800000,1,Sin Observación,1,8,30.017280907512692,0,0,0
2023007,3,2002,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2023007,4,2007,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2023009,1,1970,2,0,7,0,1,4,0,0,1,1350000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2023901,1,1942,2,0,7,0,1,9,0,0,0,225000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2023901,2,1973,1,3,7,0,1,1,0,0,1,625000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2023901,3,1984,1,3,7,0,1,1,0,0,1,475000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2025002,1,1948,1,0,7,0,1,1,0,0,1,625000,1,Sin Observación,1,6,30.017280907512692,0,0,0
2025002,2,1950,2,1,5,0,0,11,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2025008,1,1953,2,0,6,0,0,4,0,0,1,350000,1,,1,2,30.017280907512692,0,0,0
2025008,2,1948,1,1,6,0,0,12,0,0,0,0,0,,1,3,30.017280907512692,0,0,0
2025008,3,1983,2,2,5,0,1,4,0,0,1,275000,1,,1,4,30.017280907512692,0,0,1
