IDFolio,IDNumVehiculo,TipoVehiculo,IDMarca,AgnoFabricacion,Cilindrada,TipoMotor,SelloVerde,VehiculoEmpresa,TieneTag,trabajo,Modelo
1003037,33,3,269,2009,2500,1,1,2,2,2,extrein             
1003048,20,1,71,2010,1400,1,1,2,2,2,aveo                
1003077,34,1,166,2002,1800,1,1,2,2,2,elantra             
1003103,35,1,274,2005,1600,1,1,2,2,2,corsa               
2003002,133,1,166,2012,1500,1,1,2,2,2,Accent              
2003002,134,3,367,1993,2000,1,2,2,2,2,Hilux               
2003004,163,1,356,2006,1400,1,1,2,2,2,Celerio             
2003006,141,3,269,2008,2500,2,1,2,2,2,Navara              
2003006,142,3,269,2013,2500,2,1,2,2,2,Navara              
2013007,17,1,302,2007,1600,1,1,2,2,2,megane              
2013009,14,1,352,2003,1800,1,1,2,2,2,forester            
2013013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
2013015,15,3,250,2012,2500,2,1,2,2,2,l200                
2013016,16,3,356,2005,2400,1,1,2,2,2,gran nomade         
2018015,11,3,347,2010,2200,1,1,2,2,2,d20t                
2018017,12,3,367,2006,4000,2,1,2,2,2,ranger              
2018017,13,3,118,2010,8000,2,1,2,2,2,nn                  
2018018,37,1,279,2007,1600,1,1,2,2,2,306                 
2018018,38,1,279,2012,1600,1,1,2,2,2,306                 
2018021,10,1,367,2010,1600,1,1,2,2,2,yaris               
2018028,9,1,302,2009,2500,1,1,2,2,2,koleo               
2023002,127,1,71,2003,1400,1,2,2,2,2,Corsa               
2023004,129,3,356,2005,1600,1,1,2,2,2,Grand Vitara        
2023007,131,1,269,2012,1600,1,1,2,2,2,March               
2023007,132,1,269,2012,0,1,1,2,-1,2,Quashqai            
2023009,175,1,269,2012,2000,1,2,2,2,2,X-Trail             
2023009,176,3,71,2013,2200,2,1,-1,2,-1,D-Max               
2023901,130,3,71,2008,1600,1,1,2,2,2,LUV                 
2025002,148,1,367,1996,1600,1,2,2,2,2,Corolla             
2025008,114,1,242,2007,1400,1,2,2,2,2,                    
2025009,124,3,356,2005,2000,1,1,2,2,2,Gran Vitara         
2025009,125,1,269,2012,1500,1,1,2,2,2,Quasquai            
2025901,123,3,269,1988,2500,1,2,2,2,2,D21                 
2027003,31,1,83,2000,1600,1,1,2,2,2,steichon            
2027007,32,1,356,2012,2000,1,1,2,2,2,sx4                 
2027008,27,1,290,1996,1600,1,1,2,2,2,natura              
