IDFolio,IdPersona,IdViaje,ZonaOrigen,ComunaOrigen,ZonaDestino,ComunaDestino,Proposito,PropositoEstraus,IDModo,IDModoAgregado,HoraInicio,HoraTermino,HoraMedia,TiempoViaje,CuadrasCaminadas,MinutosCaminados,IDPeriodos,IDPeriodosMedicionFlujos,OtroProposito,ManzanaOri,ManzanaDes,valida,Factor_Zona,Factor_Subreporte,Factor
1003037,1,1,1,0,56,1,1,0,1,1,12/30/99 07:30:00,12/30/99 07:45:00,12/30/99 07:38:00,12/30/99 00:15:00,0,0,1,1,null                                              ,1003,56004,1,43.417852741223705,0.66766947,28.98877472827089
1003037,1,2,56,0,1,1,6,0,1,1,12/30/99 12:15:00,12/30/99 12:30:00,12/30/99 12:23:00,12/30/99 00:15:00,0,0,4,1,null                                              ,56004,1003,1,43.417852741223705,1.46627,63.66229493887409
1003037,1,3,1,0,56,1,1,0,1,1,12/30/99 13:30:00,12/30/99 13:45:00,12/30/99 13:38:00,12/30/99 00:15:00,0,0,2,1,null                                              ,1003,56004,1,43.417852741223705,1.0,43.417852741223705
1003037,1,4,56,0,1,1,6,0,1,1,12/30/99 19:00:00,12/30/99 19:15:00,12/30/99 19:08:00,12/30/99 00:15:00,0,0,4,1,null                                              ,56004,1003,1,43.417852741223705,1.46627,63.66229493887409
1003037,2,1,1,0,38,1,11,2,4,2,12/30/99 09:30:00,12/30/99 09:50:00,12/30/99 09:40:00,12/30/99 00:20:00,7,9,4,1,null                                              ,1003,38009,1,43.417852741223705,1.779878,77.27848090134378
1003037,2,2,38,0,1,1,6,2,4,2,12/30/99 11:00:00,12/30/99 11:20:00,12/30/99 11:10:00,12/30/99 00:20:00,2,3,4,1,null                                              ,38009,1003,1,43.417852741223705,1.779878,77.27848090134378
1003037,2,3,1,0,2,1,5,2,7,5,12/30/99 14:00:00,12/30/99 14:10:00,12/30/99 14:05:00,12/30/99 00:10:00,5,10,4,1,null                                              ,1003,2044,1,43.417852741223705,1.0,43.417852741223705
1003037,2,4,2,0,2,1,5,2,7,5,12/30/99 15:15:00,12/30/99 15:30:00,12/30/99 15:23:00,12/30/99 00:15:00,5,15,4,1,null                                              ,2044,2004,1,43.417852741223705,1.0,43.417852741223705
1003037,2,5,2,0,1,1,6,2,7,5,12/30/99 16:00:00,12/30/99 16:10:00,12/30/99 16:05:00,12/30/99 00:10:00,4,10,4,1,null                                              ,2004,1003,1,43.417852741223705,1.0,43.417852741223705
1003037,2,6,1,0,4,1,5,2,7,5,12/30/99 19:00:00,12/30/99 19:15:00,12/30/99 19:08:00,12/30/99 00:15:00,5,15,4,1,null                                              ,1003,4018,1,43.417852741223705,1.0,43.417852741223705
