ZONA,IDMACROZONA,Descripcion
1,1.0,Zona Interna
2,1.0,Zona Interna
3,1.0,Zona Interna
4,1.0,Zona Interna
5,2.0,Zona Interna
6,4.0,Zona Interna
7,2.0,Zona Interna
8,3.0,Zona Interna
9,4.0,Zona Interna
10,4.0,Zona Interna
11,3.0,Zona Interna
12,4.0,Zona Interna
13,4.0,Zona Interna
14,5.0,Zona Interna
15,6.0,Zona Interna
16,6.0,Zona Interna
17,6.0,Zona Interna
18,5.0,Zona Interna
19,12.0,Zona Interna
20,7.0,Zona Interna
21,7.0,Zona Interna
22,7.0,Zona Interna
23,12.0,Zona Interna
24,8.0,Zona Interna
25,8.0,Zona Interna
26,8.0,Zona Interna
27,6.0,Zona Interna
28,9.0,Zona Interna
29,9.0,Zona Interna
30,10.0,Zona Interna
31,9.0,Zona Interna
32,10.0,Zona Interna
33,10.0,Zona Interna
34,11.0,Zona Interna
35,11.0,Zona Interna
36,11.0,Zona Interna
37,11.0,Zona Interna
38,2.0,Zona Interna
39,2.0,Zona Interna
40,2.0,Zona Interna
41,2.0,Zona Interna
42,5.0,Zona Interna
43,7.0,Zona Interna
44,5.0,Zona Interna
45,7.0,Zona Interna
46,8.0,Zona Interna
47,8.0,Zona Interna
48,8.0,Zona Interna
49,12.0,Zona Interna
50,12.0,Zona Interna
51,12.0,Zona Interna
52,12.0,Zona Interna
53,12.0,Zona Interna
54,12.0,Zona Interna
55,7.0,Zona Interna
56,2.0,Zona Interna
57,12.0,Zona Interna
58,12.0,Zona Interna
59,5.0,Zona Interna
60,7.0,Zona Interna
61,8.0,Zona Interna
62,5.0,Zona Interna
63,5.0,Zona Interna
64,7.0,Zona Interna
65,8.0,Zona Interna
66,13.0,Zona Externa: Norte de Chile.
67,13.0,Zona Externa: Sur de Chile.
68,13.0,Zona Externa: Norte de Niebla.
69,13.0,Zona Externa: Corral
70,13.0,Zona Externa: Mafil
71,13.0,Zona Externa: Mariquina
72,13.0,Zona Externa: Paillaco
73,13.0,Zona Externa: Los Lagos
74,13.0,Zona Externa: Aeropuerto de Pichoy
